year;year_range;indicator_id;friendly_name;type_data;selection_type;deprivation_type;country;city;region;value;description;category
2006;;literacy_rate_women_slum;Literacy rate by shelter deprivation (Women) – Slum;p;Slum;;Benin;;;58.6;UNHABITAT_UNHABITAT_DHS;Slum dwellers
2001;;literacy_rate_women_slum;Literacy rate by shelter deprivation (Women) – Slum;p;Slum;;Benin;;;32;UNHABITAT_UNHABITAT_DHS;Slum dwellers
1996;;literacy_rate_women_slum;Literacy rate by shelter deprivation (Women) – Slum;p;Slum;;Benin;;;30.8;UNHABITAT_UNHABITAT_DHS;Slum dwellers
2003;;literacy_rate_women_slum;Literacy rate by shelter deprivation (Women) – Slum;p;Slum;;Burkina Faso;;;42.1;UNHABITAT_UNHABITAT_DHS;Slum dwellers
1999;;literacy_rate_women_slum;Literacy rate by shelter deprivation (Women) – Slum;p;Slum;;Burkina Faso;;;45.2;UNHABITAT_UNHABITAT_DHS;Slum dwellers
1992;;literacy_rate_women_slum;Literacy rate by shelter deprivation (Women) – Slum;p;Slum;;Burkina Faso;;;40.9;UNHABITAT_UNHABITAT_DHS;Slum dwellers
1998;;literacy_rate_women_slum;Literacy rate by shelter deprivation (Women) – Slum;p;Slum;;Cameroon;;;72.9;UNHABITAT_UNHABITAT_DHS;Slum dwellers
1991;;literacy_rate_women_slum;Literacy rate by shelter deprivation (Women) – Slum;p;Slum;;Cameroon;;;64.2;UNHABITAT_UNHABITAT_DHS;Slum dwellers
1994;;literacy_rate_women_slum;Literacy rate by shelter deprivation (Women) – Slum;p;Slum;;Central African Republic;;;59.8;UNHABITAT_UNHABITAT_DHS;Slum dwellers
2004;;literacy_rate_women_slum;Literacy rate by shelter deprivation (Women) – Slum;p;Slum;;Chad;;;37.6;UNHABITAT_UNHABITAT_DHS;Slum dwellers
2005;;literacy_rate_women_slum;Literacy rate by shelter deprivation (Women) – Slum;p;Slum;;Congo;;;87.4;UNHABITAT_UNHABITAT_DHS;Slum dwellers
1999;;literacy_rate_women_slum;Literacy rate by shelter deprivation (Women) – Slum;p;Slum;;Côte d’Ivoire;;;40.6;UNHABITAT_UNHABITAT_DHS;Slum dwellers
1994;;literacy_rate_women_slum;Literacy rate by shelter deprivation (Women) – Slum;p;Slum;;Côte d’Ivoire;;;34.7;UNHABITAT_UNHABITAT_DHS;Slum dwellers
2005;;literacy_rate_women_slum;Literacy rate by shelter deprivation (Women) – Slum;p;Slum;;Egypt;;;69.7;UNHABITAT_UNHABITAT_DHS;Slum dwellers
