"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
1980;2000;"loss_lives_by_droughts";"Annual average loss of lives in draughts";"n";"Total";;"Burundi";;;0.29;"UNDP_United Nations Development Programme, 2005";"Resilience"
1980;2000;"loss_lives_by_droughts";"Annual average loss of lives in draughts";"n";"Total";;"Chad";;;142.86;"UNDP_United Nations Development Programme, 2005";"Resilience"
1980;2000;"loss_lives_by_droughts";"Annual average loss of lives in draughts";"n";"Total";;"Ethiopia";;;14303.19;"UNDP_United Nations Development Programme, 2005";"Resilience"
1980;2000;"loss_lives_by_droughts";"Annual average loss of lives in draughts";"n";"Total";;"Guinea";;;0.57;"UNDP_United Nations Development Programme, 2005";"Resilience"
1980;2000;"loss_lives_by_droughts";"Annual average loss of lives in draughts";"n";"Total";;"Kenya";;;4.05;"UNDP_United Nations Development Programme, 2005";"Resilience"
1980;2000;"loss_lives_by_droughts";"Annual average loss of lives in draughts";"n";"Total";;"Madagascar";;;9.52;"UNDP_United Nations Development Programme, 2005";"Resilience"
1980;2000;"loss_lives_by_droughts";"Annual average loss of lives in draughts";"n";"Total";;"Mauritania";;;106.81;"UNDP_United Nations Development Programme, 2005";"Resilience"
1980;2000;"loss_lives_by_droughts";"Annual average loss of lives in draughts";"n";"Total";;"Mozambique";;;4764.29;"UNDP_United Nations Development Programme, 2005";"Resilience"
1980;2000;"loss_lives_by_droughts";"Annual average loss of lives in draughts";"n";"Total";;"Somalia";;;29.57;"UNDP_United Nations Development Programme, 2005";"Resilience"
1980;2000;"loss_lives_by_droughts";"Annual average loss of lives in draughts";"n";"Total";;"Sudan";;;7142.86;"UNDP_United Nations Development Programme, 2005";"Resilience"
1980;2000;"loss_lives_by_droughts";"Annual average loss of lives in draughts";"n";"Total";;"Uganda";;;5.48;"UNDP_United Nations Development Programme, 2005";"Resilience"
1980;2000;"loss_lives_by_droughts";"Annual average loss of lives in draughts";"n";"Total";;"China";;;161.9;"UNDP_United Nations Development Programme, 2005";"Resilience"
1980;2000;"loss_lives_by_droughts";"Annual average loss of lives in draughts";"n";"Total";;"Korea Rep";;;12857.14;"UNDP_United Nations Development Programme, 2005";"Resilience"
1980;2000;"loss_lives_by_droughts";"Annual average loss of lives in draughts";"n";"Total";;"India";;;19.52;"UNDP_United Nations Development Programme, 2005";"Resilience"
1980;2000;"loss_lives_by_droughts";"Annual average loss of lives in draughts";"n";"Total";;"Indonesia";;;60.29;"UNDP_United Nations Development Programme, 2005";"Resilience"
1980;2000;"loss_lives_by_droughts";"Annual average loss of lives in draughts";"n";"Total";;"Pakistan";;;6.81;"UNDP_United Nations Development Programme, 2005";"Resilience"
1980;2000;"loss_lives_by_droughts";"Annual average loss of lives in draughts";"n";"Total";;"Philippines";;;0.38;"UNDP_United Nations Development Programme, 2005";"Resilience"
1980;2000;"loss_lives_by_droughts";"Annual average loss of lives in draughts";"n";"Total";;"Brazil";;;0.95;"UNDP_United Nations Development Programme, 2005";"Resilience"
1980;2000;"loss_lives_by_droughts";"Annual average loss of lives in draughts";"n";"Total";;"Papua New Guinea";;;4.67;"UNDP_United Nations Development Programme, 2005";"Resilience"
