"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
1980;2000;"loss_of_lives_by_earthquake";"Average annual loss of lives in earthquake";"n";"Total";;"Algeria";;;137.19;"Global_United Nations Development Programme, 2005";"Resilience"
1980;2000;"loss_of_lives_by_earthquake";"Average annual loss of lives in earthquake";"n";"Total";;"Egypt";;;27.19;"Global_United Nations Development Programme, 2005";"Resilience"
1980;2000;"loss_of_lives_by_earthquake";"Average annual loss of lives in earthquake";"n";"Total";;"Malawi";;;0.43;"Global_United Nations Development Programme, 2005";"Resilience"
1980;2000;"loss_of_lives_by_earthquake";"Average annual loss of lives in earthquake";"n";"Total";;"South Africa";;;1.62;"Global_United Nations Development Programme, 2005";"Resilience"
1980;2000;"loss_of_lives_by_earthquake";"Average annual loss of lives in earthquake";"n";"Total";;"Uganda";;;0.33;"Global_United Nations Development Programme, 2005";"Resilience"
1980;2000;"loss_of_lives_by_earthquake";"Average annual loss of lives in earthquake";"n";"Total";;"Tanzania";;;0.05;"Global_United Nations Development Programme, 2005";"Resilience"
1980;2000;"loss_of_lives_by_earthquake";"Average annual loss of lives in earthquake";"n";"Total";;"Afghanistan";;;399.95;"Global_United Nations Development Programme, 2005";"Resilience"
1980;2000;"loss_of_lives_by_earthquake";"Average annual loss of lives in earthquake";"n";"Total";;"Armenia";;;1190.48;"Global_United Nations Development Programme, 2005";"Resilience"
1980;2000;"loss_of_lives_by_earthquake";"Average annual loss of lives in earthquake";"n";"Total";;"Azerbaijan";;;1.52;"Global_United Nations Development Programme, 2005";"Resilience"
1980;2000;"loss_of_lives_by_earthquake";"Average annual loss of lives in earthquake";"n";"Total";;"Bangladesh";;;1.38;"Global_United Nations Development Programme, 2005";"Resilience"
1980;2000;"loss_of_lives_by_earthquake";"Average annual loss of lives in earthquake";"n";"Total";;"China";;;92.24;"Global_United Nations Development Programme, 2005";"Resilience"
1980;2000;"loss_of_lives_by_earthquake";"Average annual loss of lives in earthquake";"n";"Total";;"Cyprus";;;0.1;"Global_United Nations Development Programme, 2005";"Resilience"
1980;2000;"loss_of_lives_by_earthquake";"Average annual loss of lives in earthquake";"n";"Total";;"Georgia";;;13.29;"Global_United Nations Development Programme, 2005";"Resilience"
1980;2000;"loss_of_lives_by_earthquake";"Average annual loss of lives in earthquake";"n";"Total";;"India";;;576.52;"Global_United Nations Development Programme, 2005";"Resilience"
1980;2000;"loss_of_lives_by_earthquake";"Average annual loss of lives in earthquake";"n";"Total";;"Indonesia";;;193.24;"Global_United Nations Development Programme, 2005";"Resilience"
1980;2000;"loss_of_lives_by_earthquake";"Average annual loss of lives in earthquake";"n";"Total";;"Iran";;;2250.81;"Global_United Nations Development Programme, 2005";"Resilience"
1980;2000;"loss_of_lives_by_earthquake";"Average annual loss of lives in earthquake";"n";"Total";;"Japan";;;281.29;"Global_United Nations Development Programme, 2005";"Resilience"
1980;2000;"loss_of_lives_by_earthquake";"Average annual loss of lives in earthquake";"n";"Total";;"Kazakhstan";;;0.05;"Global_United Nations Development Programme, 2005";"Resilience"
1980;2000;"loss_of_lives_by_earthquake";"Average annual loss of lives in earthquake";"n";"Total";;"Kyrgyzstan";;;2.76;"Global_United Nations Development Programme, 2005";"Resilience"
1980;2000;"loss_of_lives_by_earthquake";"Average annual loss of lives in earthquake";"n";"Total";;"Nepal";;;38.52;"Global_United Nations Development Programme, 2005";"Resilience"
1980;2000;"loss_of_lives_by_earthquake";"Average annual loss of lives in earthquake";"n";"Total";;"Pakistan";;;30.95;"Global_United Nations Development Programme, 2005";"Resilience"
1980;2000;"loss_of_lives_by_earthquake";"Average annual loss of lives in earthquake";"n";"Total";;"Philippines";;;120.57;"Global_United Nations Development Programme, 2005";"Resilience"
1980;2000;"loss_of_lives_by_earthquake";"Average annual loss of lives in earthquake";"n";"Total";;"Turkey";;;949.86;"Global_United Nations Development Programme, 2005";"Resilience"
1980;2000;"loss_of_lives_by_earthquake";"Average annual loss of lives in earthquake";"n";"Total";;"Uzbekistan";;;0.43;"Global_United Nations Development Programme, 2005";"Resilience"
1980;2000;"loss_of_lives_by_earthquake";"Average annual loss of lives in earthquake";"n";"Total";;"Yemen";;;72.29;"Global_United Nations Development Programme, 2005";"Resilience"
1980;2000;"loss_of_lives_by_earthquake";"Average annual loss of lives in earthquake";"n";"Total";;"Albania";;;0.05;"Global_United Nations Development Programme, 2005";"Resilience"
1980;2000;"loss_of_lives_by_earthquake";"Average annual loss of lives in earthquake";"n";"Total";;"Belgium";;;0.1;"Global_United Nations Development Programme, 2005";"Resilience"
1980;2000;"loss_of_lives_by_earthquake";"Average annual loss of lives in earthquake";"n";"Total";;"Germany";;;0.05;"Global_United Nations Development Programme, 2005";"Resilience"
1980;2000;"loss_of_lives_by_earthquake";"Average annual loss of lives in earthquake";"n";"Total";;"Greece";;;11.29;"Global_United Nations Development Programme, 2005";"Resilience"
1980;2000;"loss_of_lives_by_earthquake";"Average annual loss of lives in earthquake";"n";"Total";;"Italy";;;225.71;"Global_United Nations Development Programme, 2005";"Resilience"
1980;2000;"loss_of_lives_by_earthquake";"Average annual loss of lives in earthquake";"n";"Total";;"Romania";;;0.52;"Global_United Nations Development Programme, 2005";"Resilience"
1980;2000;"loss_of_lives_by_earthquake";"Average annual loss of lives in earthquake";"n";"Total";;"Russian Federation";;;95.29;"Global_United Nations Development Programme, 2005";"Resilience"
1980;2000;"loss_of_lives_by_earthquake";"Average annual loss of lives in earthquake";"n";"Total";;"Argentina";;;0.29;"Global_United Nations Development Programme, 2005";"Resilience"
1980;2000;"loss_of_lives_by_earthquake";"Average annual loss of lives in earthquake";"n";"Total";;"Bolivia";;;5.95;"Global_United Nations Development Programme, 2005";"Resilience"
1980;2000;"loss_of_lives_by_earthquake";"Average annual loss of lives in earthquake";"n";"Total";;"Brazil";;;0.05;"Global_United Nations Development Programme, 2005";"Resilience"
1980;2000;"loss_of_lives_by_earthquake";"Average annual loss of lives in earthquake";"n";"Total";;"Chile";;;9.48;"Global_United Nations Development Programme, 2005";"Resilience"
1980;2000;"loss_of_lives_by_earthquake";"Average annual loss of lives in earthquake";"n";"Total";;"Colombia";;;85.05;"Global_United Nations Development Programme, 2005";"Resilience"
1980;2000;"loss_of_lives_by_earthquake";"Average annual loss of lives in earthquake";"n";"Total";;"Costa Rica";;;2.52;"Global_United Nations Development Programme, 2005";"Resilience"
1980;2000;"loss_of_lives_by_earthquake";"Average annual loss of lives in earthquake";"n";"Total";;"Ecuador";;;28.33;"Global_United Nations Development Programme, 2005";"Resilience"
1980;2000;"loss_of_lives_by_earthquake";"Average annual loss of lives in earthquake";"n";"Total";;"El Salvador";;;53.33;"Global_United Nations Development Programme, 2005";"Resilience"
