"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
1980;2000;"loss_of_lives_in_cyclones";"Average annual loss of lives in cyclones";"n";"Total";;"Cape Verde";;;1.52;"Global_United Nations Development Programme, 2005";"Resilience"
1980;2000;"loss_of_lives_in_cyclones";"Average annual loss of lives in cyclones";"n";"Total";;"Comoros";;;2.81;"Global_United Nations Development Programme, 2005";"Resilience"
1980;2000;"loss_of_lives_in_cyclones";"Average annual loss of lives in cyclones";"n";"Total";;"Madagascar";;;48.81;"Global_United Nations Development Programme, 2005";"Resilience"
1980;2000;"loss_of_lives_in_cyclones";"Average annual loss of lives in cyclones";"n";"Total";;"Mozambique";;;22.1;"Global_United Nations Development Programme, 2005";"Resilience"
1980;2000;"loss_of_lives_in_cyclones";"Average annual loss of lives in cyclones";"n";"Total";;"Swaziland";;;2.52;"Global_United Nations Development Programme, 2005";"Resilience"
1980;2000;"loss_of_lives_in_cyclones";"Average annual loss of lives in cyclones";"n";"Total";;"Bangladesh";;;7467.62;"Global_United Nations Development Programme, 2005";"Resilience"
1980;2000;"loss_of_lives_in_cyclones";"Average annual loss of lives in cyclones";"n";"Total";;"China";;;428.38;"Global_United Nations Development Programme, 2005";"Resilience"
1980;2000;"loss_of_lives_in_cyclones";"Average annual loss of lives in cyclones";"n";"Total";;"India";;;1022.52;"Global_United Nations Development Programme, 2005";"Resilience"
1980;2000;"loss_of_lives_in_cyclones";"Average annual loss of lives in cyclones";"n";"Total";;"Japan";;;39.29;"Global_United Nations Development Programme, 2005";"Resilience"
1980;2000;"loss_of_lives_in_cyclones";"Average annual loss of lives in cyclones";"n";"Total";;"Lao PDR";;;2.67;"Global_United Nations Development Programme, 2005";"Resilience"
1980;2000;"loss_of_lives_in_cyclones";"Average annual loss of lives in cyclones";"n";"Total";;"Malaysia";;;12.86;"Global_United Nations Development Programme, 2005";"Resilience"
1980;2000;"loss_of_lives_in_cyclones";"Average annual loss of lives in cyclones";"n";"Total";;"Pakistan";;;53.9;"Global_United Nations Development Programme, 2005";"Resilience"
1980;2000;"loss_of_lives_in_cyclones";"Average annual loss of lives in cyclones";"n";"Total";;"Philippines";;;863.19;"Global_United Nations Development Programme, 2005";"Resilience"
1980;2000;"loss_of_lives_in_cyclones";"Average annual loss of lives in cyclones";"n";"Total";;"Korea Rep";;;71.52;"Global_United Nations Development Programme, 2005";"Resilience"
1980;2000;"loss_of_lives_in_cyclones";"Average annual loss of lives in cyclones";"n";"Total";;"Thailand";;;30.24;"Global_United Nations Development Programme, 2005";"Resilience"
1980;2000;"loss_of_lives_in_cyclones";"Average annual loss of lives in cyclones";"n";"Total";;"Vietnam";;;435.24;"Global_United Nations Development Programme, 2005";"Resilience"
1980;2000;"loss_of_lives_in_cyclones";"Average annual loss of lives in cyclones";"n";"Total";;"Belize";;;0.67;"Global_United Nations Development Programme, 2005";"Resilience"
1980;2000;"loss_of_lives_in_cyclones";"Average annual loss of lives in cyclones";"n";"Total";;"Colombia";;;1.48;"Global_United Nations Development Programme, 2005";"Resilience"
1980;2000;"loss_of_lives_in_cyclones";"Average annual loss of lives in cyclones";"n";"Total";;"Costa Rica";;;4.29;"Global_United Nations Development Programme, 2005";"Resilience"
1980;2000;"loss_of_lives_in_cyclones";"Average annual loss of lives in cyclones";"n";"Total";;"Dominican Republic";;;19.19;"Global_United Nations Development Programme, 2005";"Resilience"
1980;2000;"loss_of_lives_in_cyclones";"Average annual loss of lives in cyclones";"n";"Total";;"El Salvador";;;23.43;"Global_United Nations Development Programme, 2005";"Resilience"
1980;2000;"loss_of_lives_in_cyclones";"Average annual loss of lives in cyclones";"n";"Total";;"Guatemala";;;18.29;"Global_United Nations Development Programme, 2005";"Resilience"
1980;2000;"loss_of_lives_in_cyclones";"Average annual loss of lives in cyclones";"n";"Total";;"Haiti";;;81.24;"Global_United Nations Development Programme, 2005";"Resilience"
1980;2000;"loss_of_lives_in_cyclones";"Average annual loss of lives in cyclones";"n";"Total";;"Honduras";;;702.29;"Global_United Nations Development Programme, 2005";"Resilience"
1980;2000;"loss_of_lives_in_cyclones";"Average annual loss of lives in cyclones";"n";"Total";;"Jamaica";;;3.14;"Global_United Nations Development Programme, 2005";"Resilience"
1980;2000;"loss_of_lives_in_cyclones";"Average annual loss of lives in cyclones";"n";"Total";;"Mexico";;;80.76;"Global_United Nations Development Programme, 2005";"Resilience"
1980;2000;"loss_of_lives_in_cyclones";"Average annual loss of lives in cyclones";"n";"Total";;"Nicaragua";;;162.57;"Global_United Nations Development Programme, 2005";"Resilience"
1980;2000;"loss_of_lives_in_cyclones";"Average annual loss of lives in cyclones";"n";"Total";;"Venezuela";;;5.14;"Global_United Nations Development Programme, 2005";"Resilience"
1980;2000;"loss_of_lives_in_cyclones";"Average annual loss of lives in cyclones";"n";"Total";;"United States of America";;;222.86;"Global_United Nations Development Programme, 2005";"Resilience"
1980;2000;"loss_of_lives_in_cyclones";"Average annual loss of lives in cyclones";"n";"Total";;"Australia";;;4.43;"Global_United Nations Development Programme, 2005";"Resilience"
1980;2000;"loss_of_lives_in_cyclones";"Average annual loss of lives in cyclones";"n";"Total";;"Fiji";;;5.71;"Global_United Nations Development Programme, 2005";"Resilience"
1980;2000;"loss_of_lives_in_cyclones";"Average annual loss of lives in cyclones";"n";"Total";;"New Zealand";;;0.48;"Global_United Nations Development Programme, 2005";"Resilience"
1980;2000;"loss_of_lives_in_cyclones";"Average annual loss of lives in cyclones";"n";"Total";;"Papua New Guinea";;;2.24;"Global_United Nations Development Programme, 2005";"Resilience"
