"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
1980;2000;"loss_of_lives_in_cyclones_per_million_population";"Number of loss of lives in cyclones per million population";"n";"Total";;"Comoros";;;"5.97";"Global_United Nations Development Programme, 2005";"Resilience"
1980;2000;"loss_of_lives_in_cyclones_per_million_population";"Number of loss of lives in cyclones per million population";"n";"Total";;"Madagascar";;;"3.87";"Global_United Nations Development Programme, 2005";"Resilience"
1980;2000;"loss_of_lives_in_cyclones_per_million_population";"Number of loss of lives in cyclones per million population";"n";"Total";;"Mozambique";;;"1.41";"Global_United Nations Development Programme, 2005";"Resilience"
1980;2000;"loss_of_lives_in_cyclones_per_million_population";"Number of loss of lives in cyclones per million population";"n";"Total";;"Swaziland";;;"4.04";"Global_United Nations Development Programme, 2005";"Resilience"
1980;2000;"loss_of_lives_in_cyclones_per_million_population";"Number of loss of lives in cyclones per million population";"n";"Total";;"Bangladesh";;;"64.02";"Global_United Nations Development Programme, 2005";"Resilience"
1980;2000;"loss_of_lives_in_cyclones_per_million_population";"Number of loss of lives in cyclones per million population";"n";"Total";;"China";;;"0.37";"Global_United Nations Development Programme, 2005";"Resilience"
1980;2000;"loss_of_lives_in_cyclones_per_million_population";"Number of loss of lives in cyclones per million population";"n";"Total";;"India";;;"1.24";"Global_United Nations Development Programme, 2005";"Resilience"
1980;2000;"loss_of_lives_in_cyclones_per_million_population";"Number of loss of lives in cyclones per million population";"n";"Total";;"Japan";;;"0.32";"Global_United Nations Development Programme, 2005";"Resilience"
1980;2000;"loss_of_lives_in_cyclones_per_million_population";"Number of loss of lives in cyclones per million population";"n";"Total";;"Lao PDR";;;"0.6";"Global_United Nations Development Programme, 2005";"Resilience"
1980;2000;"loss_of_lives_in_cyclones_per_million_population";"Number of loss of lives in cyclones per million population";"n";"Total";;"Malaysia";;;"0.6";"Global_United Nations Development Programme, 2005";"Resilience"
1980;2000;"loss_of_lives_in_cyclones_per_million_population";"Number of loss of lives in cyclones per million population";"n";"Total";;"Pakistan";;;"0.46";"Global_United Nations Development Programme, 2005";"Resilience"
