"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
1980;2000;"loss_of_lives_in_floods";"Number of loss of lives in floods (Per million population)";"#";"Total";;"Angola";;;0.11;"Global_United Nations Development Programme, 2005";"Slum dwellers"
1980;2000;"loss_of_lives_in_floods";"Number of loss of lives in floods (Per million population)";"#";"Total";;"Benin";;;0.91;"Global_United Nations Development Programme, 2005";"Slum dwellers"
1980;2000;"loss_of_lives_in_floods";"Number of loss of lives in floods (Per million population)";"#";"Total";;"Botswana";;;1.07;"Global_United Nations Development Programme, 2005";"Slum dwellers"
1980;2000;"loss_of_lives_in_floods";"Number of loss of lives in floods (Per million population)";"#";"Total";;"Burkina Faso";;;0.23;"Global_United Nations Development Programme, 2005";"Slum dwellers"
1980;2000;"loss_of_lives_in_floods";"Number of loss of lives in floods (Per million population)";"#";"Total";;"Burundi";;;0.1;"Global_United Nations Development Programme, 2005";"Slum dwellers"
1980;2000;"loss_of_lives_in_floods";"Number of loss of lives in floods (Per million population)";"#";"Total";;"Cameroon";;;0.13;"Global_United Nations Development Programme, 2005";"Slum dwellers"
1980;2000;"loss_of_lives_in_floods";"Number of loss of lives in floods (Per million population)";"#";"Total";;"Central African Republic";;;0.09;"Global_United Nations Development Programme, 2005";"Slum dwellers"
1980;2000;"loss_of_lives_in_floods";"Number of loss of lives in floods (Per million population)";"#";"Total";;"Chad";;;0.63;"Global_United Nations Development Programme, 2005";"Slum dwellers"
1980;2000;"loss_of_lives_in_floods";"Number of loss of lives in floods (Per million population)";"#";"Total";;"Congo";;;0.03;"Global_United Nations Development Programme, 2005";"Slum dwellers"
1980;2000;"loss_of_lives_in_floods";"Number of loss of lives in floods (Per million population)";"#";"Total";;"Côte d’Ivoire";;;0.1;"Global_United Nations Development Programme, 2005";"Slum dwellers"
1980;2000;"loss_of_lives_in_floods";"Number of loss of lives in floods (Per million population)";"#";"Total";;"Congo Dem. Rep.";;;0.07;"Global_United Nations Development Programme, 2005";"Slum dwellers"
1980;2000;"loss_of_lives_in_floods";"Number of loss of lives in floods (Per million population)";"#";"Total";;"Djibouti";;;18.26;"Global_United Nations Development Programme, 2005";"Slum dwellers"
1980;2000;"loss_of_lives_in_floods";"Number of loss of lives in floods (Per million population)";"#";"Total";;"Egypt";;;0.48;"Global_United Nations Development Programme, 2005";"Slum dwellers"
1980;2000;"loss_of_lives_in_floods";"Number of loss of lives in floods (Per million population)";"#";"Total";;"Ethiopia";;;0.5;"Global_United Nations Development Programme, 2005";"Slum dwellers"
1980;2000;"loss_of_lives_in_floods";"Number of loss of lives in floods (Per million population)";"#";"Total";;"Gambia The";;;2.09;"Global_United Nations Development Programme, 2005";"Slum dwellers"
1980;2000;"loss_of_lives_in_floods";"Number of loss of lives in floods (Per million population)";"#";"Total";;"Ghana";;;0.6;"Global_United Nations Development Programme, 2005";"Slum dwellers"
1980;2000;"loss_of_lives_in_floods";"Number of loss of lives in floods (Per million population)";"#";"Total";;"Kenya";;;0.5;"Global_United Nations Development Programme, 2005";"Slum dwellers"
1980;2000;"loss_of_lives_in_floods";"Number of loss of lives in floods (Per million population)";"#";"Total";;"Lesotho";;;1.19;"Global_United Nations Development Programme, 2005";"Slum dwellers"
1980;2000;"loss_of_lives_in_floods";"Number of loss of lives in floods (Per million population)";"#";"Total";;"Liberia";;;0.19;"Global_United Nations Development Programme, 2005";"Slum dwellers"
