year;year_range;indicator_id;friendly_name;type_data;selection_type;deprivation_type;country;city;region;value;description;category
1992;;net_enrolment_rate_2_shelter_deprivation;Net enrolment rate  in primary education in urban and rural areas (Male) - 2 Shelter deprivation;p;2 Shelter deprivation;;Egypt;;;90;UNHABITAT_UNHABITAT_DHS;Slum dwellers
1995;;net_enrolment_rate_2_shelter_deprivation;Net enrolment rate  in primary education in urban and rural areas (Male) - 2 Shelter deprivation;p;2 Shelter deprivation;;Egypt;;;87.9;UNHABITAT_UNHABITAT_DHS;Slum dwellers
2000;;net_enrolment_rate_2_shelter_deprivation;Net enrolment rate  in primary education in urban and rural areas (Male) - 2 Shelter deprivation;p;2 Shelter deprivation;;Egypt;;;82.1;UNHABITAT_UNHABITAT_DHS;Slum dwellers
2003;;net_enrolment_rate_2_shelter_deprivation;Net enrolment rate  in primary education in urban and rural areas (Male) - 2 Shelter deprivation;p;2 Shelter deprivation;;Egypt;;;77.6;UNHABITAT_UNHABITAT_DHS;Slum dwellers
2005;;net_enrolment_rate_2_shelter_deprivation;Net enrolment rate  in primary education in urban and rural areas (Male) - 2 Shelter deprivation;p;2 Shelter deprivation;;Egypt;;;77.8;UNHABITAT_UNHABITAT_DHS;Slum dwellers
1992;;net_enrolment_rate_2_shelter_deprivation;Net enrolment rate  in primary education in urban and rural areas (Male) - 2 Shelter deprivation;p;2 Shelter deprivation;;Morocco;;;64;UNHABITAT_UNHABITAT_DHS;Slum dwellers
2004;;net_enrolment_rate_2_shelter_deprivation;Net enrolment rate  in primary education in urban and rural areas (Male) - 2 Shelter deprivation;p;2 Shelter deprivation;;Morocco;;;98.4;UNHABITAT_UNHABITAT_DHS;Slum dwellers
2000;;net_enrolment_rate_2_shelter_deprivation;Net enrolment rate  in primary education in urban and rural areas (Male) - 2 Shelter deprivation;p;2 Shelter deprivation;;Angola;;;63.5;UNHABITAT_UNHABITAT_DHS;Slum dwellers
1996;;net_enrolment_rate_2_shelter_deprivation;Net enrolment rate  in primary education in urban and rural areas (Male) - 2 Shelter deprivation;p;2 Shelter deprivation;;Benin;;;65;UNHABITAT_UNHABITAT_DHS;Slum dwellers
2001;;net_enrolment_rate_2_shelter_deprivation;Net enrolment rate  in primary education in urban and rural areas (Male) - 2 Shelter deprivation;p;2 Shelter deprivation;;Benin;;;64.1;UNHABITAT_UNHABITAT_DHS;Slum dwellers
1992;;net_enrolment_rate_2_shelter_deprivation;Net enrolment rate  in primary education in urban and rural areas (Male) - 2 Shelter deprivation;p;2 Shelter deprivation;;Burkina Faso;;;70.5;UNHABITAT_UNHABITAT_DHS;Slum dwellers
1999;;net_enrolment_rate_2_shelter_deprivation;Net enrolment rate  in primary education in urban and rural areas (Male) - 2 Shelter deprivation;p;2 Shelter deprivation;;Burkina Faso;;;74;UNHABITAT_UNHABITAT_DHS;Slum dwellers
2003;;net_enrolment_rate_2_shelter_deprivation;Net enrolment rate  in primary education in urban and rural areas (Male) - 2 Shelter deprivation;p;2 Shelter deprivation;;Burkina Faso;;;61.6;UNHABITAT_UNHABITAT_DHS;Slum dwellers
1991;;net_enrolment_rate_2_shelter_deprivation;Net enrolment rate  in primary education in urban and rural areas (Male) - 2 Shelter deprivation;p;2 Shelter deprivation;;Cameroon;;;70.8;UNHABITAT_UNHABITAT_DHS;Slum dwellers
1998;;net_enrolment_rate_2_shelter_deprivation;Net enrolment rate  in primary education in urban and rural areas (Male) - 2 Shelter deprivation;p;2 Shelter deprivation;;Cameroon;;;82.4;UNHABITAT_UNHABITAT_DHS;Slum dwellers
2004;;net_enrolment_rate_2_shelter_deprivation;Net enrolment rate  in primary education in urban and rural areas (Male) - 2 Shelter deprivation;p;2 Shelter deprivation;;Cameroon;;;83.9;UNHABITAT_UNHABITAT_DHS;Slum dwellers
1994;;net_enrolment_rate_2_shelter_deprivation;Net enrolment rate  in primary education in urban and rural areas (Male) - 2 Shelter deprivation;p;2 Shelter deprivation;;Central African Republic;;;75.6;UNHABITAT_UNHABITAT_DHS;Slum dwellers
1996;;net_enrolment_rate_2_shelter_deprivation;Net enrolment rate  in primary education in urban and rural areas (Male) - 2 Shelter deprivation;p;2 Shelter deprivation;;Chad;;;59.6;UNHABITAT_UNHABITAT_DHS;Slum dwellers
2004;;net_enrolment_rate_2_shelter_deprivation;Net enrolment rate  in primary education in urban and rural areas (Male) - 2 Shelter deprivation;p;2 Shelter deprivation;;Chad;;;60;UNHABITAT_UNHABITAT_DHS;Slum dwellers
1996;;net_enrolment_rate_2_shelter_deprivation;Net enrolment rate  in primary education in urban and rural areas (Male) - 2 Shelter deprivation;p;2 Shelter deprivation;;Comoros;;;42.3;UNHABITAT_UNHABITAT_DHS;Slum dwellers
