"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
1992;;"net_enrolment_rate_non_slum";"Net enrolment rate in primary education in urban and rural areas (Male) – Non slum";"p";"Non-slum";;"Egypt";;;"91.4";"UNHABITAT_UNHABITAT_DHS";"Education"
1995;;"net_enrolment_rate_non_slum";"Net enrolment rate in primary education in urban and rural areas (Male) – Non slum";"p";"Non-slum";;"Egypt";;;"94.8";"UNHABITAT_UNHABITAT_DHS";"Education"
2000;;"net_enrolment_rate_non_slum";"Net enrolment rate in primary education in urban and rural areas (Male) – Non slum";"p";"Non-slum";;"Egypt";;;"89.3";"UNHABITAT_UNHABITAT_DHS";"Education"
2003;;"net_enrolment_rate_non_slum";"Net enrolment rate in primary education in urban and rural areas (Male) – Non slum";"p";"Non-slum";;"Egypt";;;85;"UNHABITAT_UNHABITAT_DHS";"Education"
2005;;"net_enrolment_rate_non_slum";"Net enrolment rate in primary education in urban and rural areas (Male) – Non slum";"p";"Non-slum";;"Egypt";;;"88.6";"UNHABITAT_UNHABITAT_DHS";"Education"
1992;;"net_enrolment_rate_non_slum";"Net enrolment rate in primary education in urban and rural areas (Male) – Non slum";"p";"Non-slum";;"Morocco";;;"76.5";"UNHABITAT_UNHABITAT_DHS";"Education"
2004;;"net_enrolment_rate_non_slum";"Net enrolment rate in primary education in urban and rural areas (Male) – Non slum";"p";"Non-slum";;"Morocco";;;"96.6";"UNHABITAT_UNHABITAT_DHS";"Education"
2000;;"net_enrolment_rate_non_slum";"Net enrolment rate in primary education in urban and rural areas (Male) – Non slum";"p";"Non-slum";;"Angola";;;"65.1";"UNHABITAT_UNHABITAT_DHS";"Education"
1996;;"net_enrolment_rate_non_slum";"Net enrolment rate in primary education in urban and rural areas (Male) – Non slum";"p";"Non-slum";;"Benin";;;"81.8";"UNHABITAT_UNHABITAT_DHS";"Education"
2001;;"net_enrolment_rate_non_slum";"Net enrolment rate in primary education in urban and rural areas (Male) – Non slum";"p";"Non-slum";;"Benin";;;"88.4";"UNHABITAT_UNHABITAT_DHS";"Education"
1992;;"net_enrolment_rate_non_slum";"Net enrolment rate in primary education in urban and rural areas (Male) – Non slum";"p";"Non-slum";;"Burkina Faso";;;"77.7";"UNHABITAT_UNHABITAT_DHS";"Education"
1999;;"net_enrolment_rate_non_slum";"Net enrolment rate in primary education in urban and rural areas (Male) – Non slum";"p";"Non-slum";;"Burkina Faso";;;"80.4";"UNHABITAT_UNHABITAT_DHS";"Education"
2003;;"net_enrolment_rate_non_slum";"Net enrolment rate in primary education in urban and rural areas (Male) – Non slum";"p";"Non-slum";;"Burkina Faso";;;84;"UNHABITAT_UNHABITAT_DHS";"Education"
1991;;"net_enrolment_rate_non_slum";"Net enrolment rate in primary education in urban and rural areas (Male) – Non slum";"p";"Non-slum";;"Cameroon";;;86;"UNHABITAT_UNHABITAT_DHS";"Education"
1998;;"net_enrolment_rate_non_slum";"Net enrolment rate in primary education in urban and rural areas (Male) – Non slum";"p";"Non-slum";;"Cameroon";;;"93.8";"UNHABITAT_UNHABITAT_DHS";"Education"
2004;;"net_enrolment_rate_non_slum";"Net enrolment rate in primary education in urban and rural areas (Male) – Non slum";"p";"Non-slum";;"Cameroon";;;"93.5";"UNHABITAT_UNHABITAT_DHS";"Education"
1994;;"net_enrolment_rate_non_slum";"Net enrolment rate in primary education in urban and rural areas (Male) – Non slum";"p";"Non-slum";;"Central African Republic";;;"79.8";"UNHABITAT_UNHABITAT_DHS";"Education"
1996;;"net_enrolment_rate_non_slum";"Net enrolment rate in primary education in urban and rural areas (Male) – Non slum";"p";"Non-slum";;"Chad";;;"84.1";"UNHABITAT_UNHABITAT_DHS";"Education"
2004;;"net_enrolment_rate_non_slum";"Net enrolment rate in primary education in urban and rural areas (Male) – Non slum";"p";"Non-slum";;"Chad";;;"83.9";"UNHABITAT_UNHABITAT_DHS";"Education"
1996;;"net_enrolment_rate_non_slum";"Net enrolment rate in primary education in urban and rural areas (Male) – Non slum";"p";"Non-slum";;"Comoros";;;"76.1";"UNHABITAT_UNHABITAT_DHS";"Education"
2005;;"net_enrolment_rate_non_slum";"Net enrolment rate in primary education in urban and rural areas (Male) – Non slum";"p";"Non-slum";;"Congo";;;"90.1";"UNHABITAT_UNHABITAT_DHS";"Education"
1994;;"net_enrolment_rate_non_slum";"Net enrolment rate in primary education in urban and rural areas (Male) – Non slum";"p";"Non-slum";;"Côte d’Ivoire";;;"74.6";"UNHABITAT_UNHABITAT_DHS";"Education"
1999;;"net_enrolment_rate_non_slum";"Net enrolment rate in primary education in urban and rural areas (Male) – Non slum";"p";"Non-slum";;"Côte d’Ivoire";;;"77.2";"UNHABITAT_UNHABITAT_DHS";"Education"
2005;;"net_enrolment_rate_non_slum";"Net enrolment rate in primary education in urban and rural areas (Male) – Non slum";"p";"Non-slum";;"Côte d’Ivoire";;;"77.8";"UNHABITAT_UNHABITAT_DHS";"Education"
2000;;"net_enrolment_rate_non_slum";"Net enrolment rate in primary education in urban and rural areas (Male) – Non slum";"p";"Non-slum";;"Congo Dem. Rep.";;;"88.5";"UNHABITAT_UNHABITAT_DHS";"Education"
2000;;"net_enrolment_rate_non_slum";"Net enrolment rate in primary education in urban and rural areas (Male) – Non slum";"p";"Non-slum";;"Ethiopia";;;"91.1";"UNHABITAT_UNHABITAT_DHS";"Education"
2005;;"net_enrolment_rate_non_slum";"Net enrolment rate in primary education in urban and rural areas (Male) – Non slum";"p";"Non-slum";;"Ethiopia";;;85;"UNHABITAT_UNHABITAT_DHS";"Education"
2000;;"net_enrolment_rate_non_slum";"Net enrolment rate in primary education in urban and rural areas (Male) – Non slum";"p";"Non-slum";;"Gabon";;;"92.8";"UNHABITAT_UNHABITAT_DHS";"Education"
2000;;"net_enrolment_rate_non_slum";"Net enrolment rate in primary education in urban and rural areas (Male) – Non slum";"p";"Non-slum";;"Gambia The";;;"65.6";"UNHABITAT_UNHABITAT_DHS";"Education"
1993;;"net_enrolment_rate_non_slum";"Net enrolment rate in primary education in urban and rural areas (Male) – Non slum";"p";"Non-slum";;"Ghana";;;"86.1";"UNHABITAT_UNHABITAT_DHS";"Education"
