"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
1992;;"net_enrolment_rate_rural";"Net enrolment rate  in primary education in urban and rural areas (Male) – Rural";"p";"Rural";;"Egypt";;;"84.7";"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
1995;;"net_enrolment_rate_rural";"Net enrolment rate  in primary education in urban and rural areas (Male) – Rural";"p";"Rural";;"Egypt";;;"85.9";"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
2000;;"net_enrolment_rate_rural";"Net enrolment rate  in primary education in urban and rural areas (Male) – Rural";"p";"Rural";;"Egypt";;;"86.8";"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
2003;;"net_enrolment_rate_rural";"Net enrolment rate  in primary education in urban and rural areas (Male) – Rural";"p";"Rural";;"Egypt";;;"82.6";"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
2005;;"net_enrolment_rate_rural";"Net enrolment rate  in primary education in urban and rural areas (Male) – Rural";"p";"Rural";;"Egypt";;;"85.4";"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
1992;;"net_enrolment_rate_rural";"Net enrolment rate  in primary education in urban and rural areas (Male) – Rural";"p";"Rural";;"Morocco";;;"44.5";"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
2004;;"net_enrolment_rate_rural";"Net enrolment rate  in primary education in urban and rural areas (Male) – Rural";"p";"Rural";;"Morocco";;;85;"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
2000;;"net_enrolment_rate_rural";"Net enrolment rate  in primary education in urban and rural areas (Male) – Rural";"p";"Rural";;"Angola";;;"54.8";"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
1996;;"net_enrolment_rate_rural";"Net enrolment rate  in primary education in urban and rural areas (Male) – Rural";"p";"Rural";;"Benin";;;"41.5";"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
2001;;"net_enrolment_rate_rural";"Net enrolment rate  in primary education in urban and rural areas (Male) – Rural";"p";"Rural";;"Benin";;;"54.4";"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
1992;;"net_enrolment_rate_rural";"Net enrolment rate  in primary education in urban and rural areas (Male) – Rural";"p";"Rural";;"Burkina Faso";;;07/28/14;"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
1999;;"net_enrolment_rate_rural";"Net enrolment rate  in primary education in urban and rural areas (Male) – Rural";"p";"Rural";;"Burkina Faso";;;02/26/14;"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
2003;;"net_enrolment_rate_rural";"Net enrolment rate  in primary education in urban and rural areas (Male) – Rural";"p";"Rural";;"Burkina Faso";;;04/28/14;"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
1991;;"net_enrolment_rate_rural";"Net enrolment rate  in primary education in urban and rural areas (Male) – Rural";"p";"Rural";;"Cameroon";;;"64.1";"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
1998;;"net_enrolment_rate_rural";"Net enrolment rate  in primary education in urban and rural areas (Male) – Rural";"p";"Rural";;"Cameroon";;;"63.3";"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
2004;;"net_enrolment_rate_rural";"Net enrolment rate  in primary education in urban and rural areas (Male) – Rural";"p";"Rural";;"Cameroon";;;"73.2";"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
1994;;"net_enrolment_rate_rural";"Net enrolment rate  in primary education in urban and rural areas (Male) – Rural";"p";"Rural";;"Central African Republic";;;"52.6";"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
1996;;"net_enrolment_rate_rural";"Net enrolment rate  in primary education in urban and rural areas (Male) – Rural";"p";"Rural";;"Chad";;;08/28/14;"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
2004;;"net_enrolment_rate_rural";"Net enrolment rate  in primary education in urban and rural areas (Male) – Rural";"p";"Rural";;"Chad";;;"33.7";"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
1996;;"net_enrolment_rate_rural";"Net enrolment rate  in primary education in urban and rural areas (Male) – Rural";"p";"Rural";;"Comoros";;;"41.8";"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
2005;;"net_enrolment_rate_rural";"Net enrolment rate  in primary education in urban and rural areas (Male) – Rural";"p";"Rural";;"Congo";;;"81.6";"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
1994;;"net_enrolment_rate_rural";"Net enrolment rate  in primary education in urban and rural areas (Male) – Rural";"p";"Rural";;"Côte d’Ivoire";;;46;"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
1999;;"net_enrolment_rate_rural";"Net enrolment rate  in primary education in urban and rural areas (Male) – Rural";"p";"Rural";;"Côte d’Ivoire";;;"50.7";"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
2005;;"net_enrolment_rate_rural";"Net enrolment rate  in primary education in urban and rural areas (Male) – Rural";"p";"Rural";;"Côte d’Ivoire";;;"49.3";"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
2000;;"net_enrolment_rate_rural";"Net enrolment rate  in primary education in urban and rural areas (Male) – Rural";"p";"Rural";;"Congo Dem. Rep.";;;47;"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
2000;;"net_enrolment_rate_rural";"Net enrolment rate  in primary education in urban and rural areas (Male) – Rural";"p";"Rural";;"Ethiopia";;;03/27/14;"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
2005;;"net_enrolment_rate_rural";"Net enrolment rate  in primary education in urban and rural areas (Male) – Rural";"p";"Rural";;"Ethiopia";;;39;"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
2000;;"net_enrolment_rate_rural";"Net enrolment rate  in primary education in urban and rural areas (Male) – Rural";"p";"Rural";;"Gabon";;;"92.3";"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
2000;;"net_enrolment_rate_rural";"Net enrolment rate  in primary education in urban and rural areas (Male) – Rural";"p";"Rural";;"Gambia The";;;"43.7";"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
1993;;"net_enrolment_rate_rural";"Net enrolment rate  in primary education in urban and rural areas (Male) – Rural";"p";"Rural";;"Ghana";;;"71.6";"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
1999;;"net_enrolment_rate_rural";"Net enrolment rate  in primary education in urban and rural areas (Male) – Rural";"p";"Rural";;"Ghana";;;"70.5";"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
2003;;"net_enrolment_rate_rural";"Net enrolment rate  in primary education in urban and rural areas (Male) – Rural";"p";"Rural";;"Ghana";;;"56.2";"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
1999;;"net_enrolment_rate_rural";"Net enrolment rate  in primary education in urban and rural areas (Male) – Rural";"p";"Rural";;"Guinea";;;18;"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
2005;;"net_enrolment_rate_rural";"Net enrolment rate  in primary education in urban and rural areas (Male) – Rural";"p";"Rural";;"Guinea";;;"35.9";"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
1993;;"net_enrolment_rate_rural";"Net enrolment rate  in primary education in urban and rural areas (Male) – Rural";"p";"Rural";;"Kenya";;;"74.9";"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
1998;;"net_enrolment_rate_rural";"Net enrolment rate  in primary education in urban and rural areas (Male) – Rural";"p";"Rural";;"Kenya";;;"81.3";"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
2003;;"net_enrolment_rate_rural";"Net enrolment rate  in primary education in urban and rural areas (Male) – Rural";"p";"Rural";;"Kenya";;;"77.8";"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
2000;;"net_enrolment_rate_rural";"Net enrolment rate  in primary education in urban and rural areas (Male) – Rural";"p";"Rural";;"Lesotho";;;"60.4";"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
2004;;"net_enrolment_rate_rural";"Net enrolment rate  in primary education in urban and rural areas (Male) – Rural";"p";"Rural";;"Lesotho";;;"81.4";"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
1997;;"net_enrolment_rate_rural";"Net enrolment rate  in primary education in urban and rural areas (Male) – Rural";"p";"Rural";;"Madagascar";;;"51.8";"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
2003;;"net_enrolment_rate_rural";"Net enrolment rate  in primary education in urban and rural areas (Male) – Rural";"p";"Rural";;"Madagascar";;;"70.5";"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
1992;;"net_enrolment_rate_rural";"Net enrolment rate  in primary education in urban and rural areas (Male) – Rural";"p";"Rural";;"Malawi";;;"55.4";"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
2000;;"net_enrolment_rate_rural";"Net enrolment rate  in primary education in urban and rural areas (Male) – Rural";"p";"Rural";;"Malawi";;;"73.4";"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
2004;;"net_enrolment_rate_rural";"Net enrolment rate  in primary education in urban and rural areas (Male) – Rural";"p";"Rural";;"Malawi";;;"78.7";"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
1996;;"net_enrolment_rate_rural";"Net enrolment rate  in primary education in urban and rural areas (Male) – Rural";"p";"Rural";;"Mali";;;05/22/14;"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
2001;;"net_enrolment_rate_rural";"Net enrolment rate  in primary education in urban and rural areas (Male) – Rural";"p";"Rural";;"Mali";;;"36.5";"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
1997;;"net_enrolment_rate_rural";"Net enrolment rate  in primary education in urban and rural areas (Male) – Rural";"p";"Rural";;"Mozambique";;;"51.4";"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
2003;;"net_enrolment_rate_rural";"Net enrolment rate  in primary education in urban and rural areas (Male) – Rural";"p";"Rural";;"Mozambique";;;"56.9";"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
1998;;"net_enrolment_rate_rural";"Net enrolment rate  in primary education in urban and rural areas (Male) – Rural";"p";"Rural";;"Namibia";;;"83.7";"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
2000;;"net_enrolment_rate_rural";"Net enrolment rate  in primary education in urban and rural areas (Male) – Rural";"p";"Rural";;"Namibia";;;"83.1";"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
1992;;"net_enrolment_rate_rural";"Net enrolment rate  in primary education in urban and rural areas (Male) – Rural";"p";"Rural";;"Niger";;;07/16/14;"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
1998;;"net_enrolment_rate_rural";"Net enrolment rate  in primary education in urban and rural areas (Male) – Rural";"p";"Rural";;"Niger";;;03/22/14;"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
1999;;"net_enrolment_rate_rural";"Net enrolment rate  in primary education in urban and rural areas (Male) – Rural";"p";"Rural";;"Nigeria";;;"53.1";"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
2003;;"net_enrolment_rate_rural";"Net enrolment rate  in primary education in urban and rural areas (Male) – Rural";"p";"Rural";;"Nigeria";;;"57.9";"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
1992;;"net_enrolment_rate_rural";"Net enrolment rate  in primary education in urban and rural areas (Male) – Rural";"p";"Rural";;"Rwanda";;;"60.4";"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
2000;;"net_enrolment_rate_rural";"Net enrolment rate  in primary education in urban and rural areas (Male) – Rural";"p";"Rural";;"Rwanda";;;"69.5";"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
2005;;"net_enrolment_rate_rural";"Net enrolment rate  in primary education in urban and rural areas (Male) – Rural";"p";"Rural";;"Rwanda";;;"83.5";"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
1993;;"net_enrolment_rate_rural";"Net enrolment rate  in primary education in urban and rural areas (Male) – Rural";"p";"Rural";;"Senegal";;;08/18/14;"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
2005;;"net_enrolment_rate_rural";"Net enrolment rate  in primary education in urban and rural areas (Male) – Rural";"p";"Rural";;"Senegal";;;"40.2";"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
2000;;"net_enrolment_rate_rural";"Net enrolment rate  in primary education in urban and rural areas (Male) – Rural";"p";"Rural";;"Sierra Leone";;;"33.4";"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
1998;;"net_enrolment_rate_rural";"Net enrolment rate  in primary education in urban and rural areas (Male) – Rural";"p";"Rural";;"South Africa";;;70;"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
1992;;"net_enrolment_rate_rural";"Net enrolment rate  in primary education in urban and rural areas (Male) – Rural";"p";"Rural";;"Tanzania";;;"47.9";"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
1996;;"net_enrolment_rate_rural";"Net enrolment rate  in primary education in urban and rural areas (Male) – Rural";"p";"Rural";;"Tanzania";;;"45.7";"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
1999;;"net_enrolment_rate_rural";"Net enrolment rate  in primary education in urban and rural areas (Male) – Rural";"p";"Rural";;"Tanzania";;;47;"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
2004;;"net_enrolment_rate_rural";"Net enrolment rate  in primary education in urban and rural areas (Male) – Rural";"p";"Rural";;"Tanzania";;;"67.4";"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
1999;;"net_enrolment_rate_rural";"Net enrolment rate  in primary education in urban and rural areas (Male) – Rural";"p";"Rural";;"Togo";;;"67.7";"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
1995;;"net_enrolment_rate_rural";"Net enrolment rate  in primary education in urban and rural areas (Male) – Rural";"p";"Rural";;"Uganda";;;"73.5";"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
2001;;"net_enrolment_rate_rural";"Net enrolment rate  in primary education in urban and rural areas (Male) – Rural";"p";"Rural";;"Uganda";;;86;"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
1996;;"net_enrolment_rate_rural";"Net enrolment rate  in primary education in urban and rural areas (Male) – Rural";"p";"Rural";;"Zambia";;;"57.5";"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
2002;;"net_enrolment_rate_rural";"Net enrolment rate  in primary education in urban and rural areas (Male) – Rural";"p";"Rural";;"Zambia";;;"61.6";"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
1994;;"net_enrolment_rate_rural";"Net enrolment rate  in primary education in urban and rural areas (Male) – Rural";"p";"Rural";;"Zimbabwe";;;"88.8";"UNHABITAT_UNHABITAT_DHS";"Slum dwellers"
