"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
1992;;"net_enrolment_rate_slum";"Net enrolment rate in primary education in urban and rural areas (Male) – Slum";"p";"Slum";;"Egypt";;;"89.8";"UNHABITAT_UNHABITAT_DHS";"Education"
1995;;"net_enrolment_rate_slum";"Net enrolment rate in primary education in urban and rural areas (Male) – Slum";"p";"Slum";;"Egypt";;;"88.6";"UNHABITAT_UNHABITAT_DHS";"Education"
2000;;"net_enrolment_rate_slum";"Net enrolment rate in primary education in urban and rural areas (Male) – Slum";"p";"Slum";;"Egypt";;;"81.8";"UNHABITAT_UNHABITAT_DHS";"Education"
2003;;"net_enrolment_rate_slum";"Net enrolment rate in primary education in urban and rural areas (Male) – Slum";"p";"Slum";;"Egypt";;;"81.2";"UNHABITAT_UNHABITAT_DHS";"Education"
2005;;"net_enrolment_rate_slum";"Net enrolment rate in primary education in urban and rural areas (Male) – Slum";"p";"Slum";;"Egypt";;;"86.2";"UNHABITAT_UNHABITAT_DHS";"Education"
1992;;"net_enrolment_rate_slum";"Net enrolment rate in primary education in urban and rural areas (Male) – Slum";"p";"Slum";;"Morocco";;;"67.7";"UNHABITAT_UNHABITAT_DHS";"Education"
2004;;"net_enrolment_rate_slum";"Net enrolment rate in primary education in urban and rural areas (Male) – Slum";"p";"Slum";;"Morocco";;;"91.2";"UNHABITAT_UNHABITAT_DHS";"Education"
2000;;"net_enrolment_rate_slum";"Net enrolment rate in primary education in urban and rural areas (Male) – Slum";"p";"Slum";;"Angola";;;"62.6";"UNHABITAT_UNHABITAT_DHS";"Education"
1996;;"net_enrolment_rate_slum";"Net enrolment rate in primary education in urban and rural areas (Male) – Slum";"p";"Slum";;"Benin";;;"67.5";"UNHABITAT_UNHABITAT_DHS";"Education"
2001;;"net_enrolment_rate_slum";"Net enrolment rate in primary education in urban and rural areas (Male) – Slum";"p";"Slum";;"Benin";;;65;"UNHABITAT_UNHABITAT_DHS";"Education"
1992;;"net_enrolment_rate_slum";"Net enrolment rate in primary education in urban and rural areas (Male) – Slum";"p";"Slum";;"Burkina Faso";;;"71.6";"UNHABITAT_UNHABITAT_DHS";"Education"
1999;;"net_enrolment_rate_slum";"Net enrolment rate in primary education in urban and rural areas (Male) – Slum";"p";"Slum";;"Burkina Faso";;;"72.7";"UNHABITAT_UNHABITAT_DHS";"Education"
2003;;"net_enrolment_rate_slum";"Net enrolment rate in primary education in urban and rural areas (Male) – Slum";"p";"Slum";;"Burkina Faso";;;"75.5";"UNHABITAT_UNHABITAT_DHS";"Education"
