"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
1992;;"net_enrolment_rate_urban";"Net enrolment rate in primary education in urban and rural areas (Male) – Urban";"p";"Urban";;"Egypt";;;90.5;"UNHABITAT_UNHABITAT_DHS";"Education"
1995;;"net_enrolment_rate_urban";"Net enrolment rate in primary education in urban and rural areas (Male) – Urban";"p";"Urban";;"Egypt";;;91.6;"UNHABITAT_UNHABITAT_DHS";"Education"
2000;;"net_enrolment_rate_urban";"Net enrolment rate in primary education in urban and rural areas (Male) – Urban";"p";"Urban";;"Egypt";;;87.1;"UNHABITAT_UNHABITAT_DHS";"Education"
2003;;"net_enrolment_rate_urban";"Net enrolment rate in primary education in urban and rural areas (Male) – Urban";"p";"Urban";;"Egypt";;;84.1;"UNHABITAT_UNHABITAT_DHS";"Education"
2005;;"net_enrolment_rate_urban";"Net enrolment rate in primary education in urban and rural areas (Male) – Urban";"p";"Urban";;"Egypt";;;88.1;"UNHABITAT_UNHABITAT_DHS";"Education"
1992;;"net_enrolment_rate_urban";"Net enrolment rate in primary education in urban and rural areas (Male) – Urban";"p";"Urban";;"Morocco";;;71.7;"UNHABITAT_UNHABITAT_DHS";"Education"
2004;;"net_enrolment_rate_urban";"Net enrolment rate in primary education in urban and rural areas (Male) – Urban";"p";"Urban";;"Morocco";;;95.5;"UNHABITAT_UNHABITAT_DHS";"Education"
2000;;"net_enrolment_rate_urban";"Net enrolment rate in primary education in urban and rural areas (Male) – Urban";"p";"Urban";;"Angola";;;63.2;"UNHABITAT_UNHABITAT_DHS";"Education"
1996;;"net_enrolment_rate_urban";"Net enrolment rate in primary education in urban and rural areas (Male) – Urban";"p";"Urban";;"Benin";;;70.6;"UNHABITAT_UNHABITAT_DHS";"Education"
2001;;"net_enrolment_rate_urban";"Net enrolment rate in primary education in urban and rural areas (Male) – Urban";"p";"Urban";;"Benin";;;74;"UNHABITAT_UNHABITAT_DHS";"Education"
1992;;"net_enrolment_rate_urban";"Net enrolment rate in primary education in urban and rural areas (Male) – Urban";"p";"Urban";;"Burkina Faso";;;72.8;"UNHABITAT_UNHABITAT_DHS";"Education"
1999;;"net_enrolment_rate_urban";"Net enrolment rate in primary education in urban and rural areas (Male) – Urban";"p";"Urban";;"Burkina Faso";;;74.4;"UNHABITAT_UNHABITAT_DHS";"Education"
2003;;"net_enrolment_rate_urban";"Net enrolment rate in primary education in urban and rural areas (Male) – Urban";"p";"Urban";;"Burkina Faso";;;79.7;"UNHABITAT_UNHABITAT_DHS";"Education"
1991;;"net_enrolment_rate_urban";"Net enrolment rate in primary education in urban and rural areas (Male) – Urban";"p";"Urban";;"Cameroon";;;75;"UNHABITAT_UNHABITAT_DHS";"Education"
1998;;"net_enrolment_rate_urban";"Net enrolment rate in primary education in urban and rural areas (Male) – Urban";"p";"Urban";;"Cameroon";;;86.9;"UNHABITAT_UNHABITAT_DHS";"Education"
2004;;"net_enrolment_rate_urban";"Net enrolment rate in primary education in urban and rural areas (Male) – Urban";"p";"Urban";;"Cameroon";;;87.8;"UNHABITAT_UNHABITAT_DHS";"Education"
1994;;"net_enrolment_rate_urban";"Net enrolment rate in primary education in urban and rural areas (Male) – Urban";"p";"Urban";;"Central African Republic";;;73.6;"UNHABITAT_UNHABITAT_DHS";"Education"
1996;;"net_enrolment_rate_urban";"Net enrolment rate in primary education in urban and rural areas (Male) – Urban";"p";"Urban";;"Chad";;;52.8;"UNHABITAT_UNHABITAT_DHS";"Education"
2004;;"net_enrolment_rate_urban";"Net enrolment rate in primary education in urban and rural areas (Male) – Urban";"p";"Urban";;"Chad";;;59.9;"UNHABITAT_UNHABITAT_DHS";"Education"
1996;;"net_enrolment_rate_urban";"Net enrolment rate in primary education in urban and rural areas (Male) – Urban";"p";"Urban";;"Comoros";;;55.5;"UNHABITAT_UNHABITAT_DHS";"Education"
2005;;"net_enrolment_rate_urban";"Net enrolment rate in primary education in urban and rural areas (Male) – Urban";"p";"Urban";;"Congo";;;87.8;"UNHABITAT_UNHABITAT_DHS";"Education"
1994;;"net_enrolment_rate_urban";"Net enrolment rate in primary education in urban and rural areas (Male) – Urban";"p";"Urban";;"Côte d’Ivoire";;;67.2;"UNHABITAT_UNHABITAT_DHS";"Education"
1999;;"net_enrolment_rate_urban";"Net enrolment rate in primary education in urban and rural areas (Male) – Urban";"p";"Urban";;"Côte d’Ivoire";;;67.1;"UNHABITAT_UNHABITAT_DHS";"Education"
2005;;"net_enrolment_rate_urban";"Net enrolment rate in primary education in urban and rural areas (Male) – Urban";"p";"Urban";;"Côte d’Ivoire";;;66.4;"UNHABITAT_UNHABITAT_DHS";"Education"
2000;;"net_enrolment_rate_urban";"Net enrolment rate in primary education in urban and rural areas (Male) – Urban";"p";"Urban";;"Congo Dem. Rep.";;;72.9;"UNHABITAT_UNHABITAT_DHS";"Education"
2000;;"net_enrolment_rate_urban";"Net enrolment rate in primary education in urban and rural areas (Male) – Urban";"p";"Urban";;"Ethiopia";;;75.1;"UNHABITAT_UNHABITAT_DHS";"Education"
