"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
1950;;"number_of_cities_500k_1_million";"Number of cities by country – 500 000 to 1 million inhabitants";"n";"500 000 to 1 million";;"Africa";;;5;"United Nations Department of Economic and Social Affairs_World Urbanization Prospects_2007";"Population"
1955;;"number_of_cities_500k_1_million";"Number of cities by country – 500 000 to 1 million inhabitants";"n";"500 000 to 1 million";;"Africa";;;5;"United Nations Department of Economic and Social Affairs_World Urbanization Prospects_2007";"Population"
1960;;"number_of_cities_500k_1_million";"Number of cities by country – 500 000 to 1 million inhabitants";"n";"500 000 to 1 million";;"Africa";;;8;"United Nations Department of Economic and Social Affairs_World Urbanization Prospects_2007";"Population"
1965;;"number_of_cities_500k_1_million";"Number of cities by country – 500 000 to 1 million inhabitants";"n";"500 000 to 1 million";;"Africa";;;6;"United Nations Department of Economic and Social Affairs_World Urbanization Prospects_2007";"Population"
1970;;"number_of_cities_500k_1_million";"Number of cities by country – 500 000 to 1 million inhabitants";"n";"500 000 to 1 million";;"Africa";;;12;"United Nations Department of Economic and Social Affairs_World Urbanization Prospects_2007";"Population"
1975;;"number_of_cities_500k_1_million";"Number of cities by country – 500 000 to 1 million inhabitants";"n";"500 000 to 1 million";;"Africa";;;18;"United Nations Department of Economic and Social Affairs_World Urbanization Prospects_2007";"Population"
1980;;"number_of_cities_500k_1_million";"Number of cities by country – 500 000 to 1 million inhabitants";"n";"500 000 to 1 million";;"Africa";;;20;"United Nations Department of Economic and Social Affairs_World Urbanization Prospects_2007";"Population"
1985;;"number_of_cities_500k_1_million";"Number of cities by country – 500 000 to 1 million inhabitants";"n";"500 000 to 1 million";;"Africa";;;27;"United Nations Department of Economic and Social Affairs_World Urbanization Prospects_2007";"Population"
1990;;"number_of_cities_500k_1_million";"Number of cities by country – 500 000 to 1 million inhabitants";"n";"500 000 to 1 million";;"Africa";;;32;"United Nations Department of Economic and Social Affairs_World Urbanization Prospects_2007";"Population"
1995;;"number_of_cities_500k_1_million";"Number of cities by country – 500 000 to 1 million inhabitants";"n";"500 000 to 1 million";;"Africa";;;37;"United Nations Department of Economic and Social Affairs_World Urbanization Prospects_2007";"Population"
2000;;"number_of_cities_500k_1_million";"Number of cities by country – 500 000 to 1 million inhabitants";"n";"500 000 to 1 million";;"Africa";;;39;"United Nations Department of Economic and Social Affairs_World Urbanization Prospects_2007";"Population"
2005;;"number_of_cities_500k_1_million";"Number of cities by country – 500 000 to 1 million inhabitants";"n";"500 000 to 1 million";;"Africa";;;45;"United Nations Department of Economic and Social Affairs_World Urbanization Prospects_2007";"Population"
