year;year_range;indicator_id;friendly_name;type_data;selection_type;deprivation_type;country;city;region;value;description;category
1980;2000;number_of_cyclones;Average annual number of events in cyclones;n;Total;;Cape Verde;;;0.1;UNDP_United Nations Development Programme, 2005;Slum dwellers
1980;2000;number_of_cyclones;Average annual number of events in cyclones;n;Total;;Comoros;;;0.19;UNDP_United Nations Development Programme, 2005;Slum dwellers
1980;2000;number_of_cyclones;Average annual number of events in cyclones;n;Total;;Madagascar;;;0.71;UNDP_United Nations Development Programme, 2005;Slum dwellers
1980;2000;number_of_cyclones;Average annual number of events in cyclones;n;Total;;Mozambique;;;0.33;UNDP_United Nations Development Programme, 2005;Slum dwellers
1980;2000;number_of_cyclones;Average annual number of events in cyclones;n;Total;;Swaziland;;;0.05;UNDP_United Nations Development Programme, 2005;Slum dwellers
1980;2000;number_of_cyclones;Average annual number of events in cyclones;n;Total;;Bangladesh;;;3.43;UNDP_United Nations Development Programme, 2005;Slum dwellers
1980;2000;number_of_cyclones;Average annual number of events in cyclones;n;Total;;China;;;6.9;UNDP_United Nations Development Programme, 2005;Slum dwellers
1980;2000;number_of_cyclones;Average annual number of events in cyclones;n;Total;;India;;;2.76;UNDP_United Nations Development Programme, 2005;Slum dwellers
1980;2000;number_of_cyclones;Average annual number of events in cyclones;n;Total;;Japan;;;1.95;UNDP_United Nations Development Programme, 2005;Slum dwellers
1980;2000;number_of_cyclones;Average annual number of events in cyclones;n;Total;;Lao PDR;;;0.19;UNDP_United Nations Development Programme, 2005;Slum dwellers
1980;2000;number_of_cyclones;Average annual number of events in cyclones;n;Total;;Malaysia;;;0.1;UNDP_United Nations Development Programme, 2005;Slum dwellers
1980;2000;number_of_cyclones;Average annual number of events in cyclones;n;Total;;Pakistan;;;0.62;UNDP_United Nations Development Programme, 2005;Slum dwellers
1980;2000;number_of_cyclones;Average annual number of events in cyclones;n;Total;;Philippines;;;5.57;UNDP_United Nations Development Programme, 2005;Slum dwellers
1980;2000;number_of_cyclones;Average annual number of events in cyclones;n;Total;;Korea Rep;;;1;UNDP_United Nations Development Programme, 2005;Slum dwellers
1980;2000;number_of_cyclones;Average annual number of events in cyclones;n;Total;;Thailand;;;0.71;UNDP_United Nations Development Programme, 2005;Slum dwellers
1980;2000;number_of_cyclones;Average annual number of events in cyclones;n;Total;;Vietnam;;;2.24;UNDP_United Nations Development Programme, 2005;Slum dwellers
1980;2000;number_of_cyclones;Average annual number of events in cyclones;n;Total;;Belize;;;0.1;UNDP_United Nations Development Programme, 2005;Slum dwellers
1980;2000;number_of_cyclones;Average annual number of events in cyclones;n;Total;;Colombia;;;0.14;UNDP_United Nations Development Programme, 2005;Slum dwellers
1980;2000;number_of_cyclones;Average annual number of events in cyclones;n;Total;;Costa Rica;;;0.19;UNDP_United Nations Development Programme, 2005;Slum dwellers
1980;2000;number_of_cyclones;Average annual number of events in cyclones;n;Total;;Dominican Republic;;;0.38;UNDP_United Nations Development Programme, 2005;Slum dwellers
1980;2000;number_of_cyclones;Average annual number of events in cyclones;n;Total;;El Salvador;;;0.19;UNDP_United Nations Development Programme, 2005;Slum dwellers
1980;2000;number_of_cyclones;Average annual number of events in cyclones;n;Total;;Guatemala;;;0.05;UNDP_United Nations Development Programme, 2005;Slum dwellers
1980;2000;number_of_cyclones;Average annual number of events in cyclones;n;Total;;Haiti;;;0.29;UNDP_United Nations Development Programme, 2005;Slum dwellers
1980;2000;number_of_cyclones;Average annual number of events in cyclones;n;Total;;Honduras;;;0.19;UNDP_United Nations Development Programme, 2005;Slum dwellers
1980;2000;number_of_cyclones;Average annual number of events in cyclones;n;Total;;Jamaica;;;0.24;UNDP_United Nations Development Programme, 2005;Slum dwellers
1980;2000;number_of_cyclones;Average annual number of events in cyclones;n;Total;;Mexico;;;1.57;UNDP_United Nations Development Programme, 2005;Slum dwellers
1980;2000;number_of_cyclones;Average annual number of events in cyclones;n;Total;;Nicaragua;;;0.33;UNDP_United Nations Development Programme, 2005;Slum dwellers
1980;2000;number_of_cyclones;Average annual number of events in cyclones;n;Total;;Venezuela;;;0.1;UNDP_United Nations Development Programme, 2005;Slum dwellers
1980;2000;number_of_cyclones;Average annual number of events in cyclones;n;Total;;United States of America;;;12.14;UNDP_United Nations Development Programme, 2005;Slum dwellers
1980;2000;number_of_cyclones;Average annual number of events in cyclones;n;Total;;Australia;;;2.38;UNDP_United Nations Development Programme, 2005;Slum dwellers
1980;2000;number_of_cyclones;Average annual number of events in cyclones;n;Total;;Fiji;;;0.67;UNDP_United Nations Development Programme, 2005;Slum dwellers
1980;2000;number_of_cyclones;Average annual number of events in cyclones;n;Total;;New Zealand;;;0.29;UNDP_United Nations Development Programme, 2005;Slum dwellers
1980;2000;number_of_cyclones;Average annual number of events in cyclones;n;Total;;Papua New Guinea;;;0.1;UNDP_United Nations Development Programme, 2005;Slum dwellers
