"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
2005;;"number_of_refugees_by_country_of_asylum";"Number of refugees by country of asylum";"n";"Total";;"Cape Verde";;;-0;"Global_UNHCR, 2006; United Nations, 2006.";"Resilience"
2005;;"number_of_refugees_by_country_of_asylum";"Number of refugees by country of asylum";"n";"Total";;"Equatorial Guinea";;;-0;"Global_UNHCR, 2006; United Nations, 2006.";"Resilience"
2005;;"number_of_refugees_by_country_of_asylum";"Number of refugees by country of asylum";"n";"Total";;"Lesotho";;;-0;"Global_UNHCR, 2006; United Nations, 2006.";"Resilience"
2005;;"number_of_refugees_by_country_of_asylum";"Number of refugees by country of asylum";"n";"Total";;"Malawi";;;-0;"Global_UNHCR, 2006; United Nations, 2006.";"Resilience"
2005;;"number_of_refugees_by_country_of_asylum";"Number of refugees by country of asylum";"n";"Total";;"Mauritius";;;-0;"Global_UNHCR, 2006; United Nations, 2006.";"Resilience"
2005;;"number_of_refugees_by_country_of_asylum";"Number of refugees by country of asylum";"n";"Total";;"Sao Tome and Principe";;;-0;"Global_UNHCR, 2006; United Nations, 2006.";"Resilience"
2005;;"number_of_refugees_by_country_of_asylum";"Number of refugees by country of asylum";"n";"Total";;"Seychelles";;;-0;"Global_UNHCR, 2006; United Nations, 2006.";"Resilience"
2005;;"number_of_refugees_by_country_of_asylum";"Number of refugees by country of asylum";"n";"Total";;"Bhutan";;;-0;"Global_UNHCR, 2006; United Nations, 2006.";"Resilience"
2005;;"number_of_refugees_by_country_of_asylum";"Number of refugees by country of asylum";"n";"Total";;"Brunei";;;-0;"Global_UNHCR, 2006; United Nations, 2006.";"Resilience"
2005;;"number_of_refugees_by_country_of_asylum";"Number of refugees by country of asylum";"n";"Total";;"Macau SAR";;;-0;"Global_UNHCR, 2006; United Nations, 2006.";"Resilience"
2005;;"number_of_refugees_by_country_of_asylum";"Number of refugees by country of asylum";"n";"Total";;"Malaysia";;;-0;"Global_UNHCR, 2006; United Nations, 2006.";"Resilience"
2005;;"number_of_refugees_by_country_of_asylum";"Number of refugees by country of asylum";"n";"Total";;"Maldives";;;-0;"Global_UNHCR, 2006; United Nations, 2006.";"Resilience"
2005;;"number_of_refugees_by_country_of_asylum";"Number of refugees by country of asylum";"n";"Total";;"Mongolia";;;-0;"Global_UNHCR, 2006; United Nations, 2006.";"Resilience"
2005;;"number_of_refugees_by_country_of_asylum";"Number of refugees by country of asylum";"n";"Total";;"Myanmar";;;-0;"Global_UNHCR, 2006; United Nations, 2006.";"Resilience"
2005;;"number_of_refugees_by_country_of_asylum";"Number of refugees by country of asylum";"n";"Total";;"Andorra";;;-0;"Global_UNHCR, 2006; United Nations, 2006.";"Resilience"
2005;;"number_of_refugees_by_country_of_asylum";"Number of refugees by country of asylum";"n";"Total";;"Monaco";;;-0;"Global_UNHCR, 2006; United Nations, 2006.";"Resilience"
2005;;"number_of_refugees_by_country_of_asylum";"Number of refugees by country of asylum";"n";"Total";;"San Marino";;;-0;"Global_UNHCR, 2006; United Nations, 2006.";"Resilience"
2005;;"number_of_refugees_by_country_of_asylum";"Number of refugees by country of asylum";"n";"Total";;"Antigua and Barbuda";;;-0;"Global_UNHCR, 2006; United Nations, 2006.";"Resilience"
2005;;"number_of_refugees_by_country_of_asylum";"Number of refugees by country of asylum";"n";"Total";;"Bahamas";;;-0;"Global_UNHCR, 2006; United Nations, 2006.";"Resilience"
2005;;"number_of_refugees_by_country_of_asylum";"Number of refugees by country of asylum";"n";"Total";;"Barbados";;;-0;"Global_UNHCR, 2006; United Nations, 2006.";"Resilience"
2005;;"number_of_refugees_by_country_of_asylum";"Number of refugees by country of asylum";"n";"Total";;"British Virgin Islands";;;-0;"Global_UNHCR, 2006; United Nations, 2006.";"Resilience"
2005;;"number_of_refugees_by_country_of_asylum";"Number of refugees by country of asylum";"n";"Total";;"Cayman Islands";;;-0;"Global_UNHCR, 2006; United Nations, 2006.";"Resilience"
2005;;"number_of_refugees_by_country_of_asylum";"Number of refugees by country of asylum";"n";"Total";;"Dominica";;;-0;"Global_UNHCR, 2006; United Nations, 2006.";"Resilience"
2005;;"number_of_refugees_by_country_of_asylum";"Number of refugees by country of asylum";"n";"Total";;"Dominican Republic";;;-0;"Global_UNHCR, 2006; United Nations, 2006.";"Resilience"
2005;;"number_of_refugees_by_country_of_asylum";"Number of refugees by country of asylum";"n";"Total";;"Guyana";;;-0;"Global_UNHCR, 2006; United Nations, 2006.";"Resilience"
2005;;"number_of_refugees_by_country_of_asylum";"Number of refugees by country of asylum";"n";"Total";;"Honduras";;;-0;"Global_UNHCR, 2006; United Nations, 2006.";"Resilience"
2005;;"number_of_refugees_by_country_of_asylum";"Number of refugees by country of asylum";"n";"Total";;"Jamaica";;;-0;"Global_UNHCR, 2006; United Nations, 2006.";"Resilience"
2005;;"number_of_refugees_by_country_of_asylum";"Number of refugees by country of asylum";"n";"Total";;"Saint Kitts and Nevis";;;-0;"Global_UNHCR, 2006; United Nations, 2006.";"Resilience"
2005;;"number_of_refugees_by_country_of_asylum";"Number of refugees by country of asylum";"n";"Total";;"Saint Lucia";;;-0;"Global_UNHCR, 2006; United Nations, 2006.";"Resilience"
2005;;"number_of_refugees_by_country_of_asylum";"Number of refugees by country of asylum";"n";"Total";;"St Vincent and the Grenadines";;;-0;"Global_UNHCR, 2006; United Nations, 2006.";"Resilience"
2005;;"number_of_refugees_by_country_of_asylum";"Number of refugees by country of asylum";"n";"Total";;"Suriname";;;-0;"Global_UNHCR, 2006; United Nations, 2006.";"Resilience"
2005;;"number_of_refugees_by_country_of_asylum";"Number of refugees by country of asylum";"n";"Total";;"Trinidad and Tobago";;;-0;"Global_UNHCR, 2006; United Nations, 2006.";"Resilience"
2005;;"number_of_refugees_by_country_of_asylum";"Number of refugees by country of asylum";"n";"Total";;"Turks and Caicos Islands";;;-0;"Global_UNHCR, 2006; United Nations, 2006.";"Resilience"
2005;;"number_of_refugees_by_country_of_asylum";"Number of refugees by country of asylum";"n";"Total";;"Fiji";;;-0;"Global_UNHCR, 2006; United Nations, 2006.";"Resilience"
2005;;"number_of_refugees_by_country_of_asylum";"Number of refugees by country of asylum";"n";"Total";;"French Polynesia";;;-0;"Global_UNHCR, 2006; United Nations, 2006.";"Resilience"
2005;;"number_of_refugees_by_country_of_asylum";"Number of refugees by country of asylum";"n";"Total";;"Kiribati";;;-0;"Global_UNHCR, 2006; United Nations, 2006.";"Resilience"
2005;;"number_of_refugees_by_country_of_asylum";"Number of refugees by country of asylum";"n";"Total";;"Federated States of Micronesia";;;-0;"Global_UNHCR, 2006; United Nations, 2006.";"Resilience"
2005;;"number_of_refugees_by_country_of_asylum";"Number of refugees by country of asylum";"n";"Total";;"Nauru";;;-0;"Global_UNHCR, 2006; United Nations, 2006.";"Resilience"
2005;;"number_of_refugees_by_country_of_asylum";"Number of refugees by country of asylum";"n";"Total";;"New Caledonia";;;-0;"Global_UNHCR, 2006; United Nations, 2006.";"Resilience"
2005;;"number_of_refugees_by_country_of_asylum";"Number of refugees by country of asylum";"n";"Total";;"Palau";;;-0;"Global_UNHCR, 2006; United Nations, 2006.";"Resilience"
