"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
2005;;"refugees_by_country_of_origin";"Number of refugees by country of origin";"n";"Total";;"Algeria";;;12006;"UNHCR, 2006_United Nations_2006.";"Resilience"
2005;;"refugees_by_country_of_origin";"Number of refugees by country of origin";"n";"Total";;"Angola";;;215777;"UNHCR, 2006_United Nations_2006.";"Resilience"
2005;;"refugees_by_country_of_origin";"Number of refugees by country of origin";"n";"Total";;"Benin";;;411;"UNHCR, 2006_United Nations_2006.";"Resilience"
2005;;"refugees_by_country_of_origin";"Number of refugees by country of origin";"n";"Total";;"Botswana";;;4;"UNHCR, 2006_United Nations_2006.";"Resilience"
2005;;"refugees_by_country_of_origin";"Number of refugees by country of origin";"n";"Total";;"Burkina Faso";;;607;"UNHCR, 2006_United Nations_2006.";"Resilience"
2005;;"refugees_by_country_of_origin";"Number of refugees by country of origin";"n";"Total";;"Burundi";;;438663;"UNHCR, 2006_United Nations_2006.";"Resilience"
2005;;"refugees_by_country_of_origin";"Number of refugees by country of origin";"n";"Total";;"Cameroon";;;9016;"UNHCR, 2006_United Nations_2006.";"Resilience"
2005;;"refugees_by_country_of_origin";"Number of refugees by country of origin";"n";"Total";;"Cape Verde";;;5;"UNHCR, 2006_United Nations_2006.";"Resilience"
2005;;"refugees_by_country_of_origin";"Number of refugees by country of origin";"n";"Total";;"Central African Republic";;;42890;"UNHCR, 2006_United Nations_2006.";"Resilience"
2005;;"refugees_by_country_of_origin";"Number of refugees by country of origin";"n";"Total";;"Chad";;;48400;"UNHCR, 2006_United Nations_2006.";"Resilience"
2005;;"refugees_by_country_of_origin";"Number of refugees by country of origin";"n";"Total";;"Comoros";;;61;"UNHCR, 2006_United Nations_2006.";"Resilience"
2005;;"refugees_by_country_of_origin";"Number of refugees by country of origin";"n";"Total";;"Congo";;;24413;"UNHCR, 2006_United Nations_2006.";"Resilience"
