"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
2010;;"owner_bicycle_rural";"Ownership of bicycle – rural area";"p";"rural";;"Burkina Faso";;;"87.8";"Table 14: Ownership of Bicycle and Motorcycle";"Transport"
2003;;"owner_bicycle_rural";"Ownership of bicycle – rural area";"p";"rural";;"Burkina Faso";;;"81.8";"Table 14: Ownership of Bicycle and Motorcycle";"Transport"
1998;"1998-99 ";"owner_bicycle_rural";"Ownership of bicycle – rural area";"p";"rural";;"Burkina Faso";;;"81.5";"Table 14: Ownership of Bicycle and Motorcycle";"Transport"
1993;;"owner_bicycle_rural";"Ownership of bicycle – rural area";"p";"rural";;"Burkina Faso";;;"71.2";"Table 14: Ownership of Bicycle and Motorcycle";"Transport"
1994;"1994-95 ";"owner_bicycle_rural";"Ownership of bicycle – rural area";"p";"rural";;"Central African Republic";;;"12.4";"Table 14: Ownership of Bicycle and Motorcycle";"Transport"
2008;;"owner_bicycle_rural";"Ownership of bicycle – rural area";"p";"rural";;"Egypt";;;"13.5";"Table 14: Ownership of Bicycle and Motorcycle";"Transport"
2005;;"owner_bicycle_rural";"Ownership of bicycle – rural area";"p";"rural";;"Egypt";;;"19.2";"Table 14: Ownership of Bicycle and Motorcycle";"Transport"
2000;;"owner_bicycle_rural";"Ownership of bicycle – rural area";"p";"rural";;"Egypt";;;"16.5";"Table 14: Ownership of Bicycle and Motorcycle";"Transport"
1995;;"owner_bicycle_rural";"Ownership of bicycle – rural area";"p";"rural";;"Egypt";;;16;"Table 14: Ownership of Bicycle and Motorcycle";"Transport"
1992;;"owner_bicycle_rural";"Ownership of bicycle – rural area";"p";"rural";;"Egypt";;;"13.3";"Table 14: Ownership of Bicycle and Motorcycle";"Transport"
2008;;"owner_bicycle_rural";"Ownership of bicycle – rural area";"p";"rural";;"Ghana";;;"31.2";"Table 14: Ownership of Bicycle and Motorcycle";"Transport"
2003;;"owner_bicycle_rural";"Ownership of bicycle – rural area";"p";"rural";;"Ghana";;;"29.1";"Table 14: Ownership of Bicycle and Motorcycle";"Transport"
1998;;"owner_bicycle_rural";"Ownership of bicycle – rural area";"p";"rural";;"Ghana";;;"20.9";"Table 14: Ownership of Bicycle and Motorcycle";"Transport"
1993;;"owner_bicycle_rural";"Ownership of bicycle – rural area";"p";"rural";;"Ghana";;;"19.4";"Table 14: Ownership of Bicycle and Motorcycle";"Transport"
2008;"2008-09 ";"owner_bicycle_rural";"Ownership of bicycle – rural area";"p";"rural";;"Kenya";;;"34.4";"Table 14: Ownership of Bicycle and Motorcycle";"Transport"
2003;;"owner_bicycle_rural";"Ownership of bicycle – rural area";"p";"rural";;"Kenya";;;"33.1";"Table 14: Ownership of Bicycle and Motorcycle";"Transport"
1998;;"owner_bicycle_rural";"Ownership of bicycle – rural area";"p";"rural";;"Kenya";;;"26.6";"Table 14: Ownership of Bicycle and Motorcycle";"Transport"
1993;;"owner_bicycle_rural";"Ownership of bicycle – rural area";"p";"rural";;"Kenya";;;"23.3";"Table 14: Ownership of Bicycle and Motorcycle";"Transport"
2003;"2003-04 ";"owner_bicycle_rural";"Ownership of bicycle – rural area";"p";"rural";;"Morocco";;;"22.3";"Table 14: Ownership of Bicycle and Motorcycle";"Transport"
1992;;"owner_bicycle_rural";"Ownership of bicycle – rural area";"p";"rural";;"Morocco";;;"10.3";"Table 14: Ownership of Bicycle and Motorcycle";"Transport"
2008;;"owner_bicycle_rural";"Ownership of bicycle – rural area";"p";"rural";;"Nigeria";;;"29.3";"Table 14: Ownership of Bicycle and Motorcycle";"Transport"
2003;;"owner_bicycle_rural";"Ownership of bicycle – rural area";"p";"rural";;"Nigeria";;;41;"Table 14: Ownership of Bicycle and Motorcycle";"Transport"
1999;;"owner_bicycle_rural";"Ownership of bicycle – rural area";"p";"rural";;"Nigeria";;;"30.5";"Table 14: Ownership of Bicycle and Motorcycle";"Transport"
2010;;"owner_bicycle_rural";"Ownership of bicycle – rural area";"p";"rural";;"Rwanda";;;"15.9";"Table 14: Ownership of Bicycle and Motorcycle";"Transport"
2007;"2007-08 ";"owner_bicycle_rural";"Ownership of bicycle – rural area";"p";"rural";;"Rwanda";;;"12.5";"Table 14: Ownership of Bicycle and Motorcycle";"Transport"
2005;;"owner_bicycle_rural";"Ownership of bicycle – rural area";"p";"rural";;"Rwanda";;;"11.1";"Table 14: Ownership of Bicycle and Motorcycle";"Transport"
