year;year_range;indicator_id;friendly_name;type_data;selection_type;deprivation_type;country;city;region;value;description;category
2010;;owner_bicycle_urban_area;Ownership of bicycle – Urban area;p;urban_area;;Burkina Faso;;;73,4;Table 14: Ownership of Bicycle and Motorcycle;Public spaces
2003;;owner_bicycle_urban_area;Ownership of bicycle – Urban area;p;urban_area;;Burkina Faso;;;63,2;Table 14: Ownership of Bicycle and Motorcycle;Public spaces
1998;1998-99 ;owner_bicycle_urban_area;Ownership of bicycle – Urban area;p;urban_area;;Burkina Faso;;;56,4;Table 14: Ownership of Bicycle and Motorcycle;Public spaces
1993;;owner_bicycle_urban_area;Ownership of bicycle – Urban area;p;urban_area;;Burkina Faso;;;48,3;Table 14: Ownership of Bicycle and Motorcycle;Public spaces
1994;1994-95 ;owner_bicycle_urban_area;Ownership of bicycle – Urban area;p;urban_area;;Central African Republic;;;9,7;Table 14: Ownership of Bicycle and Motorcycle;Public spaces
2008;;owner_bicycle_urban_area;Ownership of bicycle – Urban area;p;urban_area;;Egypt;;;5,8;Table 14: Ownership of Bicycle and Motorcycle;Public spaces
2005;;owner_bicycle_urban_area;Ownership of bicycle – Urban area;p;urban_area;;Egypt;;;9,4;Table 14: Ownership of Bicycle and Motorcycle;Public spaces
2000;;owner_bicycle_urban_area;Ownership of bicycle – Urban area;p;urban_area;;Egypt;;;11,5;Table 14: Ownership of Bicycle and Motorcycle;Public spaces
1995;;owner_bicycle_urban_area;Ownership of bicycle – Urban area;p;urban_area;;Egypt;;;13,5;Table 14: Ownership of Bicycle and Motorcycle;Public spaces
1992;;owner_bicycle_urban_area;Ownership of bicycle – Urban area;p;urban_area;;Egypt;;;12,4;Table 14: Ownership of Bicycle and Motorcycle;Public spaces
2008;;owner_bicycle_urban_area;Ownership of bicycle – Urban area;p;urban_area;;Ghana;;;19,7;Table 14: Ownership of Bicycle and Motorcycle;Public spaces
2003;;owner_bicycle_urban_area;Ownership of bicycle – Urban area;p;urban_area;;Ghana;;;16;Table 14: Ownership of Bicycle and Motorcycle;Public spaces
1998;;owner_bicycle_urban_area;Ownership of bicycle – Urban area;p;urban_area;;Ghana;;;11;Table 14: Ownership of Bicycle and Motorcycle;Public spaces
1993;;owner_bicycle_urban_area;Ownership of bicycle – Urban area;p;urban_area;;Ghana;;;10,3;Table 14: Ownership of Bicycle and Motorcycle;Public spaces
2008;2008-09 ;owner_bicycle_urban_area;Ownership of bicycle – Urban area;p;urban_area;;Kenya;;;17,7;Table 14: Ownership of Bicycle and Motorcycle;Public spaces
2003;;owner_bicycle_urban_area;Ownership of bicycle – Urban area;p;urban_area;;Kenya;;;17,7;Table 14: Ownership of Bicycle and Motorcycle;Public spaces
1998;;owner_bicycle_urban_area;Ownership of bicycle – Urban area;p;urban_area;;Kenya;;;15,3;Table 14: Ownership of Bicycle and Motorcycle;Public spaces
1993;;owner_bicycle_urban_area;Ownership of bicycle – Urban area;p;urban_area;;Kenya;;;16,9;Table 14: Ownership of Bicycle and Motorcycle;Public spaces
2003;2003-04 ;owner_bicycle_urban_area;Ownership of bicycle – Urban area;p;urban_area;;Morocco;;;27,3;Table 14: Ownership of Bicycle and Motorcycle;Public spaces
1992;;owner_bicycle_urban_area;Ownership of bicycle – Urban area;p;urban_area;;Morocco;;;9,5;Table 14: Ownership of Bicycle and Motorcycle;Public spaces
2008;;owner_bicycle_urban_area;Ownership of bicycle – Urban area;p;urban_area;;Nigeria;;;11,3;Table 14: Ownership of Bicycle and Motorcycle;Public spaces
