"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
2010;;"owner_motorcycle_urban_area";"Ownership of motorcycle – Urban area";"p";"urban_area";;"Burkina Faso";;;57;"Table 14: Ownership of Bicycle and Motorcycle";"Public spaces"
2003;;"owner_motorcycle_urban_area";"Ownership of motorcycle – Urban area";"p";"urban_area";;"Burkina Faso";;;"55.4";"Table 14: Ownership of Bicycle and Motorcycle";"Public spaces"
1998;"1998-99 ";"owner_motorcycle_urban_area";"Ownership of motorcycle – Urban area";"p";"urban_area";;"Burkina Faso";;;"51.8";"Table 14: Ownership of Bicycle and Motorcycle";"Public spaces"
1993;;"owner_motorcycle_urban_area";"Ownership of motorcycle – Urban area";"p";"urban_area";;"Burkina Faso";;;"57.9";"Table 14: Ownership of Bicycle and Motorcycle";"Public spaces"
1994;"1994-95 ";"owner_motorcycle_urban_area";"Ownership of motorcycle – Urban area";"p";"urban_area";;"Central African Republic";;;"8.8";"Table 14: Ownership of Bicycle and Motorcycle";"Public spaces"
2008;;"owner_motorcycle_urban_area";"Ownership of motorcycle – Urban area";"p";"urban_area";;"Egypt";;;"1.9";"Table 14: Ownership of Bicycle and Motorcycle";"Public spaces"
2005;;"owner_motorcycle_urban_area";"Ownership of motorcycle – Urban area";"p";"urban_area";;"Egypt";;;"1.4";"Table 14: Ownership of Bicycle and Motorcycle";"Public spaces"
2000;;"owner_motorcycle_urban_area";"Ownership of motorcycle – Urban area";"p";"urban_area";;"Egypt";;;"1.7";"Table 14: Ownership of Bicycle and Motorcycle";"Public spaces"
1995;;"owner_motorcycle_urban_area";"Ownership of motorcycle – Urban area";"p";"urban_area";;"Egypt";;;;"Table 14: Ownership of Bicycle and Motorcycle";"Public spaces"
1992;;"owner_motorcycle_urban_area";"Ownership of motorcycle – Urban area";"p";"urban_area";;"Egypt";;;;"Table 14: Ownership of Bicycle and Motorcycle";"Public spaces"
2008;;"owner_motorcycle_urban_area";"Ownership of motorcycle – Urban area";"p";"urban_area";;"Ghana";;;"4.7";"Table 14: Ownership of Bicycle and Motorcycle";"Public spaces"
2003;;"owner_motorcycle_urban_area";"Ownership of motorcycle – Urban area";"p";"urban_area";;"Ghana";;;"2.6";"Table 14: Ownership of Bicycle and Motorcycle";"Public spaces"
1998;;"owner_motorcycle_urban_area";"Ownership of motorcycle – Urban area";"p";"urban_area";;"Ghana";;;"1.6";"Table 14: Ownership of Bicycle and Motorcycle";"Public spaces"
1993;;"owner_motorcycle_urban_area";"Ownership of motorcycle – Urban area";"p";"urban_area";;"Ghana";;;"1.6";"Table 14: Ownership of Bicycle and Motorcycle";"Public spaces"
2008;"2008-09 ";"owner_motorcycle_urban_area";"Ownership of motorcycle – Urban area";"p";"urban_area";;"Kenya";;;"2.8";"Table 14: Ownership of Bicycle and Motorcycle";"Public spaces"
2003;;"owner_motorcycle_urban_area";"Ownership of motorcycle – Urban area";"p";"urban_area";;"Kenya";;;"0.9";"Table 14: Ownership of Bicycle and Motorcycle";"Public spaces"
1998;;"owner_motorcycle_urban_area";"Ownership of motorcycle – Urban area";"p";"urban_area";;"Kenya";;;"1.8";"Table 14: Ownership of Bicycle and Motorcycle";"Public spaces"
1993;;"owner_motorcycle_urban_area";"Ownership of motorcycle – Urban area";"p";"urban_area";;"Kenya";;;;"Table 14: Ownership of Bicycle and Motorcycle";"Public spaces"
2003;"2003-04 ";"owner_motorcycle_urban_area";"Ownership of motorcycle – Urban area";"p";"urban_area";;"Morocco";;;"11.8";"Table 14: Ownership of Bicycle and Motorcycle";"Public spaces"
1992;;"owner_motorcycle_urban_area";"Ownership of motorcycle – Urban area";"p";"urban_area";;"Morocco";;;"14.8";"Table 14: Ownership of Bicycle and Motorcycle";"Public spaces"
2008;;"owner_motorcycle_urban_area";"Ownership of motorcycle – Urban area";"p";"urban_area";;"Nigeria";;;"23.5";"Table 14: Ownership of Bicycle and Motorcycle";"Public spaces"
2003;;"owner_motorcycle_urban_area";"Ownership of motorcycle – Urban area";"p";"urban_area";;"Nigeria";;;"17.5";"Table 14: Ownership of Bicycle and Motorcycle";"Public spaces"
1999;;"owner_motorcycle_urban_area";"Ownership of motorcycle – Urban area";"p";"urban_area";;"Nigeria";;;"13.9";"Table 14: Ownership of Bicycle and Motorcycle";"Public spaces"
2010;;"owner_motorcycle_urban_area";"Ownership of motorcycle – Urban area";"p";"urban_area";;"Rwanda";;;"2.6";"Table 14: Ownership of Bicycle and Motorcycle";"Public spaces"
2007;"2007-08 ";"owner_motorcycle_urban_area";"Ownership of motorcycle – Urban area";"p";"urban_area";;"Rwanda";;;"2.6";"Table 14: Ownership of Bicycle and Motorcycle";"Public spaces"
2005;;"owner_motorcycle_urban_area";"Ownership of motorcycle – Urban area";"p";"urban_area";;"Rwanda";;;"1.8";"Table 14: Ownership of Bicycle and Motorcycle";"Public spaces"
2000;;"owner_motorcycle_urban_area";"Ownership of motorcycle – Urban area";"p";"urban_area";;"Rwanda";;;"3.1";"Table 14: Ownership of Bicycle and Motorcycle";"Public spaces"
1992;;"owner_motorcycle_urban_area";"Ownership of motorcycle – Urban area";"p";"urban_area";;"Rwanda";;;"2.6";"Table 14: Ownership of Bicycle and Motorcycle";"Public spaces"
2010;"2010-11 ";"owner_motorcycle_urban_area";"Ownership of motorcycle – Urban area";"p";"urban_area";;"Senegal";;;"10.3";"Table 14: Ownership of Bicycle and Motorcycle";"Public spaces"
2008;"2008-09 ";"owner_motorcycle_urban_area";"Ownership of motorcycle – Urban area";"p";"urban_area";;"Senegal";;;"8.1";"Table 14: Ownership of Bicycle and Motorcycle";"Public spaces"
2005;;"owner_motorcycle_urban_area";"Ownership of motorcycle – Urban area";"p";"urban_area";;"Senegal";;;"7.4";"Table 14: Ownership of Bicycle and Motorcycle";"Public spaces"
1997;;"owner_motorcycle_urban_area";"Ownership of motorcycle – Urban area";"p";"urban_area";;"Senegal";;;"4.9";"Table 14: Ownership of Bicycle and Motorcycle";"Public spaces"
1992;"1992-93 ";"owner_motorcycle_urban_area";"Ownership of motorcycle – Urban area";"p";"urban_area";;"Senegal";;;"3.7";"Table 14: Ownership of Bicycle and Motorcycle";"Public spaces"
