"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
2004;;"passengers_carried_by_air";"Passengers carried by air";1000;"Total";;"Algeria";;;3236;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
2004;;"passengers_carried_by_air";"Passengers carried by air";1000;"Total";;"Angola";;;223;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
2004;;"passengers_carried_by_air";"Passengers carried by air";1000;"Total";;"Benin";;;46;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
2004;;"passengers_carried_by_air";"Passengers carried by air";1000;"Total";;"Botswana";;;214;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
2004;;"passengers_carried_by_air";"Passengers carried by air";1000;"Total";;"Burkina Faso";;;62;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
2004;;"passengers_carried_by_air";"Passengers carried by air";1000;"Total";;"Cameroon";;;358;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
2004;;"passengers_carried_by_air";"Passengers carried by air";1000;"Total";;"Central African Republic";;;46;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
2004;;"passengers_carried_by_air";"Passengers carried by air";1000;"Total";;"Chad";;;46;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
2004;;"passengers_carried_by_air";"Passengers carried by air";1000;"Total";;"Congo";;;52;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
2004;;"passengers_carried_by_air";"Passengers carried by air";1000;"Total";;"Côte d’Ivoire";;;46;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
2004;;"passengers_carried_by_air";"Passengers carried by air";1000;"Total";;"Congo Dem. Rep.";;;95;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
2004;;"passengers_carried_by_air";"Passengers carried by air";1000;"Total";;"Egypt";;;4584;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
2004;;"passengers_carried_by_air";"Passengers carried by air";1000;"Total";;"Ethiopia";;;1403;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
2004;;"passengers_carried_by_air";"Passengers carried by air";1000;"Total";;"Gabon";;;433;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
2004;;"passengers_carried_by_air";"Passengers carried by air";1000;"Total";;"Ghana";;;96;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
2004;;"passengers_carried_by_air";"Passengers carried by air";1000;"Total";;"Kenya";;;2005;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
2004;;"passengers_carried_by_air";"Passengers carried by air";1000;"Total";;"Libya";;;850;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
2004;;"passengers_carried_by_air";"Passengers carried by air";1000;"Total";;"Madagascar";;;514;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
2004;;"passengers_carried_by_air";"Passengers carried by air";1000;"Total";;"Malawi";;;114;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
2004;;"passengers_carried_by_air";"Passengers carried by air";1000;"Total";;"Mali";;;46;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
2004;;"passengers_carried_by_air";"Passengers carried by air";1000;"Total";;"Mauritania";;;128;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
2004;;"passengers_carried_by_air";"Passengers carried by air";1000;"Total";;"Mauritius";;;1089;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
2004;;"passengers_carried_by_air";"Passengers carried by air";1000;"Total";;"Morocco";;;3004;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
2004;;"passengers_carried_by_air";"Passengers carried by air";1000;"Total";;"Mozambique";;;299;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
2004;;"passengers_carried_by_air";"Passengers carried by air";1000;"Total";;"Namibia";;;281;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
2004;;"passengers_carried_by_air";"Passengers carried by air";1000;"Total";;"Niger";;;46;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
2004;;"passengers_carried_by_air";"Passengers carried by air";1000;"Total";;"Nigeria";;;682;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
2004;;"passengers_carried_by_air";"Passengers carried by air";1000;"Total";;"Senegal";;;421;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
2004;;"passengers_carried_by_air";"Passengers carried by air";1000;"Total";;"Sierra Leone";;;16;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
2004;;"passengers_carried_by_air";"Passengers carried by air";1000;"Total";;"South Africa";;;9876;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
2004;;"passengers_carried_by_air";"Passengers carried by air";1000;"Total";;"Sudan";;;476;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
2004;;"passengers_carried_by_air";"Passengers carried by air";1000;"Total";;"Swaziland";;;90;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
2004;;"passengers_carried_by_air";"Passengers carried by air";1000;"Total";;"Togo";;;46;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
2004;;"passengers_carried_by_air";"Passengers carried by air";1000;"Total";;"Tunisia";;;1940;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
2004;;"passengers_carried_by_air";"Passengers carried by air";1000;"Total";;"Uganda";;;46;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
2004;;"passengers_carried_by_air";"Passengers carried by air";1000;"Total";;"Tanzania";;;248;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
2004;;"passengers_carried_by_air";"Passengers carried by air";1000;"Total";;"Zambia";;;49;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
2004;;"passengers_carried_by_air";"Passengers carried by air";1000;"Total";;"Zimbabwe";;;238;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
2004;;"passengers_carried_by_air";"Passengers carried by air";1000;"Total";;"Afghanistan";;;150;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
2004;;"passengers_carried_by_air";"Passengers carried by air";1000;"Total";;"Armenia";;;510;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
2004;;"passengers_carried_by_air";"Passengers carried by air";1000;"Total";;"Azerbaijan";;;1007;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
2004;;"passengers_carried_by_air";"Passengers carried by air";1000;"Total";;"Bangladesh";;;1647;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
2004;;"passengers_carried_by_air";"Passengers carried by air";1000;"Total";;"Cambodia";;;163;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
