"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
2000;2006;"passengers_carried_by_railway";"Passengers carried by railway (in million passengers/km)";"n";"Total";;"Algeria";;;929;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
2000;2006;"passengers_carried_by_railway";"Passengers carried by railway (in million passengers/km)";"n";"Total";;"Benin";;;66;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
2000;2006;"passengers_carried_by_railway";"Passengers carried by railway (in million passengers/km)";"n";"Total";;"Botswana";;;171;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
2000;2006;"passengers_carried_by_railway";"Passengers carried by railway (in million passengers/km)";"n";"Total";;"Cameroon";;;357;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
2000;2006;"passengers_carried_by_railway";"Passengers carried by railway (in million passengers/km)";"n";"Total";;"Congo";;;76;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
2000;2006;"passengers_carried_by_railway";"Passengers carried by railway (in million passengers/km)";"n";"Total";;"Côte d’Ivoire";;;148;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
2000;2006;"passengers_carried_by_railway";"Passengers carried by railway (in million passengers/km)";"n";"Total";;"Congo Dem. Rep.";;;140;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
2000;2006;"passengers_carried_by_railway";"Passengers carried by railway (in million passengers/km)";"n";"Total";;"Egypt";;;40837;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
2000;2006;"passengers_carried_by_railway";"Passengers carried by railway (in million passengers/km)";"n";"Total";;"Gabon";;;92;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
2000;2006;"passengers_carried_by_railway";"Passengers carried by railway (in million passengers/km)";"n";"Total";;"Ghana";;;85;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
2000;2006;"passengers_carried_by_railway";"Passengers carried by railway (in million passengers/km)";"n";"Total";;"Kenya";;;226;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
2000;2006;"passengers_carried_by_railway";"Passengers carried by railway (in million passengers/km)";"n";"Total";;"Madagascar";;;10;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
2000;2006;"passengers_carried_by_railway";"Passengers carried by railway (in million passengers/km)";"n";"Total";;"Malawi";;;25;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
2000;2006;"passengers_carried_by_railway";"Passengers carried by railway (in million passengers/km)";"n";"Total";;"Mali";;;196;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
2000;2006;"passengers_carried_by_railway";"Passengers carried by railway (in million passengers/km)";"n";"Total";;"Morocco";;;2614;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
2000;2006;"passengers_carried_by_railway";"Passengers carried by railway (in million passengers/km)";"n";"Total";;"Mozambique";;;137;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
2000;2006;"passengers_carried_by_railway";"Passengers carried by railway (in million passengers/km)";"n";"Total";;"Nigeria";;;973;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
2000;2006;"passengers_carried_by_railway";"Passengers carried by railway (in million passengers/km)";"n";"Total";;"Senegal";;;138;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
2000;2006;"passengers_carried_by_railway";"Passengers carried by railway (in million passengers/km)";"n";"Total";;"South Africa";;;10001;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
2000;2006;"passengers_carried_by_railway";"Passengers carried by railway (in million passengers/km)";"n";"Total";;"Sudan";;;32;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
2000;2006;"passengers_carried_by_railway";"Passengers carried by railway (in million passengers/km)";"n";"Total";;"Tunisia";;;1242;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
2000;2006;"passengers_carried_by_railway";"Passengers carried by railway (in million passengers/km)";"n";"Total";;"Tanzania";;;471;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
2000;2006;"passengers_carried_by_railway";"Passengers carried by railway (in million passengers/km)";"n";"Total";;"Zambia";;;186;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
2000;2006;"passengers_carried_by_railway";"Passengers carried by railway (in million passengers/km)";"n";"Total";;"Armenia";;;48;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
2000;2006;"passengers_carried_by_railway";"Passengers carried by railway (in million passengers/km)";"n";"Total";;"Azerbaijan";;;584;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
2000;2006;"passengers_carried_by_railway";"Passengers carried by railway (in million passengers/km)";"n";"Total";;"Cambodia";;;45;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
2000;2006;"passengers_carried_by_railway";"Passengers carried by railway (in million passengers/km)";"n";"Total";;"China";;;551196;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
2000;2006;"passengers_carried_by_railway";"Passengers carried by railway (in million passengers/km)";"n";"Total";;"Georgia";;;401;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
2000;2006;"passengers_carried_by_railway";"Passengers carried by railway (in million passengers/km)";"n";"Total";;"India";;;541208;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
2000;2006;"passengers_carried_by_railway";"Passengers carried by railway (in million passengers/km)";"n";"Total";;"Iran";;;10012;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
2000;2006;"passengers_carried_by_railway";"Passengers carried by railway (in million passengers/km)";"n";"Total";;"Iraq";;;570;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
2000;2006;"passengers_carried_by_railway";"Passengers carried by railway (in million passengers/km)";"n";"Total";;"Israel";;;1423;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
2000;2006;"passengers_carried_by_railway";"Passengers carried by railway (in million passengers/km)";"n";"Total";;"Japan";;;242300;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
2000;2006;"passengers_carried_by_railway";"Passengers carried by railway (in million passengers/km)";"n";"Total";;"Kazakhstan";;;11816;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
2000;2006;"passengers_carried_by_railway";"Passengers carried by railway (in million passengers/km)";"n";"Total";;"Kyrgyzstan";;;50;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
2000;2006;"passengers_carried_by_railway";"Passengers carried by railway (in million passengers/km)";"n";"Total";;"Malaysia";;;1931;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
2000;2006;"passengers_carried_by_railway";"Passengers carried by railway (in million passengers/km)";"n";"Total";;"Mongolia";;;1073;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
2000;2006;"passengers_carried_by_railway";"Passengers carried by railway (in million passengers/km)";"n";"Total";;"Pakistan";;;23911;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
2000;2006;"passengers_carried_by_railway";"Passengers carried by railway (in million passengers/km)";"n";"Total";;"Korea Rep";;;28641;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
2000;2006;"passengers_carried_by_railway";"Passengers carried by railway (in million passengers/km)";"n";"Total";;"Saudi Arabia";;;364;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
2000;2006;"passengers_carried_by_railway";"Passengers carried by railway (in million passengers/km)";"n";"Total";;"Syria";;;635;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
2000;2006;"passengers_carried_by_railway";"Passengers carried by railway (in million passengers/km)";"n";"Total";;"Tajikistan";;;41;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
2000;2006;"passengers_carried_by_railway";"Passengers carried by railway (in million passengers/km)";"n";"Total";;"Thailand";;;10092;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
2000;2006;"passengers_carried_by_railway";"Passengers carried by railway (in million passengers/km)";"n";"Total";;"Turkey";;;5237;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
2000;2006;"passengers_carried_by_railway";"Passengers carried by railway (in million passengers/km)";"n";"Total";;"Turkmenistan";;;1118;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
2000;2006;"passengers_carried_by_railway";"Passengers carried by railway (in million passengers/km)";"n";"Total";;"Uzbekistan";;;2163;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
2000;2006;"passengers_carried_by_railway";"Passengers carried by railway (in million passengers/km)";"n";"Total";;"Vietnam";;;4376;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
2000;2006;"passengers_carried_by_railway";"Passengers carried by railway (in million passengers/km)";"n";"Total";;"Albania";;;89;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
2000;2006;"passengers_carried_by_railway";"Passengers carried by railway (in million passengers/km)";"n";"Total";;"Austria";;;8375;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
2000;2006;"passengers_carried_by_railway";"Passengers carried by railway (in million passengers/km)";"n";"Total";;"Belarus";;;13893;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
2000;2006;"passengers_carried_by_railway";"Passengers carried by railway (in million passengers/km)";"n";"Total";;"Belgium";;;8676;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
2000;2006;"passengers_carried_by_railway";"Passengers carried by railway (in million passengers/km)";"n";"Total";;"Bosnia and Herzegovina";;;53;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
2000;2006;"passengers_carried_by_railway";"Passengers carried by railway (in million passengers/km)";"n";"Total";;"Bulgaria";;;2628;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
2000;2006;"passengers_carried_by_railway";"Passengers carried by railway (in million passengers/km)";"n";"Total";;"Croatia";;;1213;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
2000;2006;"passengers_carried_by_railway";"Passengers carried by railway (in million passengers/km)";"n";"Total";;"Czech Republic";;;6553;"World Bank 2006_ Road Federation_ 2004";"Slum dwellers"
