"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
2005;;"percentage_of_international_migrants";"Percentage of international migrants";"p";"Total";;"Africa";;;"1.9";"UNHCR, 2006_United Nations_ 2006";"Population"
2005;;"percentage_of_international_migrants";"Percentage of international migrants";"p";"Total";;"Algeria";;;"0.7";"UNHCR, 2006_United Nations_ 2006";"Population"
2005;;"percentage_of_international_migrants";"Percentage of international migrants";"p";"Total";;"Angola";;;"0.4";"UNHCR, 2006_United Nations_ 2006";"Population"
2005;;"percentage_of_international_migrants";"Percentage of international migrants";"p";"Total";;"Benin";;;"2.1";"UNHCR, 2006_United Nations_ 2006";"Population"
2005;;"percentage_of_international_migrants";"Percentage of international migrants";"p";"Total";;"Botswana";;;"4.5";"UNHCR, 2006_United Nations_ 2006";"Population"
2005;;"percentage_of_international_migrants";"Percentage of international migrants";"p";"Total";;"Burkina Faso";;;"5.8";"UNHCR, 2006_United Nations_ 2006";"Population"
2005;;"percentage_of_international_migrants";"Percentage of international migrants";"p";"Total";;"Burundi";;;"1.3";"UNHCR, 2006_United Nations_ 2006";"Population"
2005;;"percentage_of_international_migrants";"Percentage of international migrants";"p";"Total";;"Cameroon";;;"0.8";"UNHCR, 2006_United Nations_ 2006";"Population"
2005;;"percentage_of_international_migrants";"Percentage of international migrants";"p";"Total";;"Cape Verde";;;"2.2";"UNHCR, 2006_United Nations_ 2006";"Population"
2005;;"percentage_of_international_migrants";"Percentage of international migrants";"p";"Total";;"Central African Republic";;;"1.9";"UNHCR, 2006_United Nations_ 2006";"Population"
2005;;"percentage_of_international_migrants";"Percentage of international migrants";"p";"Total";;"Chad";;;"4.5";"UNHCR, 2006_United Nations_ 2006";"Population"
2005;;"percentage_of_international_migrants";"Percentage of international migrants";"p";"Total";;"Comoros";;;"8.4";"UNHCR, 2006_United Nations_ 2006";"Population"
2005;;"percentage_of_international_migrants";"Percentage of international migrants";"p";"Total";;"Congo";;;"7.2";"UNHCR, 2006_United Nations_ 2006";"Population"
2005;;"percentage_of_international_migrants";"Percentage of international migrants";"p";"Total";;"Côte d’Ivoire";;;"13.1";"UNHCR, 2006_United Nations_ 2006";"Population"
