"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"Algeria";;;70.2;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"Angola";;;10.4;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"Benin";;;9.5;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"Botswana";;;33.2;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"Burkina Faso";;;4.2;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"Burundi";;;10.4;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"Cameroon";;;10;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"Chad";;;0.8;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"Congo";;;5;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"Côte d’Ivoire";;;8.1;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"Congo Dem. Rep.";;;1.8;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"Egypt";;;81;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"Eritrea";;;21.8;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"Ethiopia";;;13.4;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"Gabon";;;10.2;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"Gambia The";;;19.3;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"Ghana";;;17.9;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"Guinea";;;9.8;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"Guinea-Bissau";;;27.9;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"Kenya";;;14.1;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"Lesotho";;;18.3;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"Liberia";;;6.2;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"Libya";;;57.2;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"Madagascar";;;11.6;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"Malawi";;;45;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"Mali";;;18;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"Mauritania";;;11.3;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"Mauritius";;;100;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"Morocco";;;61.9;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"Mozambique";;;18.7;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"Namibia";;;12.8;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"Niger";;;20.6;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"Nigeria";;;15;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"Rwanda";;;19;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"Senegal";;;29.3;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"Sierra Leone";;;8;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"Somalia";;;11.8;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"South Africa";;;17.3;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"Sudan";;;36.3;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"Swaziland";;;30;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"Togo";;;31.6;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"Tunisia";;;65.8;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"Uganda";;;23;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"Tanzania";;;8.6;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"Zambia";;;22;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"Zimbabwe";;;19;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"Afghanistan";;;23.7;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"Armenia";;;90;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"Azerbaijan";;;49.4;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"Bangladesh";;;9.5;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"Cambodia";;;6.3;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"China";;;81.6;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"Hong Kong SAR";;;100;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"Korea Rep";;;16.8;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"Georgia";;;39.4;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"India";;;47.4;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"Indonesia";;;55.3;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"Iran";;;67.4;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"Iraq";;;84.3;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"Israel";;;100;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"Japan";;;77.7;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"Jordan";;;100;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"Kazakhstan";;;83;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"Kuwait";;;85;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"Kyrgyzstan";;;91.1;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"Lao PDR";;;14.4;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"Malaysia";;;81.3;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"Mongolia";;;3.5;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"Myanmar";;;11.4;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"Nepal";;;56.9;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"Oman";;;27.7;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"Pakistan";;;64.7;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"Philippines";;;9.9;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"Saudi Arabia";;;29.9;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"Singapore";;;100;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"Sri Lanka";;;81;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"Syria";;;20.1;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"Thailand";;;98.5;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"Turkmenistan";;;81.2;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"United Arab Emirates";;;100;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"Uzbekistan";;;87.3;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"Yemen";;;8.7;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"Albania";;;39;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"Austria";;;100;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"Belarus";;;88.6;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"Belgium";;;78;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"Bosnia and Herzegovina";;;52.3;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"Bulgaria";;;99;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"Croatia";;;84.4;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"Czech Republic";;;100;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"Denmark";;;100;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"Estonia";;;22.7;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"Finland";;;65;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"France";;;100;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"Germany";;;100;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"Greece";;;91.8;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"Hungary";;;43.9;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"Iceland";;;100;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"Italy";;;100;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"Latvia";;;100;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"Lithuania";;;78.2;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"Netherlands";;;90;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"Norway";;;77.5;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"Poland";;;69.7;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"Portugal";;;86;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"Republic of Moldova";;;86.3;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"Romania";;;30.2;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"Serbia and Montenegro";;;62.4;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"Slovakia";;;87.3;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"Slovenia";;;100;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"Spain";;;99;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"Sweden";;;31.5;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"Switzerland";;;100;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"Ukraine";;;97.4;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
2000;2005;"percentage_of_roads";"Percentage of roads measured in length";"p";"Total";;"United Kingdom";;;100;"World Bank (2008)_World Development Indicators_ 2008";"Slum dwellers"
