"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
2000;;"piped_water";"Access to piped water";"p";;;"AL";;;96;"Urban numbers 1.0 data";"Slum dwellers"
2005;;"piped_water";"Access to piped water";"p";;;"AL";;;"80.1";"Urban numbers 1.0 data";"Slum dwellers"
2000;;"piped_water";"Access to piped water";"p";;;"AM";;;"96.6";"Urban numbers 1.0 data";"Slum dwellers"
2005;;"piped_water";"Access to piped water";"p";;;"AM";;;"97.4";"Urban numbers 1.0 data";"Slum dwellers"
2006;;"piped_water";"Access to piped water";"p";;;"AZ";;;"77.7";"Urban numbers 1.0 data";"Slum dwellers"
2000;;"piped_water";"Access to piped water";"p";;;"AZ";;;"71.7";"Urban numbers 1.0 data";"Slum dwellers"
2006;;"piped_water";"Access to piped water";"p";;;"BA";;;"90.7";"Urban numbers 1.0 data";"Slum dwellers"
1994;;"piped_water";"Access to piped water";"p";;;"BD";;;"36.8";"Urban numbers 1.0 data";"Slum dwellers"
1996;;"piped_water";"Access to piped water";"p";;;"BD";;;"39.2";"Urban numbers 1.0 data";"Slum dwellers"
1999;;"piped_water";"Access to piped water";"p";;;"BD";;;07/30/14;"Urban numbers 1.0 data";"Slum dwellers"
2004;;"piped_water";"Access to piped water";"p";;;"BD";;;01/31/14;"Urban numbers 1.0 data";"Slum dwellers"
2006;;"piped_water";"Access to piped water";"p";;;"BD";;;09/07/14;"Urban numbers 1.0 data";"Slum dwellers"
1992;;"piped_water";"Access to piped water";"p";;;"BF";;;26;"Urban numbers 1.0 data";"Slum dwellers"
1999;;"piped_water";"Access to piped water";"p";;;"BF";;;25;"Urban numbers 1.0 data";"Slum dwellers"
2003;;"piped_water";"Access to piped water";"p";;;"BF";;;"32.6";"Urban numbers 1.0 data";"Slum dwellers"
2005;;"piped_water";"Access to piped water";"p";;;"BI";;;"43.2";"Urban numbers 1.0 data";"Slum dwellers"
1996;;"piped_water";"Access to piped water";"p";;;"BJ";;;"56.4";"Urban numbers 1.0 data";"Slum dwellers"
2001;;"piped_water";"Access to piped water";"p";;;"BJ";;;"62.6";"Urban numbers 1.0 data";"Slum dwellers"
2006;;"piped_water";"Access to piped water";"p";;;"BJ";;;"61.2";"Urban numbers 1.0 data";"Slum dwellers"
1994;;"piped_water";"Access to piped water";"p";;;"BO";;;"89.3";"Urban numbers 1.0 data";"Slum dwellers"
1998;;"piped_water";"Access to piped water";"p";;;"BO";;;93;"Urban numbers 1.0 data";"Slum dwellers"
2004;;"piped_water";"Access to piped water";"p";;;"BO";;;"90.2";"Urban numbers 1.0 data";"Slum dwellers"
1991;;"piped_water";"Access to piped water";"p";;;"BR";;;"76.7";"Urban numbers 1.0 data";"Slum dwellers"
1996;;"piped_water";"Access to piped water";"p";;;"BR";;;"84.3";"Urban numbers 1.0 data";"Slum dwellers"
2005;;"piped_water";"Access to piped water";"p";;;"BY";;;"92.2";"Urban numbers 1.0 data";"Slum dwellers"
2006;;"piped_water";"Access to piped water";"p";;;"BZ";;;08/31/14;"Urban numbers 1.0 data";"Slum dwellers"
2007;;"piped_water";"Access to piped water";"p";;;"CD";;;05/17/14;"Urban numbers 1.0 data";"Slum dwellers"
1991;;"piped_water";"Access to piped water";"p";;;"CD";;;"80.9";"Urban numbers 1.0 data";"Slum dwellers"
1996;;"piped_water";"Access to piped water";"p";;;"CD";;;"57.5";"Urban numbers 1.0 data";"Slum dwellers"
