"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
2005;;"pit_latrine_with_slab_or_covered_latrine";"Access to slab or covered pit latrine";"p";;;"AM";;;"0.6";"Urban numbers 1.0 data";"Slum dwellers"
2006;;"pit_latrine_with_slab_or_covered_latrine";"Access to slab or covered pit latrine";"p";;;"AZ";;;18;"Urban numbers 1.0 data";"Slum dwellers"
2006;;"pit_latrine_with_slab_or_covered_latrine";"Access to slab or covered pit latrine";"p";;;"BA";;;"0.1";"Urban numbers 1.0 data";"Slum dwellers"
1994;;"pit_latrine_with_slab_or_covered_latrine";"Access to slab or covered pit latrine";"p";;;"BD";;;08/22/14;"Urban numbers 1.0 data";"Slum dwellers"
1996;;"pit_latrine_with_slab_or_covered_latrine";"Access to slab or covered pit latrine";"p";;;"BD";;;06/26/14;"Urban numbers 1.0 data";"Slum dwellers"
1999;;"pit_latrine_with_slab_or_covered_latrine";"Access to slab or covered pit latrine";"p";;;"BD";;;07/28/14;"Urban numbers 1.0 data";"Slum dwellers"
2004;;"pit_latrine_with_slab_or_covered_latrine";"Access to slab or covered pit latrine";"p";;;"BD";;;05/18/14;"Urban numbers 1.0 data";"Slum dwellers"
2006;;"pit_latrine_with_slab_or_covered_latrine";"Access to slab or covered pit latrine";"p";;;"BD";;;03/16/14;"Urban numbers 1.0 data";"Slum dwellers"
2005;;"pit_latrine_with_slab_or_covered_latrine";"Access to slab or covered pit latrine";"p";;;"BI";;;03/12/14;"Urban numbers 1.0 data";"Slum dwellers"
1996;;"pit_latrine_with_slab_or_covered_latrine";"Access to slab or covered pit latrine";"p";;;"BJ";;;"40.6";"Urban numbers 1.0 data";"Slum dwellers"
2005;;"pit_latrine_with_slab_or_covered_latrine";"Access to slab or covered pit latrine";"p";;;"BY";;;07/10/14;"Urban numbers 1.0 data";"Slum dwellers"
2006;;"pit_latrine_with_slab_or_covered_latrine";"Access to slab or covered pit latrine";"p";;;"BZ";;;07/08/14;"Urban numbers 1.0 data";"Slum dwellers"
2007;;"pit_latrine_with_slab_or_covered_latrine";"Access to slab or covered pit latrine";"p";;;"CD";;;06/17/14;"Urban numbers 1.0 data";"Slum dwellers"
2006;;"pit_latrine_with_slab_or_covered_latrine";"Access to slab or covered pit latrine";"p";;;"CM";;;09/28/14;"Urban numbers 1.0 data";"Slum dwellers"
2005;;"pit_latrine_with_slab_or_covered_latrine";"Access to slab or covered pit latrine";"p";;;"ET";;;"37.6";"Urban numbers 1.0 data";"Slum dwellers"
2005;;"pit_latrine_with_slab_or_covered_latrine";"Access to slab or covered pit latrine";"p";;;"GE";;;05/15/14;"Urban numbers 1.0 data";"Slum dwellers"
2006;;"pit_latrine_with_slab_or_covered_latrine";"Access to slab or covered pit latrine";"p";;;"GH";;;07/12/14;"Urban numbers 1.0 data";"Slum dwellers"
2005;;"pit_latrine_with_slab_or_covered_latrine";"Access to slab or covered pit latrine";"p";;;"GM";;;"54.7";"Urban numbers 1.0 data";"Slum dwellers"
2005;;"pit_latrine_with_slab_or_covered_latrine";"Access to slab or covered pit latrine";"p";;;"GN";;;"49.8";"Urban numbers 1.0 data";"Slum dwellers"
2005;;"pit_latrine_with_slab_or_covered_latrine";"Access to slab or covered pit latrine";"p";;;"GY";;;01/17/14;"Urban numbers 1.0 data";"Slum dwellers"
2006;;"pit_latrine_with_slab_or_covered_latrine";"Access to slab or covered pit latrine";"p";;;"HT";;;08/27/14;"Urban numbers 1.0 data";"Slum dwellers"
2006;;"pit_latrine_with_slab_or_covered_latrine";"Access to slab or covered pit latrine";"p";;;"IN";;;01/02/14;"Urban numbers 1.0 data";"Slum dwellers"
2006;;"pit_latrine_with_slab_or_covered_latrine";"Access to slab or covered pit latrine";"p";;;"IQ";;;02/01/14;"Urban numbers 1.0 data";"Slum dwellers"
2005;;"pit_latrine_with_slab_or_covered_latrine";"Access to slab or covered pit latrine";"p";;;"JM";;;"31.2";"Urban numbers 1.0 data";"Slum dwellers"
2007;;"pit_latrine_with_slab_or_covered_latrine";"Access to slab or covered pit latrine";"p";;;"JO";;;02/10/14;"Urban numbers 1.0 data";"Slum dwellers"
2005;;"pit_latrine_with_slab_or_covered_latrine";"Access to slab or covered pit latrine";"p";;;"KH";;;"0.8";"Urban numbers 1.0 data";"Slum dwellers"
2006;;"pit_latrine_with_slab_or_covered_latrine";"Access to slab or covered pit latrine";"p";;;"KZ";;;29;"Urban numbers 1.0 data";"Slum dwellers"
2007;;"pit_latrine_with_slab_or_covered_latrine";"Access to slab or covered pit latrine";"p";;;"LR";;;07/08/14;"Urban numbers 1.0 data";"Slum dwellers"
