"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
2000;;"pit_latrine_without_slab";"Access to pit latrine without slab";"p";;;"AL";;;"0.5";"Urban numbers 1.0 data";"Slum dwellers"
2005;;"pit_latrine_without_slab";"Access to pit latrine without slab";"p";;;"AL";;;"0.4";"Urban numbers 1.0 data";"Slum dwellers"
2000;;"pit_latrine_without_slab";"Access to pit latrine without slab";"p";;;"AM";;;06/09/14;"Urban numbers 1.0 data";"Slum dwellers"
2005;;"pit_latrine_without_slab";"Access to pit latrine without slab";"p";;;"AM";;;"0.5";"Urban numbers 1.0 data";"Slum dwellers"
2006;;"pit_latrine_without_slab";"Access to pit latrine without slab";"p";;;"AZ";;;01/05/14;"Urban numbers 1.0 data";"Slum dwellers"
2000;;"pit_latrine_without_slab";"Access to pit latrine without slab";"p";;;"AZ";;;29;"Urban numbers 1.0 data";"Slum dwellers"
1994;;"pit_latrine_without_slab";"Access to pit latrine without slab";"p";;;"BD";;;05/17/14;"Urban numbers 1.0 data";"Slum dwellers"
1996;;"pit_latrine_without_slab";"Access to pit latrine without slab";"p";;;"BD";;;09/16/14;"Urban numbers 1.0 data";"Slum dwellers"
1999;;"pit_latrine_without_slab";"Access to pit latrine without slab";"p";;;"BD";;;"31.6";"Urban numbers 1.0 data";"Slum dwellers"
2004;;"pit_latrine_without_slab";"Access to pit latrine without slab";"p";;;"BD";;;"46.1";"Urban numbers 1.0 data";"Slum dwellers"
2006;;"pit_latrine_without_slab";"Access to pit latrine without slab";"p";;;"BD";;;09/27/14;"Urban numbers 1.0 data";"Slum dwellers"
1992;;"pit_latrine_without_slab";"Access to pit latrine without slab";"p";;;"BF";;;"82.6";"Urban numbers 1.0 data";"Slum dwellers"
1999;;"pit_latrine_without_slab";"Access to pit latrine without slab";"p";;;"BF";;;"83.7";"Urban numbers 1.0 data";"Slum dwellers"
2003;;"pit_latrine_without_slab";"Access to pit latrine without slab";"p";;;"BF";;;"68.6";"Urban numbers 1.0 data";"Slum dwellers"
2005;;"pit_latrine_without_slab";"Access to pit latrine without slab";"p";;;"BI";;;"55.1";"Urban numbers 1.0 data";"Slum dwellers"
1996;;"pit_latrine_without_slab";"Access to pit latrine without slab";"p";;;"BJ";;;01/12/14;"Urban numbers 1.0 data";"Slum dwellers"
2001;;"pit_latrine_without_slab";"Access to pit latrine without slab";"p";;;"BJ";;;01/25/14;"Urban numbers 1.0 data";"Slum dwellers"
2006;;"pit_latrine_without_slab";"Access to pit latrine without slab";"p";;;"BJ";;;31;"Urban numbers 1.0 data";"Slum dwellers"
1994;;"pit_latrine_without_slab";"Access to pit latrine without slab";"p";;;"BO";;;02/19/14;"Urban numbers 1.0 data";"Slum dwellers"
1998;;"pit_latrine_without_slab";"Access to pit latrine without slab";"p";;;"BO";;;"37.2";"Urban numbers 1.0 data";"Slum dwellers"
2004;;"pit_latrine_without_slab";"Access to pit latrine without slab";"p";;;"BO";;;09/22/14;"Urban numbers 1.0 data";"Slum dwellers"
1991;;"pit_latrine_without_slab";"Access to pit latrine without slab";"p";;;"BR";;;05/11/14;"Urban numbers 1.0 data";"Slum dwellers"
1996;;"pit_latrine_without_slab";"Access to pit latrine without slab";"p";;;"BR";;;09/27/14;"Urban numbers 1.0 data";"Slum dwellers"
2005;;"pit_latrine_without_slab";"Access to pit latrine without slab";"p";;;"BY";;;"0.5";"Urban numbers 1.0 data";"Slum dwellers"
2006;;"pit_latrine_without_slab";"Access to pit latrine without slab";"p";;;"BZ";;;06/01/14;"Urban numbers 1.0 data";"Slum dwellers"
2007;;"pit_latrine_without_slab";"Access to pit latrine without slab";"p";;;"CD";;;07/01/14;"Urban numbers 1.0 data";"Slum dwellers"
1991;;"pit_latrine_without_slab";"Access to pit latrine without slab";"p";;;"CD";;;"33.4";"Urban numbers 1.0 data";"Slum dwellers"
1996;;"pit_latrine_without_slab";"Access to pit latrine without slab";"p";;;"CD";;;07/02/14;"Urban numbers 1.0 data";"Slum dwellers"
1999;;"pit_latrine_without_slab";"Access to pit latrine without slab";"p";;;"CD";;;02/25/14;"Urban numbers 1.0 data";"Slum dwellers"
2002;;"pit_latrine_without_slab";"Access to pit latrine without slab";"p";;;"CD";;;02/02/14;"Urban numbers 1.0 data";"Slum dwellers"
2005;;"pit_latrine_without_slab";"Access to pit latrine without slab";"p";;;"CI";;;"56.8";"Urban numbers 1.0 data";"Slum dwellers"
