"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
2007;;"pop_rural_area";"Rural population area";1000;;;"AF";;;20735;"Urban numbers 1.0 data";"Slum dwellers"
2007;;"pop_rural_area";"Rural population area";1000;;;"AG";;;59;"Urban numbers 1.0 data";"Slum dwellers"
2007;;"pop_rural_area";"Rural population area";1000;;;"AI";;;0;"Urban numbers 1.0 data";"Slum dwellers"
2007;;"pop_rural_area";"Rural population area";1000;;;"AL";;;1721;"Urban numbers 1.0 data";"Slum dwellers"
2007;;"pop_rural_area";"Rural population area";1000;;;"AM";;;1086;"Urban numbers 1.0 data";"Slum dwellers"
2007;;"pop_rural_area";"Rural population area";1000;;;"AN";;;14;"Urban numbers 1.0 data";"Slum dwellers"
2007;;"pop_rural_area";"Rural population area";1000;;;"AO";;;7519;"Urban numbers 1.0 data";"Slum dwellers"
2007;;"pop_rural_area";"Rural population area";1000;;;"AR";;;3233;"Urban numbers 1.0 data";"Slum dwellers"
2007;;"pop_rural_area";"Rural population area";1000;;;"AS";;;144;"Urban numbers 1.0 data";"Slum dwellers"
2007;;"pop_rural_area";"Rural population area";1000;;;"AU";;;2370;"Urban numbers 1.0 data";"Slum dwellers"
2007;;"pop_rural_area";"Rural population area";1000;;;"AW";;;55;"Urban numbers 1.0 data";"Slum dwellers"
2007;;"pop_rural_area";"Rural population area";1000;;;"AZ";;;4087;"Urban numbers 1.0 data";"Slum dwellers"
2007;;"pop_rural_area";"Rural population area";1000;;;"BA";;;2091;"Urban numbers 1.0 data";"Slum dwellers"
2007;;"pop_rural_area";"Rural population area";1000;;;"BB";;;178;"Urban numbers 1.0 data";"Slum dwellers"
2007;;"pop_rural_area";"Rural population area";1000;;;"BD";;;116474;"Urban numbers 1.0 data";"Slum dwellers"
2007;;"pop_rural_area";"Rural population area";1000;;;"BE";;;278;"Urban numbers 1.0 data";"Slum dwellers"
2007;;"pop_rural_area";"Rural population area";1000;;;"BF";;;11957;"Urban numbers 1.0 data";"Slum dwellers"
2007;;"pop_rural_area";"Rural population area";1000;;;"BG";;;2230;"Urban numbers 1.0 data";"Slum dwellers"
2007;;"pop_rural_area";"Rural population area";1000;;;"BH";;;87;"Urban numbers 1.0 data";"Slum dwellers"
2007;;"pop_rural_area";"Rural population area";1000;;;"BI";;;7650;"Urban numbers 1.0 data";"Slum dwellers"
2007;;"pop_rural_area";"Rural population area";1000;;;"BJ";;;5349;"Urban numbers 1.0 data";"Slum dwellers"
2007;;"pop_rural_area";"Rural population area";1000;;;"BM";;;0;"Urban numbers 1.0 data";"Slum dwellers"
2007;;"pop_rural_area";"Rural population area";1000;;;"BO";;;3319;"Urban numbers 1.0 data";"Slum dwellers"
2007;;"pop_rural_area";"Rural population area";1000;;;"BR";;;28329;"Urban numbers 1.0 data";"Slum dwellers"
