"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
2007;;"pop_urban_area";"Urban population area";1000;;;"AF";;;6410;"Urban numbers 1.0 data";"Slum dwellers"
2007;;"pop_urban_area";"Urban population area";1000;;;"AG";;;26;"Urban numbers 1.0 data";"Slum dwellers"
2007;;"pop_urban_area";"Urban population area";1000;;;"AI";;;13;"Urban numbers 1.0 data";"Slum dwellers"
2007;;"pop_urban_area";"Urban population area";1000;;;"AL";;;1469;"Urban numbers 1.0 data";"Slum dwellers"
2007;;"pop_urban_area";"Urban population area";1000;;;"AM";;;1917;"Urban numbers 1.0 data";"Slum dwellers"
2007;;"pop_urban_area";"Urban population area";1000;;;"AN";;;177;"Urban numbers 1.0 data";"Slum dwellers"
2007;;"pop_urban_area";"Urban population area";1000;;;"AO";;;9505;"Urban numbers 1.0 data";"Slum dwellers"
2007;;"pop_urban_area";"Urban population area";1000;;;"AR";;;36298;"Urban numbers 1.0 data";"Slum dwellers"
2007;;"pop_urban_area";"Urban population area";1000;;;"AS";;;43;"Urban numbers 1.0 data";"Slum dwellers"
2007;;"pop_urban_area";"Urban population area";1000;;;"AU";;;18373;"Urban numbers 1.0 data";"Slum dwellers"
2007;;"pop_urban_area";"Urban population area";1000;;;"AW";;;48;"Urban numbers 1.0 data";"Slum dwellers"
2007;;"pop_urban_area";"Urban population area";1000;;;"AZ";;;4380;"Urban numbers 1.0 data";"Slum dwellers"
2007;;"pop_urban_area";"Urban population area";1000;;;"BA";;;1844;"Urban numbers 1.0 data";"Slum dwellers"
2007;;"pop_urban_area";"Urban population area";1000;;;"BB";;;116;"Urban numbers 1.0 data";"Slum dwellers"
2007;;"pop_urban_area";"Urban population area";1000;;;"BD";;;42191;"Urban numbers 1.0 data";"Slum dwellers"
2007;;"pop_urban_area";"Urban population area";1000;;;"BE";;;10179;"Urban numbers 1.0 data";"Slum dwellers"
2007;;"pop_urban_area";"Urban population area";1000;;;"BF";;;2827;"Urban numbers 1.0 data";"Slum dwellers"
2007;;"pop_urban_area";"Urban population area";1000;;;"BG";;;5408;"Urban numbers 1.0 data";"Slum dwellers"
