"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
2007;;"pop_urban_percentage";"Percentage of national population living in urban areas";"p";;;"AE";;;0;"Urban numbers 1.0 data";"Population"
2007;;"pop_urban_percentage";"Percentage of national population living in urban areas";"p";;;"AF";;;"23.6";"Urban numbers 1.0 data";"Population"
2007;;"pop_urban_percentage";"Percentage of national population living in urban areas";"p";;;"AG";;;"30.5";"Urban numbers 1.0 data";"Population"
2007;;"pop_urban_percentage";"Percentage of national population living in urban areas";"p";;;"AI";;;100;"Urban numbers 1.0 data";"Population"
2007;;"pop_urban_percentage";"Percentage of national population living in urban areas";"p";;;"AL";;;"46.1";"Urban numbers 1.0 data";"Population"
2007;;"pop_urban_percentage";"Percentage of national population living in urban areas";"p";;;"AM";;;"63.8";"Urban numbers 1.0 data";"Population"
2007;;"pop_urban_percentage";"Percentage of national population living in urban areas";"p";;;"AN";;;"92.5";"Urban numbers 1.0 data";"Population"
2007;;"pop_urban_percentage";"Percentage of national population living in urban areas";"p";;;"AO";;;"55.8";"Urban numbers 1.0 data";"Population"
2007;;"pop_urban_percentage";"Percentage of national population living in urban areas";"p";;;"AR";;;"91.8";"Urban numbers 1.0 data";"Population"
2007;;"pop_urban_percentage";"Percentage of national population living in urban areas";"p";;;"AS";;;"22.7";"Urban numbers 1.0 data";"Population"
2007;;"pop_urban_percentage";"Percentage of national population living in urban areas";"p";;;"AU";;;"88.6";"Urban numbers 1.0 data";"Population"
2007;;"pop_urban_percentage";"Percentage of national population living in urban areas";"p";;;"AW";;;"46.7";"Urban numbers 1.0 data";"Population"
2007;;"pop_urban_percentage";"Percentage of national population living in urban areas";"p";;;"AZ";;;"51.7";"Urban numbers 1.0 data";"Population"
2007;;"pop_urban_percentage";"Percentage of national population living in urban areas";"p";;;"BA";;;"46.9";"Urban numbers 1.0 data";"Population"
2007;;"pop_urban_percentage";"Percentage of national population living in urban areas";"p";;;"BB";;;"39.3";"Urban numbers 1.0 data";"Population"
2007;;"pop_urban_percentage";"Percentage of national population living in urban areas";"p";;;"BD";;;"26.6";"Urban numbers 1.0 data";"Population"
2007;;"pop_urban_percentage";"Percentage of national population living in urban areas";"p";;;"BE";;;"97.3";"Urban numbers 1.0 data";"Population"
2007;;"pop_urban_percentage";"Percentage of national population living in urban areas";"p";;;"BF";;;"19.1";"Urban numbers 1.0 data";"Population"
2007;;"pop_urban_percentage";"Percentage of national population living in urban areas";"p";;;"BG";;;"70.8";"Urban numbers 1.0 data";"Population"
2007;;"pop_urban_percentage";"Percentage of national population living in urban areas";"p";;;"BH";;;"88.5";"Urban numbers 1.0 data";"Population"
2007;;"pop_urban_percentage";"Percentage of national population living in urban areas";"p";;;"BI";;;"10.1";"Urban numbers 1.0 data";"Population"
2007;;"pop_urban_percentage";"Percentage of national population living in urban areas";"p";;;"BJ";;;"40.8";"Urban numbers 1.0 data";"Population"
2007;;"pop_urban_percentage";"Percentage of national population living in urban areas";"p";;;"BM";;;100;"Urban numbers 1.0 data";"Population"
2007;;"pop_urban_percentage";"Percentage of national population living in urban areas";"p";;;"BO";;;"65.2";"Urban numbers 1.0 data";"Population"
2007;;"pop_urban_percentage";"Percentage of national population living in urban areas";"p";;;"BR";;;"85.2";"Urban numbers 1.0 data";"Population"
2007;;"pop_urban_percentage";"Percentage of national population living in urban areas";"p";;;"BS";;;"83.5";"Urban numbers 1.0 data";"Population"
2007;;"pop_urban_percentage";"Percentage of national population living in urban areas";"p";;;"BT";;;"33.3";"Urban numbers 1.0 data";"Population"
2007;;"pop_urban_percentage";"Percentage of national population living in urban areas";"p";;;"BW";;;"58.9";"Urban numbers 1.0 data";"Population"
2007;;"pop_urban_percentage";"Percentage of national population living in urban areas";"p";;;"BY";;;73;"Urban numbers 1.0 data";"Population"
2007;;"pop_urban_percentage";"Percentage of national population living in urban areas";"p";;;"BZ";;;"51.2";"Urban numbers 1.0 data";"Population"
2007;;"pop_urban_percentage";"Percentage of national population living in urban areas";"p";;;"CA";;;"80.3";"Urban numbers 1.0 data";"Population"
2007;;"pop_urban_percentage";"Percentage of national population living in urban areas";"p";;;"CD";;;"68.3";"Urban numbers 1.0 data";"Population"
2007;;"pop_urban_percentage";"Percentage of national population living in urban areas";"p";;;"CF";;;"70.8";"Urban numbers 1.0 data";"Population"
2007;;"pop_urban_percentage";"Percentage of national population living in urban areas";"p";;;"CH";;;"73.4";"Urban numbers 1.0 data";"Population"
2007;;"pop_urban_percentage";"Percentage of national population living in urban areas";"p";;;"CK";;;0;"Urban numbers 1.0 data";"Population"
2007;;"pop_urban_percentage";"Percentage of national population living in urban areas";"p";;;"CL";;;"88.2";"Urban numbers 1.0 data";"Population"
2007;;"pop_urban_percentage";"Percentage of national population living in urban areas";"p";;;"CM";;;56;"Urban numbers 1.0 data";"Population"
2007;;"pop_urban_percentage";"Percentage of national population living in urban areas";"p";;;"CN";;;"42.2";"Urban numbers 1.0 data";"Population"
2007;;"pop_urban_percentage";"Percentage of national population living in urban areas";"p";;;"CO";;;"74.2";"Urban numbers 1.0 data";"Population"
2007;;"pop_urban_percentage";"Percentage of national population living in urban areas";"p";;;"CR";;;"62.8";"Urban numbers 1.0 data";"Population"
2007;;"pop_urban_percentage";"Percentage of national population living in urban areas";"p";;;"CU";;;"75.6";"Urban numbers 1.0 data";"Population"
2007;;"pop_urban_percentage";"Percentage of national population living in urban areas";"p";;;"CV";;;"58.9";"Urban numbers 1.0 data";"Population"
2007;;"pop_urban_percentage";"Percentage of national population living in urban areas";"p";;;"CY";;;"69.7";"Urban numbers 1.0 data";"Population"
2007;;"pop_urban_percentage";"Percentage of national population living in urban areas";"p";;;"DE";;;"73.5";"Urban numbers 1.0 data";"Population"
2007;;"pop_urban_percentage";"Percentage of national population living in urban areas";"p";;;"DJ";;;87;"Urban numbers 1.0 data";"Population"
2007;;"pop_urban_percentage";"Percentage of national population living in urban areas";"p";;;"DK";;;"86.4";"Urban numbers 1.0 data";"Population"
2007;;"pop_urban_percentage";"Percentage of national population living in urban areas";"p";;;"DM";;;"73.6";"Urban numbers 1.0 data";"Population"
2007;;"pop_urban_percentage";"Percentage of national population living in urban areas";"p";;;"DZ";;;"64.6";"Urban numbers 1.0 data";"Population"
2007;;"pop_urban_percentage";"Percentage of national population living in urban areas";"p";;;"EC";;;65;"Urban numbers 1.0 data";"Population"
2007;;"pop_urban_percentage";"Percentage of national population living in urban areas";"p";;;"EE";;;"69.4";"Urban numbers 1.0 data";"Population"
2007;;"pop_urban_percentage";"Percentage of national population living in urban areas";"p";;;"EG";;;"42.6";"Urban numbers 1.0 data";"Population"
2007;;"pop_urban_percentage";"Percentage of national population living in urban areas";"p";;;"EH";;;"76.4";"Urban numbers 1.0 data";"Population"
