year;year_range;indicator_id;friendly_name;type_data;selection_type;deprivation_type;country;city;region;value;description;category
2007;;population_capital_cities;Population of capital cities;1000;Total;;ASIAFG001;Kabul;;3277;United Nations Department of Economic and Social Affairs_World Urbanization Prospects_2007;Slum dwellers
2007;;population_capital_cities;Population of capital cities;1000;Total;;EURALB011002;Tirane;;406;United Nations Department of Economic and Social Affairs_World Urbanization Prospects_2007;Slum dwellers
2007;;population_capital_cities;Population of capital cities;1000;Total;;AFRDZA016;Alger;;3354;United Nations Department of Economic and Social Affairs_World Urbanization Prospects_2007;Slum dwellers
2007;;population_capital_cities;Population of capital cities;1000;Total;;EURAND001;Andorra la Vella;;24;United Nations Department of Economic and Social Affairs_World Urbanization Prospects_2007;Slum dwellers
2007;;population_capital_cities;Population of capital cities;1000;Total;;AFRAGO004;Luanda;;4000;United Nations Department of Economic and Social Affairs_World Urbanization Prospects_2007;Slum dwellers
2007;;population_capital_cities;Population of capital cities;1000;Total;;LACATG004;St. John;;26;United Nations Department of Economic and Social Affairs_World Urbanization Prospects_2007;Slum dwellers
2007;;population_capital_cities;Population of capital cities;1000;Total;;LACARG006;Buenos Aires;;12795;United Nations Department of Economic and Social Affairs_World Urbanization Prospects_2007;Slum dwellers
2007;;population_capital_cities;Population of capital cities;1000;Total;;ASIARM018;Yerevan;;1102;United Nations Department of Economic and Social Affairs_World Urbanization Prospects_2007;Slum dwellers
2007;;population_capital_cities;Population of capital cities;1000;Total;;EURAUT009;Wien;;2315;United Nations Department of Economic and Social Affairs_World Urbanization Prospects_2007;Slum dwellers
2007;;population_capital_cities;Population of capital cities;1000;Total;;ASIAZE011;Baku;;1892;United Nations Department of Economic and Social Affairs_World Urbanization Prospects_2007;Slum dwellers
2007;;population_capital_cities;Population of capital cities;1000;Total;;ASIBHR001;Al Manamah;;157;United Nations Department of Economic and Social Affairs_World Urbanization Prospects_2007;Slum dwellers
2007;;population_capital_cities;Population of capital cities;1000;Total;;ASIBGD003;Dhaka;;13485;United Nations Department of Economic and Social Affairs_World Urbanization Prospects_2007;Slum dwellers
2007;;population_capital_cities;Population of capital cities;1000;Total;;LACBRB001;Bridgetown;;116;United Nations Department of Economic and Social Affairs_World Urbanization Prospects_2007;Slum dwellers
2007;;population_capital_cities;Population of capital cities;1000;Total;;EURBLR004;Minsk;;1805;United Nations Department of Economic and Social Affairs_World Urbanization Prospects_2007;Slum dwellers
2007;;population_capital_cities;Population of capital cities;1000;Total;;EURBEL003;Bruxelles-Brussel;;1743;United Nations Department of Economic and Social Affairs_World Urbanization Prospects_2007;Slum dwellers
2007;;population_capital_cities;Population of capital cities;1000;Total;;AFRBEN_08_01;Cotonou;;762;United Nations Department of Economic and Social Affairs_World Urbanization Prospects_2007;Slum dwellers
2007;;population_capital_cities;Population of capital cities;1000;Total;;AFRBEN_10_08;Porto Novo;;257;United Nations Department of Economic and Social Affairs_World Urbanization Prospects_2007;Slum dwellers
2007;;population_capital_cities;Population of capital cities;1000;Total;;NAMBMU002;Hamilton;;11;United Nations Department of Economic and Social Affairs_World Urbanization Prospects_2007;Slum dwellers
