"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
1950;;"population_cities_by_country_1m_5m";"Population in cities by country – cities with 1 to 5 million inhabitants";1000;"1 to 5 million";;"Africa";;;3531;"United Nations Department of Economic and Social Affairs_World Urbanization Prospects_2007";"Population"
1955;;"population_cities_by_country_1m_5m";"Population in cities by country – cities with 1 to 5 million inhabitants";1000;"1 to 5 million";;"Africa";;;5294;"United Nations Department of Economic and Social Affairs_World Urbanization Prospects_2007";"Population"
1960;;"population_cities_by_country_1m_5m";"Population in cities by country – cities with 1 to 5 million inhabitants";1000;"1 to 5 million";;"Africa";;;6331;"United Nations Department of Economic and Social Affairs_World Urbanization Prospects_2007";"Population"
1965;;"population_cities_by_country_1m_5m";"Population in cities by country – cities with 1 to 5 million inhabitants";1000;"1 to 5 million";;"Africa";;;11169;"United Nations Department of Economic and Social Affairs_World Urbanization Prospects_2007";"Population"
1970;;"population_cities_by_country_1m_5m";"Population in cities by country – cities with 1 to 5 million inhabitants";1000;"1 to 5 million";;"Africa";;;9788;"United Nations Department of Economic and Social Affairs_World Urbanization Prospects_2007";"Population"
1975;;"population_cities_by_country_1m_5m";"Population in cities by country – cities with 1 to 5 million inhabitants";1000;"1 to 5 million";;"Africa";;;12809;"United Nations Department of Economic and Social Affairs_World Urbanization Prospects_2007";"Population"
1980;;"population_cities_by_country_1m_5m";"Population in cities by country – cities with 1 to 5 million inhabitants";1000;"1 to 5 million";;"Africa";;;22719;"United Nations Department of Economic and Social Affairs_World Urbanization Prospects_2007";"Population"
1985;;"population_cities_by_country_1m_5m";"Population in cities by country – cities with 1 to 5 million inhabitants";1000;"1 to 5 million";;"Africa";;;34344;"United Nations Department of Economic and Social Affairs_World Urbanization Prospects_2007";"Population"
1990;;"population_cities_by_country_1m_5m";"Population in cities by country – cities with 1 to 5 million inhabitants";1000;"1 to 5 million";;"Africa";;;45925;"United Nations Department of Economic and Social Affairs_World Urbanization Prospects_2007";"Population"
1995;;"population_cities_by_country_1m_5m";"Population in cities by country – cities with 1 to 5 million inhabitants";1000;"1 to 5 million";;"Africa";;;52283;"United Nations Department of Economic and Social Affairs_World Urbanization Prospects_2007";"Population"
2000;;"population_cities_by_country_1m_5m";"Population in cities by country – cities with 1 to 5 million inhabitants";1000;"1 to 5 million";;"Africa";;;65614;"United Nations Department of Economic and Social Affairs_World Urbanization Prospects_2007";"Population"
2005;;"population_cities_by_country_1m_5m";"Population in cities by country – cities with 1 to 5 million inhabitants";1000;"1 to 5 million";;"Africa";;;87130;"United Nations Department of Economic and Social Affairs_World Urbanization Prospects_2007";"Population"
2010;;"population_cities_by_country_1m_5m";"Population in cities by country – cities with 1 to 5 million inhabitants";1000;"1 to 5 million";;"Africa";;;102418;"United Nations Department of Economic and Social Affairs_World Urbanization Prospects_2007";"Population"
2015;;"population_cities_by_country_1m_5m";"Population in cities by country – cities with 1 to 5 million inhabitants";1000;"1 to 5 million";;"Africa";;;124882;"United Nations Department of Economic and Social Affairs_World Urbanization Prospects_2007";"Population"
2020;;"population_cities_by_country_1m_5m";"Population in cities by country – cities with 1 to 5 million inhabitants";1000;"1 to 5 million";;"Africa";;;134552;"United Nations Department of Economic and Social Affairs_World Urbanization Prospects_2007";"Population"
2025;;"population_cities_by_country_1m_5m";"Population in cities by country – cities with 1 to 5 million inhabitants";1000;"1 to 5 million";;"Africa";;;150238;"United Nations Department of Economic and Social Affairs_World Urbanization Prospects_2007";"Population"
2025;;"population_cities_by_country_1m_5m";"Population in cities by country – cities with 1 to 5 million inhabitants";1000;"1 to 5 million";;"Burundi";;;1187;"United Nations Department of Economic and Social Affairs_World Urbanization Prospects_2007";"Population"
2020;;"population_cities_by_country_1m_5m";"Population in cities by country – cities with 1 to 5 million inhabitants";1000;"1 to 5 million";;"Eritrea";;;1076;"United Nations Department of Economic and Social Affairs_World Urbanization Prospects_2007";"Population"
2025;;"population_cities_by_country_1m_5m";"Population in cities by country – cities with 1 to 5 million inhabitants";1000;"1 to 5 million";;"Eritrea";;;1320;"United Nations Department of Economic and Social Affairs_World Urbanization Prospects_2007";"Population"
1980;;"population_cities_by_country_1m_5m";"Population in cities by country – cities with 1 to 5 million inhabitants";1000;"1 to 5 million";;"Ethiopia";;;1175;"United Nations Department of Economic and Social Affairs_World Urbanization Prospects_2007";"Population"
1985;;"population_cities_by_country_1m_5m";"Population in cities by country – cities with 1 to 5 million inhabitants";1000;"1 to 5 million";;"Ethiopia";;;1476;"United Nations Department of Economic and Social Affairs_World Urbanization Prospects_2007";"Population"
1990;;"population_cities_by_country_1m_5m";"Population in cities by country – cities with 1 to 5 million inhabitants";1000;"1 to 5 million";;"Ethiopia";;;1791;"United Nations Department of Economic and Social Affairs_World Urbanization Prospects_2007";"Population"
