"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
2050;;"population";;;;;"AE";;;8521;"Urban numbers 1.0 data";"Slum dwellers"
1985;;"population";;;;;"AE";;;1410;"Urban numbers 1.0 data";"Slum dwellers"
1980;;"population";;;;;"AE";;;1015;"Urban numbers 1.0 data";"Slum dwellers"
1965;;"population";;;;;"AE";;;144;"Urban numbers 1.0 data";"Slum dwellers"
1960;;"population";;;;;"AE";;;90;"Urban numbers 1.0 data";"Slum dwellers"
2035;;"population";;;;;"AE";;;7232;"Urban numbers 1.0 data";"Slum dwellers"
2030;;"population";;;;;"AE";;;6753;"Urban numbers 1.0 data";"Slum dwellers"
2015;;"population";;;;;"AE";;;5263;"Urban numbers 1.0 data";"Slum dwellers"
2010;;"population";;;;;"AE";;;4732;"Urban numbers 1.0 data";"Slum dwellers"
1955;;"population";;;;;"AE";;;79;"Urban numbers 1.0 data";"Slum dwellers"
1950;;"population";;;;;"AE";;;70;"Urban numbers 1.0 data";"Slum dwellers"
1990;;"population";;;;;"AE";;;1867;"Urban numbers 1.0 data";"Slum dwellers"
2045;;"population";;;;;"AE";;;8134;"Urban numbers 1.0 data";"Slum dwellers"
1995;;"population";;;;;"AE";;;2432;"Urban numbers 1.0 data";"Slum dwellers"
2040;;"population";;;;;"AE";;;7698;"Urban numbers 1.0 data";"Slum dwellers"
1975;;"population";;;;;"AE";;;530;"Urban numbers 1.0 data";"Slum dwellers"
1970;;"population";;;;;"AE";;;225;"Urban numbers 1.0 data";"Slum dwellers"
2025;;"population";;;;;"AE";;;6268;"Urban numbers 1.0 data";"Slum dwellers"
2000;;"population";;;;;"AE";;;3247;"Urban numbers 1.0 data";"Slum dwellers"
2020;;"population";;;;;"AE";;;5774;"Urban numbers 1.0 data";"Slum dwellers"
2005;;"population";;;;;"AE";;;4104;"Urban numbers 1.0 data";"Slum dwellers"
2007;;"population";;;;;"AE";;;"NULL";"Urban numbers 1.0 data";"Slum dwellers"
2050;;"population";;;;;"AF";;;79423;"Urban numbers 1.0 data";"Slum dwellers"
1985;;"population";;;;;"AF";;;12333;"Urban numbers 1.0 data";"Slum dwellers"
1980;;"population";;;;;"AF";;;13946;"Urban numbers 1.0 data";"Slum dwellers"
1965;;"population";;;;;"AF";;;10612;"Urban numbers 1.0 data";"Slum dwellers"
1960;;"population";;;;;"AF";;;9616;"Urban numbers 1.0 data";"Slum dwellers"
2035;;"population";;;;;"AF";;;59780;"Urban numbers 1.0 data";"Slum dwellers"
2030;;"population";;;;;"AF";;;53252;"Urban numbers 1.0 data";"Slum dwellers"
2015;;"population";;;;;"AF";;;35631;"Urban numbers 1.0 data";"Slum dwellers"
2010;;"population";;;;;"AF";;;30389;"Urban numbers 1.0 data";"Slum dwellers"
1955;;"population";;;;;"AF";;;8805;"Urban numbers 1.0 data";"Slum dwellers"
1950;;"population";;;;;"AF";;;8151;"Urban numbers 1.0 data";"Slum dwellers"
1990;;"population";;;;;"AF";;;12659;"Urban numbers 1.0 data";"Slum dwellers"
2045;;"population";;;;;"AF";;;72953;"Urban numbers 1.0 data";"Slum dwellers"
1995;;"population";;;;;"AF";;;18256;"Urban numbers 1.0 data";"Slum dwellers"
2040;;"population";;;;;"AF";;;66374;"Urban numbers 1.0 data";"Slum dwellers"
1975;;"population";;;;;"AF";;;13329;"Urban numbers 1.0 data";"Slum dwellers"
1970;;"population";;;;;"AF";;;11840;"Urban numbers 1.0 data";"Slum dwellers"
2025;;"population";;;;;"AF";;;46927;"Urban numbers 1.0 data";"Slum dwellers"
2000;;"population";;;;;"AF";;;20737;"Urban numbers 1.0 data";"Slum dwellers"
2020;;"population";;;;;"AF";;;40993;"Urban numbers 1.0 data";"Slum dwellers"
2005;;"population";;;;;"AF";;;25067;"Urban numbers 1.0 data";"Slum dwellers"
2007;;"population";;;;;"AF";;;27145;"Urban numbers 1.0 data";"Slum dwellers"
2050;;"population";;;;;"AG";;;111;"Urban numbers 1.0 data";"Slum dwellers"
1985;;"population";;;;;"AG";;;68;"Urban numbers 1.0 data";"Slum dwellers"
1980;;"population";;;;;"AG";;;72;"Urban numbers 1.0 data";"Slum dwellers"
1965;;"population";;;;;"AG";;;62;"Urban numbers 1.0 data";"Slum dwellers"
1960;;"population";;;;;"AG";;;55;"Urban numbers 1.0 data";"Slum dwellers"
2035;;"population";;;;;"AG";;;107;"Urban numbers 1.0 data";"Slum dwellers"
2030;;"population";;;;;"AG";;;104;"Urban numbers 1.0 data";"Slum dwellers"
2015;;"population";;;;;"AG";;;93;"Urban numbers 1.0 data";"Slum dwellers"
2010;;"population";;;;;"AG";;;88;"Urban numbers 1.0 data";"Slum dwellers"
1955;;"population";;;;;"AG";;;53;"Urban numbers 1.0 data";"Slum dwellers"
1950;;"population";;;;;"AG";;;46;"Urban numbers 1.0 data";"Slum dwellers"
1990;;"population";;;;;"AG";;;62;"Urban numbers 1.0 data";"Slum dwellers"
2045;;"population";;;;;"AG";;;110;"Urban numbers 1.0 data";"Slum dwellers"
1995;;"population";;;;;"AG";;;68;"Urban numbers 1.0 data";"Slum dwellers"
2040;;"population";;;;;"AG";;;109;"Urban numbers 1.0 data";"Slum dwellers"
1975;;"population";;;;;"AG";;;76;"Urban numbers 1.0 data";"Slum dwellers"
1970;;"population";;;;;"AG";;;69;"Urban numbers 1.0 data";"Slum dwellers"
2025;;"population";;;;;"AG";;;101;"Urban numbers 1.0 data";"Slum dwellers"
2000;;"population";;;;;"AG";;;77;"Urban numbers 1.0 data";"Slum dwellers"
2020;;"population";;;;;"AG";;;97;"Urban numbers 1.0 data";"Slum dwellers"
2005;;"population";;;;;"AG";;;83;"Urban numbers 1.0 data";"Slum dwellers"
2007;;"population";;;;;"AG";;;85;"Urban numbers 1.0 data";"Slum dwellers"
2050;;"population";;;;;"AI";;;17;"Urban numbers 1.0 data";"Slum dwellers"
1985;;"population";;;;;"AI";;;7;"Urban numbers 1.0 data";"Slum dwellers"
1980;;"population";;;;;"AI";;;7;"Urban numbers 1.0 data";"Slum dwellers"
1965;;"population";;;;;"AI";;;6;"Urban numbers 1.0 data";"Slum dwellers"
1960;;"population";;;;;"AI";;;6;"Urban numbers 1.0 data";"Slum dwellers"
2035;;"population";;;;;"AI";;;17;"Urban numbers 1.0 data";"Slum dwellers"
2030;;"population";;;;;"AI";;;16;"Urban numbers 1.0 data";"Slum dwellers"
2015;;"population";;;;;"AI";;;14;"Urban numbers 1.0 data";"Slum dwellers"
2010;;"population";;;;;"AI";;;13;"Urban numbers 1.0 data";"Slum dwellers"
1955;;"population";;;;;"AI";;;5;"Urban numbers 1.0 data";"Slum dwellers"
1950;;"population";;;;;"AI";;;5;"Urban numbers 1.0 data";"Slum dwellers"
1990;;"population";;;;;"AI";;;9;"Urban numbers 1.0 data";"Slum dwellers"
2045;;"population";;;;;"AI";;;17;"Urban numbers 1.0 data";"Slum dwellers"
1995;;"population";;;;;"AI";;;10;"Urban numbers 1.0 data";"Slum dwellers"
2040;;"population";;;;;"AI";;;17;"Urban numbers 1.0 data";"Slum dwellers"
1975;;"population";;;;;"AI";;;7;"Urban numbers 1.0 data";"Slum dwellers"
1970;;"population";;;;;"AI";;;7;"Urban numbers 1.0 data";"Slum dwellers"
2025;;"population";;;;;"AI";;;16;"Urban numbers 1.0 data";"Slum dwellers"
2000;;"population";;;;;"AI";;;11;"Urban numbers 1.0 data";"Slum dwellers"
2020;;"population";;;;;"AI";;;15;"Urban numbers 1.0 data";"Slum dwellers"
2005;;"population";;;;;"AI";;;12;"Urban numbers 1.0 data";"Slum dwellers"
2007;;"population";;;;;"AI";;;13;"Urban numbers 1.0 data";"Slum dwellers"
2000;;"population";;;;;"AL";;;3080;"Urban numbers 1.0 data";"Slum dwellers"
2005;;"population";;;;;"AL";;;3154;"Urban numbers 1.0 data";"Slum dwellers"
2050;;"population";;;;;"AL";;;3451;"Urban numbers 1.0 data";"Slum dwellers"
1985;;"population";;;;;"AL";;;2957;"Urban numbers 1.0 data";"Slum dwellers"
1980;;"population";;;;;"AL";;;2671;"Urban numbers 1.0 data";"Slum dwellers"
1965;;"population";;;;;"AL";;;1870;"Urban numbers 1.0 data";"Slum dwellers"
1960;;"population";;;;;"AL";;;1611;"Urban numbers 1.0 data";"Slum dwellers"
2035;;"population";;;;;"AL";;;3527;"Urban numbers 1.0 data";"Slum dwellers"
2030;;"population";;;;;"AL";;;3519;"Urban numbers 1.0 data";"Slum dwellers"
2015;;"population";;;;;"AL";;;3346;"Urban numbers 1.0 data";"Slum dwellers"
2010;;"population";;;;;"AL";;;3245;"Urban numbers 1.0 data";"Slum dwellers"
1955;;"population";;;;;"AL";;;1379;"Urban numbers 1.0 data";"Slum dwellers"
1950;;"population";;;;;"AL";;;1215;"Urban numbers 1.0 data";"Slum dwellers"
1990;;"population";;;;;"AL";;;3289;"Urban numbers 1.0 data";"Slum dwellers"
2045;;"population";;;;;"AL";;;3494;"Urban numbers 1.0 data";"Slum dwellers"
1995;;"population";;;;;"AL";;;3150;"Urban numbers 1.0 data";"Slum dwellers"
2040;;"population";;;;;"AL";;;3519;"Urban numbers 1.0 data";"Slum dwellers"
1975;;"population";;;;;"AL";;;2401;"Urban numbers 1.0 data";"Slum dwellers"
1970;;"population";;;;;"AL";;;2136;"Urban numbers 1.0 data";"Slum dwellers"
2025;;"population";;;;;"AL";;;3488;"Urban numbers 1.0 data";"Slum dwellers"
2020;;"population";;;;;"AL";;;3430;"Urban numbers 1.0 data";"Slum dwellers"
2007;;"population";;;;;"AL";;;3190;"Urban numbers 1.0 data";"Slum dwellers"
2000;;"population";;;;;"AM";;;3082;"Urban numbers 1.0 data";"Slum dwellers"
2005;;"population";;;;;"AM";;;3018;"Urban numbers 1.0 data";"Slum dwellers"
2050;;"population";;;;;"AM";;;2458;"Urban numbers 1.0 data";"Slum dwellers"
1985;;"population";;;;;"AM";;;3339;"Urban numbers 1.0 data";"Slum dwellers"
1980;;"population";;;;;"AM";;;3096;"Urban numbers 1.0 data";"Slum dwellers"
1965;;"population";;;;;"AM";;;2205;"Urban numbers 1.0 data";"Slum dwellers"
1960;;"population";;;;;"AM";;;1867;"Urban numbers 1.0 data";"Slum dwellers"
2035;;"population";;;;;"AM";;;2757;"Urban numbers 1.0 data";"Slum dwellers"
2030;;"population";;;;;"AM";;;2838;"Urban numbers 1.0 data";"Slum dwellers"
2015;;"population";;;;;"AM";;;2976;"Urban numbers 1.0 data";"Slum dwellers"
2010;;"population";;;;;"AM";;;2987;"Urban numbers 1.0 data";"Slum dwellers"
