year;year_range;indicator_id;friendly_name;type_data;selection_type;deprivation_type;country;city;region;value;description;category
2013;;proportion_land_allocated_to_street_sub_urban_area;Proportion of land allocated to street – Sub urban area;p;sub_urban_area;;Australia;Melbourne;;12,9;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;proportion_land_allocated_to_street_sub_urban_area;Proportion of land allocated to street – Sub urban area;p;sub_urban_area;;Australia;Sydney;;12,4;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;proportion_land_allocated_to_street_sub_urban_area;Proportion of land allocated to street – Sub urban area;p;sub_urban_area;;Belgium;Brussels ;;13,8;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;proportion_land_allocated_to_street_sub_urban_area;Proportion of land allocated to street – Sub urban area;p;sub_urban_area;;Canada;Calgary;;8,3;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;proportion_land_allocated_to_street_sub_urban_area;Proportion of land allocated to street – Sub urban area;p;sub_urban_area;;Canada;Montreal;;15;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;proportion_land_allocated_to_street_sub_urban_area;Proportion of land allocated to street – Sub urban area;p;sub_urban_area;;Canada;Toronto;;16;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;proportion_land_allocated_to_street_sub_urban_area;Proportion of land allocated to street – Sub urban area;p;sub_urban_area;;Denmark;Copenhagen ;;8,7;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;proportion_land_allocated_to_street_sub_urban_area;Proportion of land allocated to street – Sub urban area;p;sub_urban_area;;Finland;Helsinki ;;9,8;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;proportion_land_allocated_to_street_sub_urban_area;Proportion of land allocated to street – Sub urban area;p;sub_urban_area;;France;Paris ;;13;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;proportion_land_allocated_to_street_sub_urban_area;Proportion of land allocated to street – Sub urban area;p;sub_urban_area;;Greece;Athens ;;13,5;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;proportion_land_allocated_to_street_sub_urban_area;Proportion of land allocated to street – Sub urban area;p;sub_urban_area;;Netherlands;Amsterdam ;;11,4;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;proportion_land_allocated_to_street_sub_urban_area;Proportion of land allocated to street – Sub urban area;p;sub_urban_area;;Newzealand;Auckland ;;10;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;proportion_land_allocated_to_street_sub_urban_area;Proportion of land allocated to street – Sub urban area;p;sub_urban_area;;Russia;Moscow;;;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;proportion_land_allocated_to_street_sub_urban_area;Proportion of land allocated to street – Sub urban area;p;sub_urban_area;;Russia;Saint Petersburg ;;8,3;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;proportion_land_allocated_to_street_sub_urban_area;Proportion of land allocated to street – Sub urban area;p;sub_urban_area;;Spain;Barcelona ;;13;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;proportion_land_allocated_to_street_sub_urban_area;Proportion of land allocated to street – Sub urban area;p;sub_urban_area;;United Kingdom;London;;15;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;proportion_land_allocated_to_street_sub_urban_area;Proportion of land allocated to street – Sub urban area;p;sub_urban_area;;United States of America;Los Angeles;;;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;proportion_land_allocated_to_street_sub_urban_area;Proportion of land allocated to street – Sub urban area;p;sub_urban_area;;United States of America;New York ;;12,3;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;proportion_land_allocated_to_street_sub_urban_area;Proportion of land allocated to street – Sub urban area;p;sub_urban_area;;United States of America;Phoenix;;;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;proportion_land_allocated_to_street_sub_urban_area;Proportion of land allocated to street – Sub urban area;p;sub_urban_area;;United States of America;Washington, D.C.;;;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
