"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
2013;;"proportion_land_allocated_to_street_total";"Proportion of land allocated to street – total";"p";"total";;"Australia";"Melbourne";;" ";"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Streets"
2013;;"proportion_land_allocated_to_street_total";"Proportion of land allocated to street – total";"p";"total";;"Australia";"Sydney";;" ";"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Streets"
2013;;"proportion_land_allocated_to_street_total";"Proportion of land allocated to street – total";"p";"total";;"Belgium";"Brussels ";;"19.4";"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Streets"
2013;;"proportion_land_allocated_to_street_total";"Proportion of land allocated to street – total";"p";"total";;"Canada";"Calgary";;"15.5";"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Streets"
2013;;"proportion_land_allocated_to_street_total";"Proportion of land allocated to street – total";"p";"total";;"Canada";"Montreal";;" ";"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Streets"
2013;;"proportion_land_allocated_to_street_total";"Proportion of land allocated to street – total";"p";"total";;"Canada";"Toronto";;"27.8";"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Streets"
2013;;"proportion_land_allocated_to_street_total";"Proportion of land allocated to street – total";"p";"total";;"Denmark";"Copenhagen ";;"15.7";"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Streets"
2013;;"proportion_land_allocated_to_street_total";"Proportion of land allocated to street – total";"p";"total";;"Finland";"Helsinki ";;"16.4";"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Streets"
2013;;"proportion_land_allocated_to_street_total";"Proportion of land allocated to street – total";"p";"total";;"France";"Paris ";;"21.4";"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Streets"
2013;;"proportion_land_allocated_to_street_total";"Proportion of land allocated to street – total";"p";"total";;"Greece";"Athens ";;21;"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Streets"
2013;;"proportion_land_allocated_to_street_total";"Proportion of land allocated to street – total";"p";"total";;"Netherlands";"Amsterdam ";;"20.3";"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Streets"
2013;;"proportion_land_allocated_to_street_total";"Proportion of land allocated to street – total";"p";"total";;"New Zealand";"Auckland ";;"14.1";"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Streets"
2013;;"proportion_land_allocated_to_street_total";"Proportion of land allocated to street – total";"p";"total";;"Russia";"Moscow";;;"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Streets"
2013;;"proportion_land_allocated_to_street_total";"Proportion of land allocated to street – total";"p";"total";;"Russia";"Saint Petersburg ";;"13.4";"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Streets"
2013;;"proportion_land_allocated_to_street_total";"Proportion of land allocated to street – total";"p";"total";;"Spain";"Barcelona ";;33;"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Streets"
2013;;"proportion_land_allocated_to_street_total";"Proportion of land allocated to street – total";"p";"total";;"United Kingdom";"London";;" ";"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Streets"
2013;;"proportion_land_allocated_to_street_total";"Proportion of land allocated to street – total";"p";"total";;"United States of America";"Los Angeles";;;"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Streets"
2013;;"proportion_land_allocated_to_street_total";"Proportion of land allocated to street – total";"p";"total";;"United States of America";"New York ";;"24.1";"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Streets"
2013;;"proportion_land_allocated_to_street_total";"Proportion of land allocated to street – total";"p";"total";;"United States of America";"Phoenix";;;"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Streets"
2013;;"proportion_land_allocated_to_street_total";"Proportion of land allocated to street – total";"p";"total";;"United States of America";"Washington, D.C.";;;"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Streets"
2013;;"proportion_land_allocated_to_street_total";"Proportion of land allocated to street – total";"p";"total";;"Armenia";"Yerevan ";;"2.2";"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Streets"
2013;;"proportion_land_allocated_to_street_total";"Proportion of land allocated to street – total";"p";"total";;"Bangladesh";"Dhaka";;"5.7";"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Streets"
2013;;"proportion_land_allocated_to_street_total";"Proportion of land allocated to street – total";"p";"total";;"Bolivia";"La Paz";;"6.4";"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Streets"
2013;;"proportion_land_allocated_to_street_total";"Proportion of land allocated to street – total";"p";"total";;"Brazil";"Brasilia ";;"12.4";"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Streets"
2013;;"proportion_land_allocated_to_street_total";"Proportion of land allocated to street – total";"p";"total";;"Brazil";"Sao Paulo";;"14.5";"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Streets"
2013;;"proportion_land_allocated_to_street_total";"Proportion of land allocated to street – total";"p";"total";;"Burkina Faso";"Ouagadougou ";;11;"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Streets"
2013;;"proportion_land_allocated_to_street_total";"Proportion of land allocated to street – total";"p";"total";;"Central African Republic";"Bangui ";;"4.3";"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Streets"
2013;;"proportion_land_allocated_to_street_total";"Proportion of land allocated to street – total";"p";"total";;"China";"Beijing ";;"12.6";"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Streets"
2013;;"proportion_land_allocated_to_street_total";"Proportion of land allocated to street – total";"p";"total";;"China, Hong Kong SAR";"Hong Kong ";;"21.4";"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Streets"
2013;;"proportion_land_allocated_to_street_total";"Proportion of land allocated to street – total";"p";"total";;"Colombia";"Bogota";;"17.2";"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Streets"
2013;;"proportion_land_allocated_to_street_total";"Proportion of land allocated to street – total";"p";"total";;"Colombia";"Medellin ";;"16.6";"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Streets"
2013;;"proportion_land_allocated_to_street_total";"Proportion of land allocated to street – total";"p";"total";;"Egypt";"Alexandria";;"7.9";"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Streets"
2013;;"proportion_land_allocated_to_street_total";"Proportion of land allocated to street – total";"p";"total";;"Egypt";"Cairo";;11;"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Streets"
2013;;"proportion_land_allocated_to_street_total";"Proportion of land allocated to street – total";"p";"total";;"Ethiopia";"Addis Ababa ";;"8.9";"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Streets"
2013;;"proportion_land_allocated_to_street_total";"Proportion of land allocated to street – total";"p";"total";;"Ghana";"Accra ";;"7.9";"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Streets"
2013;;"proportion_land_allocated_to_street_total";"Proportion of land allocated to street – total";"p";"total";;"Guatemala";"Guatemala City";;"8.8";"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Streets"
2013;;"proportion_land_allocated_to_street_total";"Proportion of land allocated to street – total";"p";"total";;"Guyana";"Georgetown ";;"9.1";"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Streets"
2013;;"proportion_land_allocated_to_street_total";"Proportion of land allocated to street – total";"p";"total";;"India";"Chandigarh ";;"12.2";"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Streets"
2013;;"proportion_land_allocated_to_street_total";"Proportion of land allocated to street – total";"p";"total";;"India";"Kolkata ";;"12.1";"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Streets"
