"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category";;
1990;;"slum_proportion_living_urban";"Slum proportion living in urban area""s";"p";;;"China";;;43;6;"Table 6 Urban population";" proportion of urban population living in slum area and urban slum population";"Slum dwellers"
1990;;"slum_proportion_living_urban";"Slum proportion living in urban area""s";"p";;;"Mongolia";;;68;5;"Table 6 Urban population";" proportion of urban population living in slum area and urban slum population";"Slum dwellers"
1990;;"slum_proportion_living_urban";"Slum proportion living in urban area""s";"p";;;"Bangladesh";;;87;3;"Table 6 Urban population";" proportion of urban population living in slum area and urban slum population";"Slum dwellers"
1990;;"slum_proportion_living_urban";"Slum proportion living in urban area""s";"p";;;"India";;;54;9;"Table 6 Urban population";" proportion of urban population living in slum area and urban slum population";"Slum dwellers"
1990;;"slum_proportion_living_urban";"Slum proportion living in urban area""s";"p";;;"Nepal";;;70;6;"Table 6 Urban population";" proportion of urban population living in slum area and urban slum population";"Slum dwellers"
1990;;"slum_proportion_living_urban";"Slum proportion living in urban area""s";"p";;;"Pakistan";;;51;0;"Table 6 Urban population";" proportion of urban population living in slum area and urban slum population";"Slum dwellers"
1990;;"slum_proportion_living_urban";"Slum proportion living in urban area""s";"p";;;"Cambodia";;;" ";"Table 6 Urban population";" proportion of urban population living in slum area and urban slum population";"Slum dwellers";
1990;;"slum_proportion_living_urban";"Slum proportion living in urban area""s";"p";;;"Indonesia";;;50;8;"Table 6 Urban population";" proportion of urban population living in slum area and urban slum population";"Slum dwellers"
1990;;"slum_proportion_living_urban";"Slum proportion living in urban area""s";"p";;;"Lao People's Democratic Republic";;;" ";"Table 6 Urban population";" proportion of urban population living in slum area and urban slum population";"Slum dwellers";
1990;;"slum_proportion_living_urban";"Slum proportion living in urban area""s";"p";;;"Myanmar";;;" ";"Table 6 Urban population";" proportion of urban population living in slum area and urban slum population";"Slum dwellers";
1990;;"slum_proportion_living_urban";"Slum proportion living in urban area""s";"p";;;"Philippines";;;54;3;"Table 6 Urban population";" proportion of urban population living in slum area and urban slum population";"Slum dwellers"
1990;;"slum_proportion_living_urban";"Slum proportion living in urban area""s";"p";;;"Thailand";;;" ";"Table 6 Urban population";" proportion of urban population living in slum area and urban slum population";"Slum dwellers";
1990;;"slum_proportion_living_urban";"Slum proportion living in urban area""s";"p";;;"Viet Nam";;;60;5;"Table 6 Urban population";" proportion of urban population living in slum area and urban slum population";"Slum dwellers"
1990;;"slum_proportion_living_urban";"Slum proportion living in urban area""s";"p";;;"Iraq";;;16;9;"Table 6 Urban population";" proportion of urban population living in slum area and urban slum population";"Slum dwellers"
1990;;"slum_proportion_living_urban";"Slum proportion living in urban area""s";"p";;;"Jordan";;;" ";"Table 6 Urban population";" proportion of urban population living in slum area and urban slum population";"Slum dwellers";
1990;;"slum_proportion_living_urban";"Slum proportion living in urban area""s";"p";;;"Lebanon";;;" ";"Table 6 Urban population";" proportion of urban population living in slum area and urban slum population";"Slum dwellers";
1990;;"slum_proportion_living_urban";"Slum proportion living in urban area""s";"p";;;"Saudi Arabia";;;" ";"Table 6 Urban population";" proportion of urban population living in slum area and urban slum population";"Slum dwellers";
1990;;"slum_proportion_living_urban";"Slum proportion living in urban area""s";"p";;;"Syrian Arab Republic";;;" ";"Table 6 Urban population";" proportion of urban population living in slum area and urban slum population";"Slum dwellers";
1990;;"slum_proportion_living_urban";"Slum proportion living in urban area""s";"p";;;"Turkey";;;23;4;"Table 6 Urban population";" proportion of urban population living in slum area and urban slum population";"Slum dwellers"
1990;;"slum_proportion_living_urban";"Slum proportion living in urban area""s";"p";;;"Yemen";;;" ";"Table 6 Urban population";" proportion of urban population living in slum area and urban slum population";"Slum dwellers";
1990;;"slum_proportion_living_urban";"Slum proportion living in urban area""s";"p";;;"Argentina";;;30;5;"Table 6 Urban population";" proportion of urban population living in slum area and urban slum population";"Slum dwellers"
1990;;"slum_proportion_living_urban";"Slum proportion living in urban area""s";"p";;;"Belize";;;" ";"Table 6 Urban population";" proportion of urban population living in slum area and urban slum population";"Slum dwellers";
1990;;"slum_proportion_living_urban";"Slum proportion living in urban area""s";"p";;;"Bolivia";;;62;2;"Table 6 Urban population";" proportion of urban population living in slum area and urban slum population";"Slum dwellers"
1990;;"slum_proportion_living_urban";"Slum proportion living in urban area""s";"p";;;"Brazil";;;36;7;"Table 6 Urban population";" proportion of urban population living in slum area and urban slum population";"Slum dwellers"
1990;;"slum_proportion_living_urban";"Slum proportion living in urban area""s";"p";;;"Chile";;;" ";"Table 6 Urban population";" proportion of urban population living in slum area and urban slum population";"Slum dwellers";
1990;;"slum_proportion_living_urban";"Slum proportion living in urban area""s";"p";;;"Colombia";;;31;2;"Table 6 Urban population";" proportion of urban population living in slum area and urban slum population";"Slum dwellers"
1990;;"slum_proportion_living_urban";"Slum proportion living in urban area""s";"p";;;"Costa Rica";;;" ";"Table 6 Urban population";" proportion of urban population living in slum area and urban slum population";"Slum dwellers";
1990;;"slum_proportion_living_urban";"Slum proportion living in urban area""s";"p";;;"Dominican Republic";;;27;9;"Table 6 Urban population";" proportion of urban population living in slum area and urban slum population";"Slum dwellers"
1990;;"slum_proportion_living_urban";"Slum proportion living in urban area""s";"p";;;"Ecuador";;;" ";"Table 6 Urban population";" proportion of urban population living in slum area and urban slum population";"Slum dwellers";
1990;;"slum_proportion_living_urban";"Slum proportion living in urban area""s";"p";;;"El Salvador";;;" ";"Table 6 Urban population";" proportion of urban population living in slum area and urban slum population";"Slum dwellers";
1990;;"slum_proportion_living_urban";"Slum proportion living in urban area""s";"p";;;"French Guiana";;;" ";"Table 6 Urban population";" proportion of urban population living in slum area and urban slum population";"Slum dwellers";
1990;;"slum_proportion_living_urban";"Slum proportion living in urban area""s";"p";;;"Grenada";;;" ";"Table 6 Urban population";" proportion of urban population living in slum area and urban slum population";"Slum dwellers";
1990;;"slum_proportion_living_urban";"Slum proportion living in urban area""s";"p";;;"Guadeloupe";;;" ";"Table 6 Urban population";" proportion of urban population living in slum area and urban slum population";"Slum dwellers";
1990;;"slum_proportion_living_urban";"Slum proportion living in urban area""s";"p";;;"Guatemala";;;58;6;"Table 6 Urban population";" proportion of urban population living in slum area and urban slum population";"Slum dwellers"
1990;;"slum_proportion_living_urban";"Slum proportion living in urban area""s";"p";;;"Guyana";;;" ";"Table 6 Urban population";" proportion of urban population living in slum area and urban slum population";"Slum dwellers";
1990;;"slum_proportion_living_urban";"Slum proportion living in urban area""s";"p";;;"Haiti";;;93;4;"Table 6 Urban population";" proportion of urban population living in slum area and urban slum population";"Slum dwellers"
1990;;"slum_proportion_living_urban";"Slum proportion living in urban area""s";"p";;;"Honduras";;;" ";"Table 6 Urban population";" proportion of urban population living in slum area and urban slum population";"Slum dwellers";
1990;;"slum_proportion_living_urban";"Slum proportion living in urban area""s";"p";;;"Jamaica";;;;"Table 6 Urban population";" proportion of urban population living in slum area and urban slum population";"Slum dwellers";
1990;;"slum_proportion_living_urban";"Slum proportion living in urban area""s";"p";;;"Mexico";;;23;1;"Table 6 Urban population";" proportion of urban population living in slum area and urban slum population";"Slum dwellers"
1990;;"slum_proportion_living_urban";"Slum proportion living in urban area""s";"p";;;"Nicaragua";;;89;1;"Table 6 Urban population";" proportion of urban population living in slum area and urban slum population";"Slum dwellers"
1990;;"slum_proportion_living_urban";"Slum proportion living in urban area""s";"p";;;"Panama";;;" ";"Table 6 Urban population";" proportion of urban population living in slum area and urban slum population";"Slum dwellers";
1990;;"slum_proportion_living_urban";"Slum proportion living in urban area""s";"p";;;"Paraguay";;;" ";"Table 6 Urban population";" proportion of urban population living in slum area and urban slum population";"Slum dwellers";
1990;;"slum_proportion_living_urban";"Slum proportion living in urban area""s";"p";;;"Peru";;;66;4;"Table 6 Urban population";" proportion of urban population living in slum area and urban slum population";"Slum dwellers"
1990;;"slum_proportion_living_urban";"Slum proportion living in urban area""s";"p";;;"Saint Lucia";;;" ";"Table 6 Urban population";" proportion of urban population living in slum area and urban slum population";"Slum dwellers";
1990;;"slum_proportion_living_urban";"Slum proportion living in urban area""s";"p";;;"Suriname";;;" ";"Table 6 Urban population";" proportion of urban population living in slum area and urban slum population";"Slum dwellers";
1990;;"slum_proportion_living_urban";"Slum proportion living in urban area""s";"p";;;"Trinidad and Tobago";;;" ";"Table 6 Urban population";" proportion of urban population living in slum area and urban slum population";"Slum dwellers";
1990;;"slum_proportion_living_urban";"Slum proportion living in urban area""s";"p";;;"Venezuela (Bolivarian Republic of)";;;" ";"Table 6 Urban population";" proportion of urban population living in slum area and urban slum population";"Slum dwellers";
