year;year_range;indicator_id;friendly_name;type_data;selection_type;deprivation_type;country;city;region;value;description;category
2007;;slum_proportion_living_urban;"Slum proportion living in urban area""s";p;;;China;;;31,0;Table 6 Urban population, proportion of urban population living in slum area and urban slum population;Slum dwellers
2007;;slum_proportion_living_urban;"Slum proportion living in urban area""s";p;;;Mongolia;;;57,9;Table 6 Urban population, proportion of urban population living in slum area and urban slum population;Slum dwellers
2007;;slum_proportion_living_urban;"Slum proportion living in urban area""s";p;;;Bangladesh;;;66,2;Table 6 Urban population, proportion of urban population living in slum area and urban slum population;Slum dwellers
2007;;slum_proportion_living_urban;"Slum proportion living in urban area""s";p;;;India;;;32,1;Table 6 Urban population, proportion of urban population living in slum area and urban slum population;Slum dwellers
2007;;slum_proportion_living_urban;"Slum proportion living in urban area""s";p;;;Nepal;;;59,4;Table 6 Urban population, proportion of urban population living in slum area and urban slum population;Slum dwellers
2007;;slum_proportion_living_urban;"Slum proportion living in urban area""s";p;;;Pakistan;;;47,0;Table 6 Urban population, proportion of urban population living in slum area and urban slum population;Slum dwellers
2007;;slum_proportion_living_urban;"Slum proportion living in urban area""s";p;;;Cambodia;;; ;Table 6 Urban population, proportion of urban population living in slum area and urban slum population;Slum dwellers
2007;;slum_proportion_living_urban;"Slum proportion living in urban area""s";p;;;Indonesia;;;23,0;Table 6 Urban population, proportion of urban population living in slum area and urban slum population;Slum dwellers
2007;;slum_proportion_living_urban;"Slum proportion living in urban area""s";p;;;Lao People's Democratic Republic;;; ;Table 6 Urban population, proportion of urban population living in slum area and urban slum population;Slum dwellers
2007;;slum_proportion_living_urban;"Slum proportion living in urban area""s";p;;;Myanmar;;; ;Table 6 Urban population, proportion of urban population living in slum area and urban slum population;Slum dwellers
2007;;slum_proportion_living_urban;"Slum proportion living in urban area""s";p;;;Philippines;;;42,3;Table 6 Urban population, proportion of urban population living in slum area and urban slum population;Slum dwellers
2007;;slum_proportion_living_urban;"Slum proportion living in urban area""s";p;;;Thailand;;;26,5;Table 6 Urban population, proportion of urban population living in slum area and urban slum population;Slum dwellers
2007;;slum_proportion_living_urban;"Slum proportion living in urban area""s";p;;;Viet Nam;;;38,3;Table 6 Urban population, proportion of urban population living in slum area and urban slum population;Slum dwellers
2007;;slum_proportion_living_urban;"Slum proportion living in urban area""s";p;;;Iraq;;;52,8;Table 6 Urban population, proportion of urban population living in slum area and urban slum population;Slum dwellers
2007;;slum_proportion_living_urban;"Slum proportion living in urban area""s";p;;;Jordan;;;17,7;Table 6 Urban population, proportion of urban population living in slum area and urban slum population;Slum dwellers
2007;;slum_proportion_living_urban;"Slum proportion living in urban area""s";p;;;Lebanon;;; ;Table 6 Urban population, proportion of urban population living in slum area and urban slum population;Slum dwellers
2007;;slum_proportion_living_urban;"Slum proportion living in urban area""s";p;;;Saudi Arabia;;; ;Table 6 Urban population, proportion of urban population living in slum area and urban slum population;Slum dwellers
2007;;slum_proportion_living_urban;"Slum proportion living in urban area""s";p;;;Syrian Arab Republic;;;22,5;Table 6 Urban population, proportion of urban population living in slum area and urban slum population;Slum dwellers
