"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
1990;;"urban_population_living_in_slum";"Proportion of urban population living in slums";"p";"Total";;"Angola";;;;"Table 6: URBAN POPULATION, PROPORTION OF URBAN POPULATION LIVING IN SLUM AREA AND URBAN SLUM POPULATION";"Slum dwellers"
1990;;"urban_population_living_in_slum";"Proportion of urban population living in slums";"p";"Total";;"Benin";;;"79.3";"Table 6: URBAN POPULATION, PROPORTION OF URBAN POPULATION LIVING IN SLUM AREA AND URBAN SLUM POPULATION";"Slum dwellers"
1990;;"urban_population_living_in_slum";"Proportion of urban population living in slums";"p";"Total";;"Burkina Faso";;;"78.8";"Table 6: URBAN POPULATION, PROPORTION OF URBAN POPULATION LIVING IN SLUM AREA AND URBAN SLUM POPULATION";"Slum dwellers"
1990;;"urban_population_living_in_slum";"Proportion of urban population living in slums";"p";"Total";;"Burundi";;;;"Table 6: URBAN POPULATION, PROPORTION OF URBAN POPULATION LIVING IN SLUM AREA AND URBAN SLUM POPULATION";"Slum dwellers"
1990;;"urban_population_living_in_slum";"Proportion of urban population living in slums";"p";"Total";;"Cameroon";;;"50.8";"Table 6: URBAN POPULATION, PROPORTION OF URBAN POPULATION LIVING IN SLUM AREA AND URBAN SLUM POPULATION";"Slum dwellers"
1990;;"urban_population_living_in_slum";"Proportion of urban population living in slums";"p";"Total";;"Central African Republic";;;"87.5";"Table 6: URBAN POPULATION, PROPORTION OF URBAN POPULATION LIVING IN SLUM AREA AND URBAN SLUM POPULATION";"Slum dwellers"
1990;;"urban_population_living_in_slum";"Proportion of urban population living in slums";"p";"Total";;"Chad";;;"98.9";"Table 6: URBAN POPULATION, PROPORTION OF URBAN POPULATION LIVING IN SLUM AREA AND URBAN SLUM POPULATION";"Slum dwellers"
1990;;"urban_population_living_in_slum";"Proportion of urban population living in slums";"p";"Total";;"Comoros";;;"65.4";"Table 6: URBAN POPULATION, PROPORTION OF URBAN POPULATION LIVING IN SLUM AREA AND URBAN SLUM POPULATION";"Slum dwellers"
1990;;"urban_population_living_in_slum";"Proportion of urban population living in slums";"p";"Total";;"Congo";;;;"Table 6: URBAN POPULATION, PROPORTION OF URBAN POPULATION LIVING IN SLUM AREA AND URBAN SLUM POPULATION";"Slum dwellers"
1990;;"urban_population_living_in_slum";"Proportion of urban population living in slums";"p";"Total";;"Côte d’Ivoire";;;"53.4";"Table 6: URBAN POPULATION, PROPORTION OF URBAN POPULATION LIVING IN SLUM AREA AND URBAN SLUM POPULATION";"Slum dwellers"
1990;;"urban_population_living_in_slum";"Proportion of urban population living in slums";"p";"Total";;"Democratic Republic of the Congo";;;;"Table 6: URBAN POPULATION, PROPORTION OF URBAN POPULATION LIVING IN SLUM AREA AND URBAN SLUM POPULATION";"Slum dwellers"
1990;;"urban_population_living_in_slum";"Proportion of urban population living in slums";"p";"Total";;"Egypt";;;"50.2";"Table 6: URBAN POPULATION, PROPORTION OF URBAN POPULATION LIVING IN SLUM AREA AND URBAN SLUM POPULATION";"Slum dwellers"
1990;;"urban_population_living_in_slum";"Proportion of urban population living in slums";"p";"Total";;"Equatorial Guinea";;;;"Table 6: URBAN POPULATION, PROPORTION OF URBAN POPULATION LIVING IN SLUM AREA AND URBAN SLUM POPULATION";"Slum dwellers"
1990;;"urban_population_living_in_slum";"Proportion of urban population living in slums";"p";"Total";;"Ethiopia";;;"95.5";"Table 6: URBAN POPULATION, PROPORTION OF URBAN POPULATION LIVING IN SLUM AREA AND URBAN SLUM POPULATION";"Slum dwellers"
1990;;"urban_population_living_in_slum";"Proportion of urban population living in slums";"p";"Total";;"Gabon";;;;"Table 6: URBAN POPULATION, PROPORTION OF URBAN POPULATION LIVING IN SLUM AREA AND URBAN SLUM POPULATION";"Slum dwellers"
