"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
2003;;"proportion_urban_population_sufficient_living_area_cities";"Proportion of urban population with sufficient living area – Cities";"p";"Total";;"AFRDZA019001";"Setif";;94.7;"UNHABITAT_DHS";"Population"
2003;;"proportion_urban_population_sufficient_living_area_cities";"Proportion of urban population with sufficient living area – Cities";"p";"Total";;"AFRDZA012001";"Tebessa";;96.7;"UNHABITAT_DHS";"Population"
2003;;"proportion_urban_population_sufficient_living_area_cities";"Proportion of urban population with sufficient living area – Cities";"p";"Total";;"AFRAGO004";"Luanda";;79.3;"UNHABITAT_DHS";"Population"
2000;;"proportion_urban_population_sufficient_living_area_cities";"Proportion of urban population with sufficient living area – Cities";"p";"Total";;"AFRAGO004";"Luanda";;58.4;"UNHABITAT_DHS";"Population"
2003;;"proportion_urban_population_sufficient_living_area_cities";"Proportion of urban population with sufficient living area – Cities";"p";"Total";;"ASIARM018015";"ASIARM018015";;87.8;"UNHABITAT_DHS";"Population"
2005;;"proportion_urban_population_sufficient_living_area_cities";"Proportion of urban population with sufficient living area – Cities";"p";"Total";;"ASIARM018015";"ASIARM018015";;90.7;"UNHABITAT_DHS";"Population"
2003;;"proportion_urban_population_sufficient_living_area_cities";"Proportion of urban population with sufficient living area – Cities";"p";"Total";;"ASIAZE011001";"Baku";;88.8;"UNHABITAT_DHS";"Population"
1994;;"proportion_urban_population_sufficient_living_area_cities";"Proportion of urban population with sufficient living area – Cities";"p";"Total";;"ASIBGD003001";"Dhaka";;59.8;"UNHABITAT_DHS";"Population"
1994;;"proportion_urban_population_sufficient_living_area_cities";"Proportion of urban population with sufficient living area – Cities";"p";"Total";;"ASIBGD006013";"Rajshahi";;81.8;"UNHABITAT_DHS";"Population"
2003;;"proportion_urban_population_sufficient_living_area_cities";"Proportion of urban population with sufficient living area – Cities";"p";"Total";;"ASIBGD003001";"Dhaka";;73.3;"UNHABITAT_DHS";"Population"
2003;;"proportion_urban_population_sufficient_living_area_cities";"Proportion of urban population with sufficient living area – Cities";"p";"Total";;"ASIBGD006013";"Rajshahi";;78.9;"UNHABITAT_DHS";"Population"
2004;;"proportion_urban_population_sufficient_living_area_cities";"Proportion of urban population with sufficient living area – Cities";"p";"Total";;"ASIBGD003001";"Dhaka";;65.4;"UNHABITAT_DHS";"Population"
2004;;"proportion_urban_population_sufficient_living_area_cities";"Proportion of urban population with sufficient living area – Cities";"p";"Total";;"ASIBGD006013";"Rajshahi";;66.6;"UNHABITAT_DHS";"Population"
2006;;"proportion_urban_population_sufficient_living_area_cities";"Proportion of urban population with sufficient living area – Cities";"p";"Total";;"ASIBGD003001";"Dhaka";;42.8;"UNHABITAT_DHS";"Population"
2006;;"proportion_urban_population_sufficient_living_area_cities";"Proportion of urban population with sufficient living area – Cities";"p";"Total";;"ASIBGD006013";"Rajshahi";;53.8;"UNHABITAT_DHS";"Population"
1990;;"proportion_urban_population_sufficient_living_area_cities";"Proportion of urban population with sufficient living area – Cities";"p";"Total";;"AFRBEN_07_03";"Djougou";;81;"UNHABITAT_DHS";"Population"
1990;;"proportion_urban_population_sufficient_living_area_cities";"Proportion of urban population with sufficient living area – Cities";"p";"Total";;"AFRBEN_10_08";"Porto Novo";;80.2;"UNHABITAT_DHS";"Population"
1993;;"proportion_urban_population_sufficient_living_area_cities";"Proportion of urban population with sufficient living area – Cities";"p";"Total";;"AFRBEN_07_03";"Djougou";;81;"UNHABITAT_DHS";"Population"
1993;;"proportion_urban_population_sufficient_living_area_cities";"Proportion of urban population with sufficient living area – Cities";"p";"Total";;"AFRBEN_10_08";"Porto Novo";;80.2;"UNHABITAT_DHS";"Population"
1996;;"proportion_urban_population_sufficient_living_area_cities";"Proportion of urban population with sufficient living area – Cities";"p";"Total";;"AFRBEN_07_03";"Djougou";;79.7;"UNHABITAT_DHS";"Population"
1996;;"proportion_urban_population_sufficient_living_area_cities";"Proportion of urban population with sufficient living area – Cities";"p";"Total";;"AFRBEN_10_08";"Porto Novo";;78.6;"UNHABITAT_DHS";"Population"
1998;;"proportion_urban_population_sufficient_living_area_cities";"Proportion of urban population with sufficient living area – Cities";"p";"Total";;"AFRBEN_07_03";"Djougou";;81;"UNHABITAT_DHS";"Population"
1998;;"proportion_urban_population_sufficient_living_area_cities";"Proportion of urban population with sufficient living area – Cities";"p";"Total";;"AFRBEN_10_08";"Porto Novo";;80.2;"UNHABITAT_DHS";"Population"
2000;;"proportion_urban_population_sufficient_living_area_cities";"Proportion of urban population with sufficient living area – Cities";"p";"Total";;"AFRBEN_07_03";"Djougou";;81;"UNHABITAT_DHS";"Population"
2000;;"proportion_urban_population_sufficient_living_area_cities";"Proportion of urban population with sufficient living area – Cities";"p";"Total";;"AFRBEN_10_08";"Porto Novo";;80.2;"UNHABITAT_DHS";"Population"
2003;;"proportion_urban_population_sufficient_living_area_cities";"Proportion of urban population with sufficient living area – Cities";"p";"Total";;"AFRBEN_07_03";"Djougou";;46.5;"UNHABITAT_DHS";"Population"
2003;;"proportion_urban_population_sufficient_living_area_cities";"Proportion of urban population with sufficient living area – Cities";"p";"Total";;"AFRBEN_10_08";"Porto Novo";;64.5;"UNHABITAT_DHS";"Population"
2006;;"proportion_urban_population_sufficient_living_area_cities";"Proportion of urban population with sufficient living area – Cities";"p";"Total";;"AFRBEN_07_03";"Djougou";;75.8;"UNHABITAT_DHS";"Population"
2006;;"proportion_urban_population_sufficient_living_area_cities";"Proportion of urban population with sufficient living area – Cities";"p";"Total";;"AFRBEN_10_08";"Porto Novo";;73;"UNHABITAT_DHS";"Population"
2003;;"proportion_urban_population_sufficient_living_area_cities";"Proportion of urban population with sufficient living area – Cities";"p";"Total";;"LACCHL013005";"Santiago";;44.1;"UNHABITAT_DHS";"Population"
