"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
1996;;"proportion_urban_population_sufficient_living_area";"Proportion of urban population with sufficient living area – Countries";"p";"Total";;"Benin";;;"80.3";"UNHABITAT_DHS";"Slum dwellers"
2006;;"proportion_urban_population_sufficient_living_area";"Proportion of urban population with sufficient living area – Countries";"p";"Total";;"Benin";;;"77.6";"UNHABITAT_DHS";"Slum dwellers"
1992;;"proportion_urban_population_sufficient_living_area";"Proportion of urban population with sufficient living area – Countries";"p";"Total";;"Burkina Faso";;;"81.1";"UNHABITAT_DHS";"Slum dwellers"
1999;;"proportion_urban_population_sufficient_living_area";"Proportion of urban population with sufficient living area – Countries";"p";"Total";;"Burkina Faso";;;"83.4";"UNHABITAT_DHS";"Slum dwellers"
1991;;"proportion_urban_population_sufficient_living_area";"Proportion of urban population with sufficient living area – Countries";"p";"Total";;"Cameroon";;;84;"UNHABITAT_DHS";"Slum dwellers"
1998;;"proportion_urban_population_sufficient_living_area";"Proportion of urban population with sufficient living area – Countries";"p";"Total";;"Cameroon";;;"88.4";"UNHABITAT_DHS";"Slum dwellers"
2004;;"proportion_urban_population_sufficient_living_area";"Proportion of urban population with sufficient living area – Countries";"p";"Total";;"Cameroon";;;"87.7";"UNHABITAT_DHS";"Slum dwellers"
1994;;"proportion_urban_population_sufficient_living_area";"Proportion of urban population with sufficient living area – Countries";"p";"Total";;"Central African Republic";;;85;"UNHABITAT_DHS";"Slum dwellers"
1997;;"proportion_urban_population_sufficient_living_area";"Proportion of urban population with sufficient living area – Countries";"p";"Total";;"Chad";;;"67.4";"UNHABITAT_DHS";"Slum dwellers"
2004;;"proportion_urban_population_sufficient_living_area";"Proportion of urban population with sufficient living area – Countries";"p";"Total";;"Chad";;;"70.7";"UNHABITAT_DHS";"Slum dwellers"
1996;;"proportion_urban_population_sufficient_living_area";"Proportion of urban population with sufficient living area – Countries";"p";"Total";;"Comoros";;;"72.6";"UNHABITAT_DHS";"Slum dwellers"
1994;;"proportion_urban_population_sufficient_living_area";"Proportion of urban population with sufficient living area – Countries";"p";"Total";;"Côte d’Ivoire";;;70;"UNHABITAT_DHS";"Slum dwellers"
