"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
2000;;"protected_well";"Access to protected well";"p";;;"AL";;;"1.4";"Urban numbers 1.0 data";"Slum dwellers"
2005;;"protected_well";"Access to protected well";"p";;;"AL";;;"1.2";"Urban numbers 1.0 data";"Slum dwellers"
2005;;"protected_well";"Access to protected well";"p";;;"AM";;;"0.2";"Urban numbers 1.0 data";"Slum dwellers"
2006;;"protected_well";"Access to protected well";"p";;;"AZ";;;"3.3";"Urban numbers 1.0 data";"Slum dwellers"
2000;;"protected_well";"Access to protected well";"p";;;"AZ";;;"2.3";"Urban numbers 1.0 data";"Slum dwellers"
2006;;"protected_well";"Access to protected well";"p";;;"BA";;;"0.7";"Urban numbers 1.0 data";"Slum dwellers"
2006;;"protected_well";"Access to protected well";"p";;;"BD";;;"0.2";"Urban numbers 1.0 data";"Slum dwellers"
2003;;"protected_well";"Access to protected well";"p";;;"BF";;;"5.4";"Urban numbers 1.0 data";"Slum dwellers"
2005;;"protected_well";"Access to protected well";"p";;;"BI";;;"0.1";"Urban numbers 1.0 data";"Slum dwellers"
1996;;"protected_well";"Access to protected well";"p";;;"BJ";;;"7.5";"Urban numbers 1.0 data";"Slum dwellers"
2001;;"protected_well";"Access to protected well";"p";;;"BJ";;;5;"Urban numbers 1.0 data";"Slum dwellers"
2006;;"protected_well";"Access to protected well";"p";;;"BJ";;;"6.5";"Urban numbers 1.0 data";"Slum dwellers"
2005;;"protected_well";"Access to protected well";"p";;;"BY";;;"2.9";"Urban numbers 1.0 data";"Slum dwellers"
2006;;"protected_well";"Access to protected well";"p";;;"BZ";;;"0.3";"Urban numbers 1.0 data";"Slum dwellers"
2005;;"protected_well";"Access to protected well";"p";;;"CI";;;"7.7";"Urban numbers 1.0 data";"Slum dwellers"
2006;;"protected_well";"Access to protected well";"p";;;"CM";;;"4.1";"Urban numbers 1.0 data";"Slum dwellers"
2004;;"protected_well";"Access to protected well";"p";;;"CM";;;"4.1";"Urban numbers 1.0 data";"Slum dwellers"
2005;;"protected_well";"Access to protected well";"p";;;"EG";;;"0.1";"Urban numbers 1.0 data";"Slum dwellers"
2000;;"protected_well";"Access to protected well";"p";;;"EG";;;"0.3";"Urban numbers 1.0 data";"Slum dwellers"
2003;;"protected_well";"Access to protected well";"p";;;"EG";;;"0.2";"Urban numbers 1.0 data";"Slum dwellers"
2005;;"protected_well";"Access to protected well";"p";;;"ET";;;"1.2";"Urban numbers 1.0 data";"Slum dwellers"
2000;;"protected_well";"Access to protected well";"p";;;"ET";;;"2.1";"Urban numbers 1.0 data";"Slum dwellers"
2000;;"protected_well";"Access to protected well";"p";;;"GA";;;"0.8";"Urban numbers 1.0 data";"Slum dwellers"
2005;;"protected_well";"Access to protected well";"p";;;"GE";;;"5.5";"Urban numbers 1.0 data";"Slum dwellers"
2006;;"protected_well";"Access to protected well";"p";;;"GH";;;"5.8";"Urban numbers 1.0 data";"Slum dwellers"
2003;;"protected_well";"Access to protected well";"p";;;"GH";;;"10.1";"Urban numbers 1.0 data";"Slum dwellers"
2005;;"protected_well";"Access to protected well";"p";;;"GM";;;"1.4";"Urban numbers 1.0 data";"Slum dwellers"
2005;;"protected_well";"Access to protected well";"p";;;"GN";;;"19.2";"Urban numbers 1.0 data";"Slum dwellers"
2006;;"protected_well";"Access to protected well";"p";;;"GY";;;"0.3";"Urban numbers 1.0 data";"Slum dwellers"
2000;;"protected_well";"Access to protected well";"p";;;"HT";;;"4.2";"Urban numbers 1.0 data";"Slum dwellers"
2006;;"protected_well";"Access to protected well";"p";;;"HT";;;"6.8";"Urban numbers 1.0 data";"Slum dwellers"
2007;;"protected_well";"Access to protected well";"p";;;"ID";;;"37.3";"Urban numbers 1.0 data";"Slum dwellers"
1994;;"protected_well";"Access to protected well";"p";;;"ID";;;"32.8";"Urban numbers 1.0 data";"Slum dwellers"
1997;;"protected_well";"Access to protected well";"p";;;"ID";;;"25.7";"Urban numbers 1.0 data";"Slum dwellers"
2002;;"protected_well";"Access to protected well";"p";;;"ID";;;"42.8";"Urban numbers 1.0 data";"Slum dwellers"
1998;;"protected_well";"Access to protected well";"p";;;"IN";;;"0.3";"Urban numbers 1.0 data";"Slum dwellers"
2006;;"protected_well";"Access to protected well";"p";;;"IN";;;"1.8";"Urban numbers 1.0 data";"Slum dwellers"
2006;;"protected_well";"Access to protected well";"p";;;"IQ";;;"0.5";"Urban numbers 1.0 data";"Slum dwellers"
2003;;"protected_well";"Access to protected well";"p";;;"KE";;;6;"Urban numbers 1.0 data";"Slum dwellers"
2005;;"protected_well";"Access to protected well";"p";;;"KH";;;"4.1";"Urban numbers 1.0 data";"Slum dwellers"
2000;;"protected_well";"Access to protected well";"p";;;"KH";;;"14.9";"Urban numbers 1.0 data";"Slum dwellers"
2006;;"protected_well";"Access to protected well";"p";;;"KZ";;;"2.8";"Urban numbers 1.0 data";"Slum dwellers"
2007;;"protected_well";"Access to protected well";"p";;;"LR";;;"59.6";"Urban numbers 1.0 data";"Slum dwellers"
2004;;"protected_well";"Access to protected well";"p";;;"LS";;;"4.9";"Urban numbers 1.0 data";"Slum dwellers"
2004;;"protected_well";"Access to protected well";"p";;;"MA";;;"0.8";"Urban numbers 1.0 data";"Slum dwellers"
2005;;"protected_well";"Access to protected well";"p";;;"MD";;;"16.3";"Urban numbers 1.0 data";"Slum dwellers"
2003;;"protected_well";"Access to protected well";"p";;;"MG";;;"9.4";"Urban numbers 1.0 data";"Slum dwellers"
2005;;"protected_well";"Access to protected well";"p";;;"MK";;;"0.3";"Urban numbers 1.0 data";"Slum dwellers"
2001;;"protected_well";"Access to protected well";"p";;;"ML";;;"11.5";"Urban numbers 1.0 data";"Slum dwellers"
2006;;"protected_well";"Access to protected well";"p";;;"ML";;;"9.8";"Urban numbers 1.0 data";"Slum dwellers"
