"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
2000;;"public_tap_pump_borehole";"Access to public tap/pump/borehole";"p";;;"AL";;;04/01/14;"Urban numbers 1.0 data";"Slum dwellers"
2005;;"public_tap_pump_borehole";"Access to public tap/pump/borehole";"p";;;"AL";;;04/01/14;"Urban numbers 1.0 data";"Slum dwellers"
2000;;"public_tap_pump_borehole";"Access to public tap/pump/borehole";"p";;;"AM";;;04/01/14;"Urban numbers 1.0 data";"Slum dwellers"
2005;;"public_tap_pump_borehole";"Access to public tap/pump/borehole";"p";;;"AM";;;06/01/14;"Urban numbers 1.0 data";"Slum dwellers"
2006;;"public_tap_pump_borehole";"Access to public tap/pump/borehole";"p";;;"AZ";;;09/01/14;"Urban numbers 1.0 data";"Slum dwellers"
2000;;"public_tap_pump_borehole";"Access to public tap/pump/borehole";"p";;;"AZ";;;09/09/14;"Urban numbers 1.0 data";"Slum dwellers"
2006;;"public_tap_pump_borehole";"Access to public tap/pump/borehole";"p";;;"BA";;;2;"Urban numbers 1.0 data";"Slum dwellers"
2006;;"public_tap_pump_borehole";"Access to public tap/pump/borehole";"p";;;"BD";;;03/03/14;"Urban numbers 1.0 data";"Slum dwellers"
1992;;"public_tap_pump_borehole";"Access to public tap/pump/borehole";"p";;;"BF";;;"40.2";"Urban numbers 1.0 data";"Slum dwellers"
1999;;"public_tap_pump_borehole";"Access to public tap/pump/borehole";"p";;;"BF";;;"47.7";"Urban numbers 1.0 data";"Slum dwellers"
2003;;"public_tap_pump_borehole";"Access to public tap/pump/borehole";"p";;;"BF";;;56;"Urban numbers 1.0 data";"Slum dwellers"
2005;;"public_tap_pump_borehole";"Access to public tap/pump/borehole";"p";;;"BI";;;06/24/14;"Urban numbers 1.0 data";"Slum dwellers"
1996;;"public_tap_pump_borehole";"Access to public tap/pump/borehole";"p";;;"BJ";;;03/02/14;"Urban numbers 1.0 data";"Slum dwellers"
2001;;"public_tap_pump_borehole";"Access to public tap/pump/borehole";"p";;;"BJ";;;09/04/14;"Urban numbers 1.0 data";"Slum dwellers"
2006;;"public_tap_pump_borehole";"Access to public tap/pump/borehole";"p";;;"BJ";;;02/05/14;"Urban numbers 1.0 data";"Slum dwellers"
1991;;"public_tap_pump_borehole";"Access to public tap/pump/borehole";"p";;;"BR";;;05/05/14;"Urban numbers 1.0 data";"Slum dwellers"
2005;;"public_tap_pump_borehole";"Access to public tap/pump/borehole";"p";;;"BY";;;09/03/14;"Urban numbers 1.0 data";"Slum dwellers"
2006;;"public_tap_pump_borehole";"Access to public tap/pump/borehole";"p";;;"BZ";;;"0.5";"Urban numbers 1.0 data";"Slum dwellers"
1999;;"public_tap_pump_borehole";"Access to public tap/pump/borehole";"p";;;"CD";;;"0.3";"Urban numbers 1.0 data";"Slum dwellers"
2005;;"public_tap_pump_borehole";"Access to public tap/pump/borehole";"p";;;"CI";;;06/10/14;"Urban numbers 1.0 data";"Slum dwellers"
1994;;"public_tap_pump_borehole";"Access to public tap/pump/borehole";"p";;;"CI";;;03/27/14;"Urban numbers 1.0 data";"Slum dwellers"
1998;;"public_tap_pump_borehole";"Access to public tap/pump/borehole";"p";;;"CI";;;09/19/14;"Urban numbers 1.0 data";"Slum dwellers"
2006;;"public_tap_pump_borehole";"Access to public tap/pump/borehole";"p";;;"CM";;;29;"Urban numbers 1.0 data";"Slum dwellers"
1991;;"public_tap_pump_borehole";"Access to public tap/pump/borehole";"p";;;"CM";;;"34.8";"Urban numbers 1.0 data";"Slum dwellers"
1998;;"public_tap_pump_borehole";"Access to public tap/pump/borehole";"p";;;"CM";;;"37.5";"Urban numbers 1.0 data";"Slum dwellers"
2004;;"public_tap_pump_borehole";"Access to public tap/pump/borehole";"p";;;"CM";;;"34.6";"Urban numbers 1.0 data";"Slum dwellers"
2000;;"public_tap_pump_borehole";"Access to public tap/pump/borehole";"p";;;"CO";;;"0.1";"Urban numbers 1.0 data";"Slum dwellers"
1995;;"public_tap_pump_borehole";"Access to public tap/pump/borehole";"p";;;"CO";;;"0.5";"Urban numbers 1.0 data";"Slum dwellers"
1990;;"public_tap_pump_borehole";"Access to public tap/pump/borehole";"p";;;"CO";;;"0.2";"Urban numbers 1.0 data";"Slum dwellers"
2005;;"public_tap_pump_borehole";"Access to public tap/pump/borehole";"p";;;"CO";;;"0.1";"Urban numbers 1.0 data";"Slum dwellers"
2005;;"public_tap_pump_borehole";"Access to public tap/pump/borehole";"p";;;"EG";;;"0.9";"Urban numbers 1.0 data";"Slum dwellers"
2000;;"public_tap_pump_borehole";"Access to public tap/pump/borehole";"p";;;"EG";;;2;"Urban numbers 1.0 data";"Slum dwellers"
1995;;"public_tap_pump_borehole";"Access to public tap/pump/borehole";"p";;;"EG";;;01/04/14;"Urban numbers 1.0 data";"Slum dwellers"
1992;;"public_tap_pump_borehole";"Access to public tap/pump/borehole";"p";;;"EG";;;09/05/14;"Urban numbers 1.0 data";"Slum dwellers"
2003;;"public_tap_pump_borehole";"Access to public tap/pump/borehole";"p";;;"EG";;;02/01/14;"Urban numbers 1.0 data";"Slum dwellers"
2005;;"public_tap_pump_borehole";"Access to public tap/pump/borehole";"p";;;"ET";;;"42.6";"Urban numbers 1.0 data";"Slum dwellers"
