year;year_range;indicator_id;friendly_name;type_data;selection_type;deprivation_type;country;city;region;value;description;category
2013;;cpi_quality_of_live_index;Quality of Life Index (QI);index;;;United Kingdom;London;;0.898;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_quality_of_live_index;Quality of Life Index (QI);index;;;Japan;Tokyo ;;0.931;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_quality_of_live_index;Quality of Life Index (QI);index;;;Finland;Helsinki ;;0.905;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_quality_of_live_index;Quality of Life Index (QI);index;;;Netherlands;Amsterdam ;;0.872;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_quality_of_live_index;Quality of Life Index (QI);index;;;France;Paris ;;0.925;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_quality_of_live_index;Quality of Life Index (QI);index;;;Canada;Toronto;;0.907;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_quality_of_live_index;Quality of Life Index (QI);index;;;Spain;Barcelona ;;0.912;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_quality_of_live_index;Quality of Life Index (QI);index;;;Greece;Athens ;;0.885;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_quality_of_live_index;Quality of Life Index (QI);index;;;Denmark;Copenhagen ;;0.871;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_quality_of_live_index;Quality of Life Index (QI);index;;;Belgium;Brussels ;;0.864;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
2013;;cpi_quality_of_live_index;Quality of Life Index (QI);index;;;United States of America;New York;;0.866;Table 3: Composite Street Connectivity Index (CSCI) and City Prosperity Index (CPI);City prosperity
