"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
2006;;"rainwater";"Access to rainwater";"p";;;"BA";;;"0.5";"Urban numbers 1.0 data";"Slum dwellers"
1996;;"rainwater";"Access to rainwater";"p";;;"BJ";;;3;"Urban numbers 1.0 data";"Slum dwellers"
2001;;"rainwater";"Access to rainwater";"p";;;"BJ";;;"0.8";"Urban numbers 1.0 data";"Slum dwellers"
2006;;"rainwater";"Access to rainwater";"p";;;"BJ";;;"1.9";"Urban numbers 1.0 data";"Slum dwellers"
1991;;"rainwater";"Access to rainwater";"p";;;"BR";;;"1.4";"Urban numbers 1.0 data";"Slum dwellers"
2006;;"rainwater";"Access to rainwater";"p";;;"BZ";;;"11.8";"Urban numbers 1.0 data";"Slum dwellers"
2007;;"rainwater";"Access to rainwater";"p";;;"CD";;;"2.3";"Urban numbers 1.0 data";"Slum dwellers"
1991;;"rainwater";"Access to rainwater";"p";;;"CD";;;"3.1";"Urban numbers 1.0 data";"Slum dwellers"
1996;;"rainwater";"Access to rainwater";"p";;;"CD";;;"3.1";"Urban numbers 1.0 data";"Slum dwellers"
1999;;"rainwater";"Access to rainwater";"p";;;"CD";;;"3.2";"Urban numbers 1.0 data";"Slum dwellers"
2002;;"rainwater";"Access to rainwater";"p";;;"CD";;;"3.7";"Urban numbers 1.0 data";"Slum dwellers"
1998;;"rainwater";"Access to rainwater";"p";;;"CI";;;"0.2";"Urban numbers 1.0 data";"Slum dwellers"
1991;;"rainwater";"Access to rainwater";"p";;;"CM";;;"0.1";"Urban numbers 1.0 data";"Slum dwellers"
2000;;"rainwater";"Access to rainwater";"p";;;"CO";;;"0.4";"Urban numbers 1.0 data";"Slum dwellers"
1995;;"rainwater";"Access to rainwater";"p";;;"CO";;;"0.3";"Urban numbers 1.0 data";"Slum dwellers"
1990;;"rainwater";"Access to rainwater";"p";;;"CO";;;"0.3";"Urban numbers 1.0 data";"Slum dwellers"
2005;;"rainwater";"Access to rainwater";"p";;;"CO";;;"1.5";"Urban numbers 1.0 data";"Slum dwellers"
2006;;"rainwater";"Access to rainwater";"p";;;"GH";;;"0.3";"Urban numbers 1.0 data";"Slum dwellers"
1993;;"rainwater";"Access to rainwater";"p";;;"GH";;;"0.7";"Urban numbers 1.0 data";"Slum dwellers"
1998;;"rainwater";"Access to rainwater";"p";;;"GH";;;"0.5";"Urban numbers 1.0 data";"Slum dwellers"
2003;;"rainwater";"Access to rainwater";"p";;;"GH";;;"0.5";"Urban numbers 1.0 data";"Slum dwellers"
1995;;"rainwater";"Access to rainwater";"p";;;"GT";;;"0.1";"Urban numbers 1.0 data";"Slum dwellers"
2005;;"rainwater";"Access to rainwater";"p";;;"GY";;;"16.4";"Urban numbers 1.0 data";"Slum dwellers"
2006;;"rainwater";"Access to rainwater";"p";;;"GY";;;"13.8";"Urban numbers 1.0 data";"Slum dwellers"
2000;;"rainwater";"Access to rainwater";"p";;;"HT";;;"0.3";"Urban numbers 1.0 data";"Slum dwellers"
1994;;"rainwater";"Access to rainwater";"p";;;"HT";;;"0.6";"Urban numbers 1.0 data";"Slum dwellers"
2006;;"rainwater";"Access to rainwater";"p";;;"HT";;;1;"Urban numbers 1.0 data";"Slum dwellers"
2007;;"rainwater";"Access to rainwater";"p";;;"ID";;;"1.8";"Urban numbers 1.0 data";"Slum dwellers"
1991;;"rainwater";"Access to rainwater";"p";;;"ID";;;"1.2";"Urban numbers 1.0 data";"Slum dwellers"
1994;;"rainwater";"Access to rainwater";"p";;;"ID";;;"1.1";"Urban numbers 1.0 data";"Slum dwellers"
1997;;"rainwater";"Access to rainwater";"p";;;"ID";;;"0.9";"Urban numbers 1.0 data";"Slum dwellers"
2002;;"rainwater";"Access to rainwater";"p";;;"ID";;;"1.2";"Urban numbers 1.0 data";"Slum dwellers"
2005;;"rainwater";"Access to rainwater";"p";;;"JM";;;8;"Urban numbers 1.0 data";"Slum dwellers"
2007;;"rainwater";"Access to rainwater";"p";;;"JO";;;"4.2";"Urban numbers 1.0 data";"Slum dwellers"
1997;;"rainwater";"Access to rainwater";"p";;;"JO";;;"0.3";"Urban numbers 1.0 data";"Slum dwellers"
