"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
2001;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Albania";;;17.72;"UNODC, 2002_ UNODC_2005";"Crime"
2002;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Albania";;;17.59;"UNODC, 2002_ UNODC_2005";"Crime"
2001;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Argentina";;;509.94;"UNODC, 2002_ UNODC_2005";"Crime"
2002;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Argentina";;;509.79;"UNODC, 2002_ UNODC_2005";"Crime"
1999;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Australia";;;74.23;"UNODC, 2002_ UNODC_2005";"Crime"
2000;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Australia";;;81.41;"UNODC, 2002_ UNODC_2005";"Crime"
2001;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Austria";;;371.05;"UNODC, 2002_ UNODC_2005";"Crime"
2002;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Austria";;;392.35;"UNODC, 2002_ UNODC_2005";"Crime"
2001;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Azerbaijan";;;2.44;"UNODC, 2002_ UNODC_2005";"Crime"
2002;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Azerbaijan";;;2.12;"UNODC, 2002_ UNODC_2005";"Crime"
1999;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Barbados";;;561.86;"UNODC, 2002_ UNODC_2005";"Crime"
2000;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Barbados";;;576.78;"UNODC, 2002_ UNODC_2005";"Crime"
2001;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Belarus";;;19.86;"UNODC, 2002_ UNODC_2005";"Crime"
2002;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Belarus";;;21.32;"UNODC, 2002_ UNODC_2005";"Crime"
2001;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Belgium";;;580.64;"UNODC, 2002_ UNODC_2005";"Crime"
2002;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Belgium";;;597.65;"UNODC, 2002_ UNODC_2005";"Crime"
2001;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Bolivia";;;57.26;"UNODC, 2002_ UNODC_2005";"Crime"
2002;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Bolivia";;;52.71;"UNODC, 2002_ UNODC_2005";"Crime"
1998;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Bulgaria";;;40.66;"UNODC, 2002_ UNODC_2005";"Crime"
1999;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Bulgaria";;;40.08;"UNODC, 2002_ UNODC_2005";"Crime"
2000;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Bulgaria";;;37.76;"UNODC, 2002_ UNODC_2005";"Crime"
2001;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Canada";;;762.36;"UNODC, 2002_ UNODC_2005";"Crime"
2002;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Canada";;;750.18;"UNODC, 2002_ UNODC_2005";"Crime"
2001;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Chile";;;278.27;"UNODC, 2002_ UNODC_2005";"Crime"
2002;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Chile";;;356.5;"UNODC, 2002_ UNODC_2005";"Crime"
1999;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"China";;;7.42;"UNODC, 2002_ UNODC_2005";"Crime"
2000;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"China";;;9.59;"UNODC, 2002_ UNODC_2005";"Crime"
1999;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Hong Kong SAR";;;119.21;"UNODC, 2002_ UNODC_2005";"Crime"
2000;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Hong Kong SAR";;;109.61;"UNODC, 2002_ UNODC_2005";"Crime"
1999;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Comoros";;;64.55;"UNODC, 2002_ UNODC_2005";"Crime"
2000;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Comoros";;;59.62;"UNODC, 2002_ UNODC_2005";"Crime"
2001;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Costa Rica";;;57.99;"UNODC, 2002_ UNODC_2005";"Crime"
2002;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Costa Rica";;;57.94;"UNODC, 2002_ UNODC_2005";"Crime"
2001;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Croatia";;;99.31;"UNODC, 2002_ UNODC_2005";"Crime"
2002;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Croatia";;;121.03;"UNODC, 2002_ UNODC_2005";"Crime"
2001;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Cyprus";;;146.25;"UNODC, 2002_ UNODC_2005";"Crime"
2002;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Cyprus";;;155.82;"UNODC, 2002_ UNODC_2005";"Crime"
2001;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Czech Republic";;;69.5;"UNODC, 2002_ UNODC_2005";"Crime"
2002;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Czech Republic";;;72.05;"UNODC, 2002_ UNODC_2005";"Crime"
2001;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Denmark";;;188.09;"UNODC, 2002_ UNODC_2005";"Crime"
2002;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Denmark";;;192.22;"UNODC, 2002_ UNODC_2005";"Crime"
2000;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Dominica";;;95.89;"UNODC, 2002_ UNODC_2005";"Crime"
2001;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"El Salvador";;;91.08;"UNODC, 2002_ UNODC_2005";"Crime"
2002;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"El Salvador";;;70.78;"UNODC, 2002_ UNODC_2005";"Crime"
1999;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Estonia";;;30;"UNODC, 2002_ UNODC_2005";"Crime"
2000;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Estonia";;;33.6;"UNODC, 2002_ UNODC_2005";"Crime"
2001;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Finland";;;526.77;"UNODC, 2002_ UNODC_2005";"Crime"
2002;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Finland";;;538.99;"UNODC, 2002_ UNODC_2005";"Crime"
1999;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"France";;;162.52;"UNODC, 2002_ UNODC_2005";"Crime"
2000;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"France";;;180.79;"UNODC, 2002_ UNODC_2005";"Crime"
1999;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Georgia";;;11.94;"UNODC, 2002_ UNODC_2005";"Crime"
2000;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Georgia";;;9.71;"UNODC, 2002_ UNODC_2005";"Crime"
2001;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Germany";;;146.17;"UNODC, 2002_ UNODC_2005";"Crime"
2002;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Germany";;;153.87;"UNODC, 2002_ UNODC_2005";"Crime"
1999;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Greece";;;68.25;"UNODC, 2002_ UNODC_2005";"Crime"
2000;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Greece";;;31.34;"UNODC, 2002_ UNODC_2005";"Crime"
1999;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Guatemala";;;42.38;"UNODC, 2002_ UNODC_2005";"Crime"
2000;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Guatemala";;;47.38;"UNODC, 2002_ UNODC_2005";"Crime"
2001;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Hungary";;;107.75;"UNODC, 2002_ UNODC_2005";"Crime"
2002;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Hungary";;;115.97;"UNODC, 2002_ UNODC_2005";"Crime"
2001;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Iceland";;;492.55;"UNODC, 2002_ UNODC_2005";"Crime"
2002;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Iceland";;;447.18;"UNODC, 2002_ UNODC_2005";"Crime"
1998;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"India";;;24.07;"UNODC, 2002_ UNODC_2005";"Crime"
1999;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"India";;;23.68;"UNODC, 2002_ UNODC_2005";"Crime"
1999;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Indonesia";;;7.96;"UNODC, 2002_ UNODC_2005";"Crime"
2000;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Indonesia";;;8.84;"UNODC, 2002_ UNODC_2005";"Crime"
1998;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Ireland";;;255.74;"UNODC, 2002_ UNODC_2005";"Crime"
1999;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Ireland";;;264.42;"UNODC, 2002_ UNODC_2005";"Crime"
2001;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Italy";;;53.19;"UNODC, 2002_ UNODC_2005";"Crime"
2002;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Italy";;;49.75;"UNODC, 2002_ UNODC_2005";"Crime"
1999;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Jamaica";;;443.17;"UNODC, 2002_ UNODC_2005";"Crime"
2000;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Jamaica";;;411.43;"UNODC, 2002_ UNODC_2005";"Crime"
2001;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Japan";;;40.06;"UNODC, 2002_ UNODC_2005";"Crime"
2002;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Japan";;;43.86;"UNODC, 2002_ UNODC_2005";"Crime"
2001;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Kuwait";;;98.55;"UNODC, 2002_ UNODC_2005";"Crime"
2002;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Kuwait";;;90.08;"UNODC, 2002_ UNODC_2005";"Crime"
1999;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Kyrgyzstan";;;4.28;"UNODC, 2002_ UNODC_2005";"Crime"
2000;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Kyrgyzstan";;;4.23;"UNODC, 2002_ UNODC_2005";"Crime"
2001;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Latvia";;;34.89;"UNODC, 2002_ UNODC_2005";"Crime"
2002;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Latvia";;;37.72;"UNODC, 2002_ UNODC_2005";"Crime"
2001;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Lithuania";;;39.78;"UNODC, 2002_ UNODC_2005";"Crime"
2002;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Lithuania";;;48.08;"UNODC, 2002_ UNODC_2005";"Crime"
2001;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Luxembourg";;;265.45;"UNODC, 2002_ UNODC_2005";"Crime"
2002;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Luxembourg";;;299.1;"UNODC, 2002_ UNODC_2005";"Crime"
2001;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Maldives";;;135.36;"UNODC, 2002_ UNODC_2005";"Crime"
2002;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Maldives";;;182.23;"UNODC, 2002_ UNODC_2005";"Crime"
2001;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Malta";;;189.11;"UNODC, 2002_ UNODC_2005";"Crime"
2002;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Malta";;;207.3;"UNODC, 2002_ UNODC_2005";"Crime"
1999;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Mauritius";;;972.58;"UNODC, 2002_ UNODC_2005";"Crime"
2000;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Mauritius";;;909.17;"UNODC, 2002_ UNODC_2005";"Crime"
2001;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Mexico";;;260.41;"UNODC, 2002_ UNODC_2005";"Crime"
2002;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Mexico";;;251.91;"UNODC, 2002_ UNODC_2005";"Crime"
2001;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Morocco";;;159.96;"UNODC, 2002_ UNODC_2005";"Crime"
2002;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Morocco";;;156.34;"UNODC, 2002_ UNODC_2005";"Crime"
2001;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Myanmar";;;18.09;"UNODC, 2002_ UNODC_2005";"Crime"
2002;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Myanmar";;;16.52;"UNODC, 2002_ UNODC_2005";"Crime"
2001;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Netherlands";;;303.55;"UNODC, 2002_ UNODC_2005";"Crime"
2002;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Netherlands";;;325.33;"UNODC, 2002_ UNODC_2005";"Crime"
2001;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"New Zealand";;;810.67;"UNODC, 2002_ UNODC_2005";"Crime"
2002;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"New Zealand";;;807.62;"UNODC, 2002_ UNODC_2005";"Crime"
1999;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Norway";;;294.15;"UNODC, 2002_ UNODC_2005";"Crime"
2000;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Norway";;;327.92;"UNODC, 2002_ UNODC_2005";"Crime"
2001;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Oman";;;32.45;"UNODC, 2002_ UNODC_2005";"Crime"
2002;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Oman";;;28.25;"UNODC, 2002_ UNODC_2005";"Crime"
1999;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Pakistan";;;0.14;"UNODC, 2002_ UNODC_2005";"Crime"
2000;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Pakistan";;;0.15;"UNODC, 2002_ UNODC_2005";"Crime"
2001;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Panama";;;105.35;"UNODC, 2002_ UNODC_2005";"Crime"
2002;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Panama";;;108.23;"UNODC, 2002_ UNODC_2005";"Crime"
1999;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Papua New Guinea";;;26.61;"UNODC, 2002_ UNODC_2005";"Crime"
2000;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Papua New Guinea";;;26.34;"UNODC, 2002_ UNODC_2005";"Crime"
2001;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Peru";;;110.66;"UNODC, 2002_ UNODC_2005";"Crime"
2002;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Peru";;;99.92;"UNODC, 2002_ UNODC_2005";"Crime"
2002;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Philippines";;;0.08;"UNODC, 2002_ UNODC_2005";"Crime"
2001;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Poland";;;81.1;"UNODC, 2002_ UNODC_2005";"Crime"
2002;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Poland";;;81;"UNODC, 2002_ UNODC_2005";"Crime"
2001;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Portugal";;;219.52;"UNODC, 2002_ UNODC_2005";"Crime"
2002;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Portugal";;;229.71;"UNODC, 2002_ UNODC_2005";"Crime"
1999;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Qatar";;;51.67;"UNODC, 2002_ UNODC_2005";"Crime"
2000;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Qatar";;;55.91;"UNODC, 2002_ UNODC_2005";"Crime"
1999;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Korea Rep";;;22.4;"UNODC, 2002_ UNODC_2005";"Crime"
2000;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Korea Rep";;;31.55;"UNODC, 2002_ UNODC_2005";"Crime"
2001;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Republic of Moldova";;;26.04;"UNODC, 2002_ UNODC_2005";"Crime"
2002;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Republic of Moldova";;;27.92;"UNODC, 2002_ UNODC_2005";"Crime"
2001;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Romania";;;58;"UNODC, 2002_ UNODC_2005";"Crime"
2002;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Romania";;;49.94;"UNODC, 2002_ UNODC_2005";"Crime"
2001;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Saudi Arabia";;;66.56;"UNODC, 2002_ UNODC_2005";"Crime"
2002;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Saudi Arabia";;;63.35;"UNODC, 2002_ UNODC_2005";"Crime"
1999;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Seychelles";;;910.91;"UNODC, 2002_ UNODC_2005";"Crime"
2000;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Seychelles";;;861.75;"UNODC, 2002_ UNODC_2005";"Crime"
1999;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Singapore";;;12.58;"UNODC, 2002_ UNODC_2005";"Crime"
2000;;"recorded_assault_rate";"Recorded assault rate per 100,000 population";"n";"per 100,000 population";;"Singapore";;;13.29;"UNODC, 2002_ UNODC_2005";"Crime"
