"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
2001;;"recorded_bribery_rate";"Recorded bribery rate per 100,000 population";"#";"Total";;"Albania";;;0.03;"Global_UNODC, 2002; UNODC, 2005";"Slum dwellers"
2002;;"recorded_bribery_rate";"Recorded bribery rate per 100,000 population";"#";"Total";;"Albania";;;0.16;"Global_UNODC, 2002; UNODC, 2005";"Slum dwellers"
1999;;"recorded_bribery_rate";"Recorded bribery rate per 100,000 population";"#";"Total";;"Armenia";;;0.74;"Global_UNODC, 2002; UNODC, 2005";"Slum dwellers"
2000;;"recorded_bribery_rate";"Recorded bribery rate per 100,000 population";"#";"Total";;"Armenia";;;0.95;"Global_UNODC, 2002; UNODC, 2005";"Slum dwellers"
2001;;"recorded_bribery_rate";"Recorded bribery rate per 100,000 population";"#";"Total";;"Austria";;;0.29;"Global_UNODC, 2002; UNODC, 2005";"Slum dwellers"
2002;;"recorded_bribery_rate";"Recorded bribery rate per 100,000 population";"#";"Total";;"Austria";;;2.44;"Global_UNODC, 2002; UNODC, 2005";"Slum dwellers"
2001;;"recorded_bribery_rate";"Recorded bribery rate per 100,000 population";"#";"Total";;"Azerbaijan";;;0.67;"Global_UNODC, 2002; UNODC, 2005";"Slum dwellers"
2002;;"recorded_bribery_rate";"Recorded bribery rate per 100,000 population";"#";"Total";;"Azerbaijan";;;0.21;"Global_UNODC, 2002; UNODC, 2005";"Slum dwellers"
2001;;"recorded_bribery_rate";"Recorded bribery rate per 100,000 population";"#";"Total";;"Belarus";;;9.74;"Global_UNODC, 2002; UNODC, 2005";"Slum dwellers"
2002;;"recorded_bribery_rate";"Recorded bribery rate per 100,000 population";"#";"Total";;"Belarus";;;11.89;"Global_UNODC, 2002; UNODC, 2005";"Slum dwellers"
2001;;"recorded_bribery_rate";"Recorded bribery rate per 100,000 population";"#";"Total";;"Belgium";;;0.72;"Global_UNODC, 2002; UNODC, 2005";"Slum dwellers"
