"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
2001;;"recorded_theft_rate";"Recorded theft rate per 100,000 population";"#";"Total";;"Albania";;;39.62;"Global_UNODC, 2002; UNODC, 2005";"Slum dwellers"
2002;;"recorded_theft_rate";"Recorded theft rate per 100,000 population";"#";"Total";;"Albania";;;41.97;"Global_UNODC, 2002; UNODC, 2005";"Slum dwellers"
2001;;"recorded_theft_rate";"Recorded theft rate per 100,000 population";"#";"Total";;"Argentina";;;870.22;"Global_UNODC, 2002; UNODC, 2005";"Slum dwellers"
2002;;"recorded_theft_rate";"Recorded theft rate per 100,000 population";"#";"Total";;"Argentina";;;1060.08;"Global_UNODC, 2002; UNODC, 2005";"Slum dwellers"
1999;;"recorded_theft_rate";"Recorded theft rate per 100,000 population";"#";"Total";;"Armenia";;;80.4;"Global_UNODC, 2002; UNODC, 2005";"Slum dwellers"
2000;;"recorded_theft_rate";"Recorded theft rate per 100,000 population";"#";"Total";;"Armenia";;;96.32;"Global_UNODC, 2002; UNODC, 2005";"Slum dwellers"
1999;;"recorded_theft_rate";"Recorded theft rate per 100,000 population";"#";"Total";;"Australia";;;681.85;"Global_UNODC, 2002; UNODC, 2005";"Slum dwellers"
2000;;"recorded_theft_rate";"Recorded theft rate per 100,000 population";"#";"Total";;"Australia";;;724.45;"Global_UNODC, 2002; UNODC, 2005";"Slum dwellers"
2001;;"recorded_theft_rate";"Recorded theft rate per 100,000 population";"#";"Total";;"Austria";;;2001.52;"Global_UNODC, 2002; UNODC, 2005";"Slum dwellers"
2002;;"recorded_theft_rate";"Recorded theft rate per 100,000 population";"#";"Total";;"Austria";;;2423.15;"Global_UNODC, 2002; UNODC, 2005";"Slum dwellers"
2001;;"recorded_theft_rate";"Recorded theft rate per 100,000 population";"#";"Total";;"Azerbaijan";;;25.74;"Global_UNODC, 2002; UNODC, 2005";"Slum dwellers"
2002;;"recorded_theft_rate";"Recorded theft rate per 100,000 population";"#";"Total";;"Azerbaijan";;;19.81;"Global_UNODC, 2002; UNODC, 2005";"Slum dwellers"
1999;;"recorded_theft_rate";"Recorded theft rate per 100,000 population";"#";"Total";;"Barbados";;;941.45;"Global_UNODC, 2002; UNODC, 2005";"Slum dwellers"
2000;;"recorded_theft_rate";"Recorded theft rate per 100,000 population";"#";"Total";;"Barbados";;;870.04;"Global_UNODC, 2002; UNODC, 2005";"Slum dwellers"
2001;;"recorded_theft_rate";"Recorded theft rate per 100,000 population";"#";"Total";;"Belarus";;;525.95;"Global_UNODC, 2002; UNODC, 2005";"Slum dwellers"
2002;;"recorded_theft_rate";"Recorded theft rate per 100,000 population";"#";"Total";;"Belarus";;;600.77;"Global_UNODC, 2002; UNODC, 2005";"Slum dwellers"
2001;;"recorded_theft_rate";"Recorded theft rate per 100,000 population";"#";"Total";;"Belgium";;;3529.71;"Global_UNODC, 2002; UNODC, 2005";"Slum dwellers"
