year;year_range;indicator_id;friendly_name;type_data;selection_type;deprivation_type;country;city;region;value;description;category
2005;;refugees_by_country_of_origin;Number of refugees by country of origin;n;Persons;;Algeria;;;12006;UNHCR, 2006_United Nations_2006.;Slum dwellers
2005;;refugees_by_country_of_origin;Number of refugees by country of origin;n;Persons;;Angola;;;215777;UNHCR, 2006_United Nations_2006.;Slum dwellers
2005;;refugees_by_country_of_origin;Number of refugees by country of origin;n;Persons;;Benin;;;411;UNHCR, 2006_United Nations_2006.;Slum dwellers
2005;;refugees_by_country_of_origin;Number of refugees by country of origin;n;Persons;;Botswana;;;4;UNHCR, 2006_United Nations_2006.;Slum dwellers
2005;;refugees_by_country_of_origin;Number of refugees by country of origin;n;Persons;;Burkina Faso;;;607;UNHCR, 2006_United Nations_2006.;Slum dwellers
2005;;refugees_by_country_of_origin;Number of refugees by country of origin;n;Persons;;Burundi;;;438663;UNHCR, 2006_United Nations_2006.;Slum dwellers
2005;;refugees_by_country_of_origin;Number of refugees by country of origin;n;Persons;;Cameroon;;;9016;UNHCR, 2006_United Nations_2006.;Slum dwellers
2005;;refugees_by_country_of_origin;Number of refugees by country of origin;n;Persons;;Cape Verde;;;5;UNHCR, 2006_United Nations_2006.;Slum dwellers
2005;;refugees_by_country_of_origin;Number of refugees by country of origin;n;Persons;;Central African Republic;;;42890;UNHCR, 2006_United Nations_2006.;Slum dwellers
2005;;refugees_by_country_of_origin;Number of refugees by country of origin;n;Persons;;Chad;;;48400;UNHCR, 2006_United Nations_2006.;Slum dwellers
2005;;refugees_by_country_of_origin;Number of refugees by country of origin;n;Persons;;Comoros;;;61;UNHCR, 2006_United Nations_2006.;Slum dwellers
2005;;refugees_by_country_of_origin;Number of refugees by country of origin;n;Persons;;Congo;;;24413;UNHCR, 2006_United Nations_2006.;Slum dwellers
2005;;refugees_by_country_of_origin;Number of refugees by country of origin;n;Persons;;Côte d’Ivoire;;;18303;UNHCR, 2006_United Nations_2006.;Slum dwellers
2005;;refugees_by_country_of_origin;Number of refugees by country of origin;n;Persons;;Congo Dem. Rep.;;;430625;UNHCR, 2006_United Nations_2006.;Slum dwellers
2005;;refugees_by_country_of_origin;Number of refugees by country of origin;n;Persons;;Djibouti;;;503;UNHCR, 2006_United Nations_2006.;Slum dwellers
2005;;refugees_by_country_of_origin;Number of refugees by country of origin;n;Persons;;Egypt;;;6291;UNHCR, 2006_United Nations_2006.;Slum dwellers
2005;;refugees_by_country_of_origin;Number of refugees by country of origin;n;Persons;;Equatorial Guinea;;;477;UNHCR, 2006_United Nations_2006.;Slum dwellers
2005;;refugees_by_country_of_origin;Number of refugees by country of origin;n;Persons;;Eritrea;;;143594;UNHCR, 2006_United Nations_2006.;Slum dwellers
2005;;refugees_by_country_of_origin;Number of refugees by country of origin;n;Persons;;Ethiopia;;;65293;UNHCR, 2006_United Nations_2006.;Slum dwellers
2005;;refugees_by_country_of_origin;Number of refugees by country of origin;n;Persons;;Gabon;;;81;UNHCR, 2006_United Nations_2006.;Slum dwellers
2005;;refugees_by_country_of_origin;Number of refugees by country of origin;n;Persons;;Gambia The;;;1678;UNHCR, 2006_United Nations_2006.;Slum dwellers
2005;;refugees_by_country_of_origin;Number of refugees by country of origin;n;Persons;;Ghana;;;18432;UNHCR, 2006_United Nations_2006.;Slum dwellers
2005;;refugees_by_country_of_origin;Number of refugees by country of origin;n;Persons;;Guinea;;;5820;UNHCR, 2006_United Nations_2006.;Slum dwellers
2005;;refugees_by_country_of_origin;Number of refugees by country of origin;n;Persons;;Guinea-Bissau;;;1050;UNHCR, 2006_United Nations_2006.;Slum dwellers
2005;;refugees_by_country_of_origin;Number of refugees by country of origin;n;Persons;;Kenya;;;4620;UNHCR, 2006_United Nations_2006.;Slum dwellers
2005;;refugees_by_country_of_origin;Number of refugees by country of origin;n;Persons;;Lesotho;;;6;UNHCR, 2006_United Nations_2006.;Slum dwellers
2005;;refugees_by_country_of_origin;Number of refugees by country of origin;n;Persons;;Liberia;;;231114;UNHCR, 2006_United Nations_2006.;Slum dwellers
2005;;refugees_by_country_of_origin;Number of refugees by country of origin;n;Persons;;Libya;;;1535;UNHCR, 2006_United Nations_2006.;Slum dwellers
2005;;refugees_by_country_of_origin;Number of refugees by country of origin;n;Persons;;Madagascar;;;203;UNHCR, 2006_United Nations_2006.;Slum dwellers
2005;;refugees_by_country_of_origin;Number of refugees by country of origin;n;Persons;;Malawi;;;101;UNHCR, 2006_United Nations_2006.;Slum dwellers
2005;;refugees_by_country_of_origin;Number of refugees by country of origin;n;Persons;;Mali;;;520;UNHCR, 2006_United Nations_2006.;Slum dwellers
2005;;refugees_by_country_of_origin;Number of refugees by country of origin;n;Persons;;Mauritania;;;31651;UNHCR, 2006_United Nations_2006.;Slum dwellers
2005;;refugees_by_country_of_origin;Number of refugees by country of origin;n;Persons;;Mauritius;;;27;UNHCR, 2006_United Nations_2006.;Slum dwellers
2005;;refugees_by_country_of_origin;Number of refugees by country of origin;n;Persons;;Morocco;;;2920;UNHCR, 2006_United Nations_2006.;Slum dwellers
2005;;refugees_by_country_of_origin;Number of refugees by country of origin;n;Persons;;Mozambique;;;104;UNHCR, 2006_United Nations_2006.;Slum dwellers
2005;;refugees_by_country_of_origin;Number of refugees by country of origin;n;Persons;;Namibia;;;1226;UNHCR, 2006_United Nations_2006.;Slum dwellers
2005;;refugees_by_country_of_origin;Number of refugees by country of origin;n;Persons;;Niger;;;655;UNHCR, 2006_United Nations_2006.;Slum dwellers
2005;;refugees_by_country_of_origin;Number of refugees by country of origin;n;Persons;;Nigeria;;;22098;UNHCR, 2006_United Nations_2006.;Slum dwellers
