"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
1950;;"rural_population";"Rural population";1000;"Rural";;"Africa";;;191673;"United Nations Department of Economic and Social Affairs_World Urbanization Prospects_2007";"Population"
1955;;"rural_population";"Rural population";1000;"Rural";;"Africa";;;209561;"United Nations Department of Economic and Social Affairs_World Urbanization Prospects_2007";"Population"
1960;;"rural_population";"Rural population";1000;"Rural";;"Africa";;;229477;"United Nations Department of Economic and Social Affairs_World Urbanization Prospects_2007";"Population"
1965;;"rural_population";"Rural population";1000;"Rural";;"Africa";;;251485;"United Nations Department of Economic and Social Affairs_World Urbanization Prospects_2007";"Population"
1970;;"rural_population";"Rural population";1000;"Rural";;"Africa";;;278199;"United Nations Department of Economic and Social Affairs_World Urbanization Prospects_2007";"Population"
1975;;"rural_population";"Rural population";1000;"Rural";;"Africa";;;309356;"United Nations Department of Economic and Social Affairs_World Urbanization Prospects_2007";"Population"
1980;;"rural_population";"Rural population";1000;"Rural";;"Africa";;;346110;"United Nations Department of Economic and Social Affairs_World Urbanization Prospects_2007";"Population"
1985;;"rural_population";"Rural population";1000;"Rural";;"Africa";;;388595;"United Nations Department of Economic and Social Affairs_World Urbanization Prospects_2007";"Population"
1990;;"rural_population";"Rural population";1000;"Rural";;"Africa";;;433454;"United Nations Department of Economic and Social Affairs_World Urbanization Prospects_2007";"Population"
1995;;"rural_population";"Rural population";1000;"Rural";;"Africa";;;478810;"United Nations Department of Economic and Social Affairs_World Urbanization Prospects_2007";"Population"
2000;;"rural_population";"Rural population";1000;"Rural";;"Africa";;;525828;"United Nations Department of Economic and Social Affairs_World Urbanization Prospects_2007";"Population"
2005;;"rural_population";"Rural population";1000;"Rural";;"Africa";;;572618;"United Nations Department of Economic and Social Affairs_World Urbanization Prospects_2007";"Population"
2010;;"rural_population";"Rural population";1000;"Rural";;"Africa";;;619823;"United Nations Department of Economic and Social Affairs_World Urbanization Prospects_2007";"Population"
2015;;"rural_population";"Rural population";1000;"Rural";;"Africa";;;664683;"United Nations Department of Economic and Social Affairs_World Urbanization Prospects_2007";"Population"
2020;;"rural_population";"Rural population";1000;"Rural";;"Africa";;;704299;"United Nations Department of Economic and Social Affairs_World Urbanization Prospects_2007";"Population"
2025;;"rural_population";"Rural population";1000;"Rural";;"Africa";;;736039;"United Nations Department of Economic and Social Affairs_World Urbanization Prospects_2007";"Population"
2030;;"rural_population";"Rural population";1000;"Rural";;"Africa";;;758909;"United Nations Department of Economic and Social Affairs_World Urbanization Prospects_2007";"Population"
2035;;"rural_population";"Rural population";1000;"Rural";;"Africa";;;773287;"United Nations Department of Economic and Social Affairs_World Urbanization Prospects_2007";"Population"
2040;;"rural_population";"Rural population";1000;"Rural";;"Africa";;;779136;"United Nations Department of Economic and Social Affairs_World Urbanization Prospects_2007";"Population"
2045;;"rural_population";"Rural population";1000;"Rural";;"Africa";;;776038;"United Nations Department of Economic and Social Affairs_World Urbanization Prospects_2007";"Population"
2050;;"rural_population";"Rural population";1000;"Rural";;"Africa";;;763963;"United Nations Department of Economic and Social Affairs_World Urbanization Prospects_2007";"Population"
1950;;"rural_population";"Rural population";1000;"Rural";;"Algeria";;;6809;"United Nations Department of Economic and Social Affairs_World Urbanization Prospects_2007";"Population"
1955;;"rural_population";"Rural population";1000;"Rural";;"Algeria";;;7175;"United Nations Department of Economic and Social Affairs_World Urbanization Prospects_2007";"Population"
1960;;"rural_population";"Rural population";1000;"Rural";;"Algeria";;;7505;"United Nations Department of Economic and Social Affairs_World Urbanization Prospects_2007";"Population"
1965;;"rural_population";"Rural population";1000;"Rural";;"Algeria";;;7435;"United Nations Department of Economic and Social Affairs_World Urbanization Prospects_2007";"Population"
1970;;"rural_population";"Rural population";1000;"Rural";;"Algeria";;;8316;"United Nations Department of Economic and Social Affairs_World Urbanization Prospects_2007";"Population"
1975;;"rural_population";"Rural population";1000;"Rural";;"Algeria";;;9558;"United Nations Department of Economic and Social Affairs_World Urbanization Prospects_2007";"Population"
1980;;"rural_population";"Rural population";1000;"Rural";;"Algeria";;;10620;"United Nations Department of Economic and Social Affairs_World Urbanization Prospects_2007";"Population"
1985;;"rural_population";"Rural population";1000;"Rural";;"Algeria";;;11498;"United Nations Department of Economic and Social Affairs_World Urbanization Prospects_2007";"Population"
