"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
2020;;"urban_population_share_national";"Share in national urban population";"p";;;"Algeria";"El Djazaïr (Algiers)";;11.3;"Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change";"Slum dwellers"
2020;;"urban_population_share_national";"Share in national urban population";"p";;;"Algeria";"Wahran (Oran)";;2.9;"Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change";"Slum dwellers"
2020;;"urban_population_share_national";"Share in national urban population";"p";;;"Angola";"Huambo";;10.3;"Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change";"Slum dwellers"
2020;;"urban_population_share_national";"Share in national urban population";"p";;;"Angola";"Luanda";;46.6;"Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change";"Slum dwellers"
2020;;"urban_population_share_national";"Share in national urban population";"p";;;"Benin";"Cotonou";;22.1;"Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change";"Slum dwellers"
2020;;"urban_population_share_national";"Share in national urban population";"p";;;"Burkina Faso";"Ouagadougou";;48.6;"Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change";"Slum dwellers"
2020;;"urban_population_share_national";"Share in national urban population";"p";;;"Cameroon";"Douala";;24.7;"Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change";"Slum dwellers"
2020;;"urban_population_share_national";"Share in national urban population";"p";;;"Cameroon";"Yaoundé";;24.8;"Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change";"Slum dwellers"
2020;;"urban_population_share_national";"Share in national urban population";"p";;;"Chad";"N’Djaména";;45.5;"Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change";"Slum dwellers"
2020;;"urban_population_share_national";"Share in national urban population";"p";;;"Congo";"Brazzaville";;61.5;"Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change";"Slum dwellers"
2020;;"urban_population_share_national";"Share in national urban population";"p";;;"Congo";"Pointe-Noire";;32.1;"Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change";"Slum dwellers"
2020;;"urban_population_share_national";"Share in national urban population";"p";;;"Côte d’Ivoire";"Abidjan";;41.9;"Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change";"Slum dwellers"
2020;;"urban_population_share_national";"Share in national urban population";"p";;;"Côte d’Ivoire";"Yamoussoukro";;11.6;"Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change";"Slum dwellers"
2020;;"urban_population_share_national";"Share in national urban population";"p";;;"Democratic Republic of the Congo";"Kananga";;3.9;"Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change";"Slum dwellers"
2020;;"urban_population_share_national";"Share in national urban population";"p";;;"Democratic Republic of the Congo";"Kinshasa";;36.8;"Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change";"Slum dwellers"
2020;;"urban_population_share_national";"Share in national urban population";"p";;;"Democratic Republic of the Congo";"Kisangani";;3.6;"Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change";"Slum dwellers"
2020;;"urban_population_share_national";"Share in national urban population";"p";;;"Democratic Republic of the Congo";"Lubumbashi";;6.7;"Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change";"Slum dwellers"
2020;;"urban_population_share_national";"Share in national urban population";"p";;;"Democratic Republic of the Congo";"Mbuji-Mayi";;6.5;"Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change";"Slum dwellers"
2020;;"urban_population_share_national";"Share in national urban population";"p";;;"Egypt";"(AAl-lIesxkaannddriaari)yah";;12.8;"Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change";"Slum dwellers"
2020;;"urban_population_share_national";"Share in national urban population";"p";;;"Egypt";"Al-Qahirah (Cairo)";;30.7;"Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change";"Slum dwellers"
2020;;"urban_population_share_national";"Share in national urban population";"p";;;"Ethiopia";"Addis Ababa";;19.5;"Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change";"Slum dwellers"
2020;;"urban_population_share_national";"Share in national urban population";"p";;;"Ghana";"Accra";;20.7;"Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change";"Slum dwellers"
2020;;"urban_population_share_national";"Share in national urban population";"p";;;"Ghana";"Kumasi";;16.3;"Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change";"Slum dwellers"
2020;;"urban_population_share_national";"Share in national urban population";"p";;;"Guinea";"Conakry";;51.3;"Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change";"Slum dwellers"
2020;;"urban_population_share_national";"Share in national urban population";"p";;;"Kenya";"Mombasa";;9.6;"Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change";"Slum dwellers"
2020;;"urban_population_share_national";"Share in national urban population";"p";;;"Kenya";"Nairobi";;33.7;"Table 4 Urban Agglomerations with 750,000 Inhabitants or More: Population Size and Rate of Change";"Slum dwellers"
