"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
2005;;"slum_population";"Slum population – Urban";1000;"Urban";;"Angola";;;7512;"UNHABITAT_2010";"Slum dwellers"
1990;;"slum_population";"Slum population – Urban";1000;"Urban";;"Benin";;;1416;"UNHABITAT_2010";"Slum dwellers"
1995;;"slum_population";"Slum population – Urban";1000;"Urban";;"Benin";;;1753;"UNHABITAT_2010";"Slum dwellers"
2000;;"slum_population";"Slum population – Urban";1000;"Urban";;"Benin";;;2058;"UNHABITAT_2010";"Slum dwellers"
2005;;"slum_population";"Slum population – Urban";1000;"Urban";;"Benin";;;2439;"UNHABITAT_2010";"Slum dwellers"
2007;;"slum_population";"Slum population – Urban";1000;"Urban";;"Benin";;;2608;"UNHABITAT_2010";"Slum dwellers"
1990;;"slum_population";"Slum population – Urban";1000;"Urban";;"Burkina Faso";;;966;"UNHABITAT_2010";"Slum dwellers"
1995;;"slum_population";"Slum population – Urban";1000;"Urban";;"Burkina Faso";;;1125;"UNHABITAT_2010";"Slum dwellers"
2000;;"slum_population";"Slum population – Urban";1000;"Urban";;"Burkina Faso";;;1300;"UNHABITAT_2010";"Slum dwellers"
2005;;"slum_population";"Slum population – Urban";1000;"Urban";;"Burkina Faso";;;1520;"UNHABITAT_2010";"Slum dwellers"
2007;;"slum_population";"Slum population – Urban";1000;"Urban";;"Burkina Faso";;;1682;"UNHABITAT_2010";"Slum dwellers"
2005;;"slum_population";"Slum population – Urban";1000;"Urban";;"Burundi";;;481;"UNHABITAT_2010";"Slum dwellers"
1990;;"slum_population";"Slum population – Urban";1000;"Urban";;"Cameroon";;;2534;"UNHABITAT_2010";"Slum dwellers"
1995;;"slum_population";"Slum population – Urban";1000;"Urban";;"Cameroon";;;3161;"UNHABITAT_2010";"Slum dwellers"
2000;;"slum_population";"Slum population – Urban";1000;"Urban";;"Cameroon";;;3825;"UNHABITAT_2010";"Slum dwellers"
2005;;"slum_population";"Slum population – Urban";1000;"Urban";;"Cameroon";;;4578;"UNHABITAT_2010";"Slum dwellers"
2007;;"slum_population";"Slum population – Urban";1000;"Urban";;"Cameroon";;;4841;"UNHABITAT_2010";"Slum dwellers"
1990;;"slum_population";"Slum population – Urban";1000;"Urban";;"Central African Republic";;;969;"UNHABITAT_2010";"Slum dwellers"
1995;;"slum_population";"Slum population – Urban";1000;"Urban";;"Central African Republic";;;1152;"UNHABITAT_2010";"Slum dwellers"
2000;;"slum_population";"Slum population – Urban";1000;"Urban";;"Central African Republic";;;1337;"UNHABITAT_2010";"Slum dwellers"
2005;;"slum_population";"Slum population – Urban";1000;"Urban";;"Central African Republic";;;1502;"UNHABITAT_2010";"Slum dwellers"
2007;;"slum_population";"Slum population – Urban";1000;"Urban";;"Central African Republic";;;1582;"UNHABITAT_2010";"Slum dwellers"
