"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
2005;;"slum_proportion_living_urban";"Percentage of slum population in urban area";"p";"Urban";;"Angola";;;86.5;"UNHABITAT_2010";"Slum dwellers"
1990;;"slum_proportion_living_urban";"Percentage of slum population in urban area";"p";"Urban";;"Benin";;;79.3;"UNHABITAT_2010";"Slum dwellers"
1995;;"slum_proportion_living_urban";"Percentage of slum population in urban area";"p";"Urban";;"Benin";;;76.8;"UNHABITAT_2010";"Slum dwellers"
2000;;"slum_proportion_living_urban";"Percentage of slum population in urban area";"p";"Urban";;"Benin";;;74.3;"UNHABITAT_2010";"Slum dwellers"
2005;;"slum_proportion_living_urban";"Percentage of slum population in urban area";"p";"Urban";;"Benin";;;71.8;"UNHABITAT_2010";"Slum dwellers"
2007;;"slum_proportion_living_urban";"Percentage of slum population in urban area";"p";"Urban";;"Benin";;;70.8;"UNHABITAT_2010";"Slum dwellers"
1990;;"slum_proportion_living_urban";"Percentage of slum population in urban area";"p";"Urban";;"Burkina Faso";;;78.8;"UNHABITAT_2010";"Slum dwellers"
1995;;"slum_proportion_living_urban";"Percentage of slum population in urban area";"p";"Urban";;"Burkina Faso";;;72.4;"UNHABITAT_2010";"Slum dwellers"
2000;;"slum_proportion_living_urban";"Percentage of slum population in urban area";"p";"Urban";;"Burkina Faso";;;65.9;"UNHABITAT_2010";"Slum dwellers"
2005;;"slum_proportion_living_urban";"Percentage of slum population in urban area";"p";"Urban";;"Burkina Faso";;;59.5;"UNHABITAT_2010";"Slum dwellers"
2007;;"slum_proportion_living_urban";"Percentage of slum population in urban area";"p";"Urban";;"Burkina Faso";;;59.5;"UNHABITAT_2010";"Slum dwellers"
2005;;"slum_proportion_living_urban";"Percentage of slum population in urban area";"p";"Urban";;"Burundi";;;64.3;"UNHABITAT_2010";"Slum dwellers"
1990;;"slum_proportion_living_urban";"Percentage of slum population in urban area";"p";"Urban";;"Cameroon";;;50.8;"UNHABITAT_2010";"Slum dwellers"
1995;;"slum_proportion_living_urban";"Percentage of slum population in urban area";"p";"Urban";;"Cameroon";;;49.6;"UNHABITAT_2010";"Slum dwellers"
2000;;"slum_proportion_living_urban";"Percentage of slum population in urban area";"p";"Urban";;"Cameroon";;;48.4;"UNHABITAT_2010";"Slum dwellers"
2005;;"slum_proportion_living_urban";"Percentage of slum population in urban area";"p";"Urban";;"Cameroon";;;47.4;"UNHABITAT_2010";"Slum dwellers"
2007;;"slum_proportion_living_urban";"Percentage of slum population in urban area";"p";"Urban";;"Cameroon";;;46.6;"UNHABITAT_2010";"Slum dwellers"
1990;;"slum_proportion_living_urban";"Percentage of slum population in urban area";"p";"Urban";;"Central African Republic";;;87.5;"UNHABITAT_2010";"Slum dwellers"
1995;;"slum_proportion_living_urban";"Percentage of slum population in urban area";"p";"Urban";;"Central African Republic";;;89.7;"UNHABITAT_2010";"Slum dwellers"
2000;;"slum_proportion_living_urban";"Percentage of slum population in urban area";"p";"Urban";;"Central African Republic";;;91.9;"UNHABITAT_2010";"Slum dwellers"
2005;;"slum_proportion_living_urban";"Percentage of slum population in urban area";"p";"Urban";;"Central African Republic";;;94.1;"UNHABITAT_2010";"Slum dwellers"
2007;;"slum_proportion_living_urban";"Percentage of slum population in urban area";"p";"Urban";;"Central African Republic";;;95;"UNHABITAT_2010";"Slum dwellers"
1990;;"slum_proportion_living_urban";"Percentage of slum population in urban area";"p";"Urban";;"Chad";;;98.9;"UNHABITAT_2010";"Slum dwellers"
1995;;"slum_proportion_living_urban";"Percentage of slum population in urban area";"p";"Urban";;"Chad";;;96.4;"UNHABITAT_2010";"Slum dwellers"
2000;;"slum_proportion_living_urban";"Percentage of slum population in urban area";"p";"Urban";;"Chad";;;93.9;"UNHABITAT_2010";"Slum dwellers"
2005;;"slum_proportion_living_urban";"Percentage of slum population in urban area";"p";"Urban";;"Chad";;;91.3;"UNHABITAT_2010";"Slum dwellers"
2007;;"slum_proportion_living_urban";"Percentage of slum population in urban area";"p";"Urban";;"Chad";;;90.3;"UNHABITAT_2010";"Slum dwellers"
1990;;"slum_proportion_living_urban";"Percentage of slum population in urban area";"p";"Urban";;"Comoros";;;65.4;"UNHABITAT_2010";"Slum dwellers"
1995;;"slum_proportion_living_urban";"Percentage of slum population in urban area";"p";"Urban";;"Comoros";;;65.4;"UNHABITAT_2010";"Slum dwellers"
2000;;"slum_proportion_living_urban";"Percentage of slum population in urban area";"p";"Urban";;"Comoros";;;65.4;"UNHABITAT_2010";"Slum dwellers"
2005;;"slum_proportion_living_urban";"Percentage of slum population in urban area";"p";"Urban";;"Comoros";;;68.9;"UNHABITAT_2010";"Slum dwellers"
2007;;"slum_proportion_living_urban";"Percentage of slum population in urban area";"p";"Urban";;"Comoros";;;68.9;"UNHABITAT_2010";"Slum dwellers"
2005;;"slum_proportion_living_urban";"Percentage of slum population in urban area";"p";"Urban";;"Congo";;;53.4;"UNHABITAT_2010";"Slum dwellers"
1990;;"slum_proportion_living_urban";"Percentage of slum population in urban area";"p";"Urban";;"Côte d’Ivoire";;;53.4;"UNHABITAT_2010";"Slum dwellers"
1995;;"slum_proportion_living_urban";"Percentage of slum population in urban area";"p";"Urban";;"Côte d’Ivoire";;;54.3;"UNHABITAT_2010";"Slum dwellers"
2000;;"slum_proportion_living_urban";"Percentage of slum population in urban area";"p";"Urban";;"Côte d’Ivoire";;;55.3;"UNHABITAT_2010";"Slum dwellers"
2005;;"slum_proportion_living_urban";"Percentage of slum population in urban area";"p";"Urban";;"Côte d’Ivoire";;;56.2;"UNHABITAT_2010";"Slum dwellers"
2007;;"slum_proportion_living_urban";"Percentage of slum population in urban area";"p";"Urban";;"Côte d’Ivoire";;;56.6;"UNHABITAT_2010";"Slum dwellers"
2005;;"slum_proportion_living_urban";"Percentage of slum population in urban area";"p";"Urban";;"Congo Dem. Rep.";;;76.4;"UNHABITAT_2010";"Slum dwellers"
1990;;"slum_proportion_living_urban";"Percentage of slum population in urban area";"p";"Urban";;"Egypt";;;50.2;"UNHABITAT_2010";"Slum dwellers"
1995;;"slum_proportion_living_urban";"Percentage of slum population in urban area";"p";"Urban";;"Egypt";;;39.2;"UNHABITAT_2010";"Slum dwellers"
2000;;"slum_proportion_living_urban";"Percentage of slum population in urban area";"p";"Urban";;"Egypt";;;28.1;"UNHABITAT_2010";"Slum dwellers"
2005;;"slum_proportion_living_urban";"Percentage of slum population in urban area";"p";"Urban";;"Egypt";;;17.1;"UNHABITAT_2010";"Slum dwellers"
2007;;"slum_proportion_living_urban";"Percentage of slum population in urban area";"p";"Urban";;"Egypt";;;17.1;"UNHABITAT_2010";"Slum dwellers"
2005;;"slum_proportion_living_urban";"Percentage of slum population in urban area";"p";"Urban";;"Equatorial Guinea";;;66.3;"UNHABITAT_2010";"Slum dwellers"
1990;;"slum_proportion_living_urban";"Percentage of slum population in urban area";"p";"Urban";;"Ethiopia";;;95.5;"UNHABITAT_2010";"Slum dwellers"
1995;;"slum_proportion_living_urban";"Percentage of slum population in urban area";"p";"Urban";;"Ethiopia";;;95.5;"UNHABITAT_2010";"Slum dwellers"
2000;;"slum_proportion_living_urban";"Percentage of slum population in urban area";"p";"Urban";;"Ethiopia";;;88.6;"UNHABITAT_2010";"Slum dwellers"
2005;;"slum_proportion_living_urban";"Percentage of slum population in urban area";"p";"Urban";;"Ethiopia";;;81.8;"UNHABITAT_2010";"Slum dwellers"
2007;;"slum_proportion_living_urban";"Percentage of slum population in urban area";"p";"Urban";;"Ethiopia";;;79.1;"UNHABITAT_2010";"Slum dwellers"
2005;;"slum_proportion_living_urban";"Percentage of slum population in urban area";"p";"Urban";;"Gabon";;;38.7;"UNHABITAT_2010";"Slum dwellers"
2005;;"slum_proportion_living_urban";"Percentage of slum population in urban area";"p";"Urban";;"Gambia The";;;45.4;"UNHABITAT_2010";"Slum dwellers"
1990;;"slum_proportion_living_urban";"Percentage of slum population in urban area";"p";"Urban";;"Ghana";;;65.5;"UNHABITAT_2010";"Slum dwellers"
1995;;"slum_proportion_living_urban";"Percentage of slum population in urban area";"p";"Urban";;"Ghana";;;58.8;"UNHABITAT_2010";"Slum dwellers"
