"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
2005;;"slum_proportion_living_urban";"Slum proportion living in urban areas";"p";;;"AR";;;"26.2";"Urban numbers 1.0 data";"Slum dwellers"
2007;;"slum_proportion_living_urban";"Slum proportion living in urban areas";"p";;;"AR";;;"23.5";"Urban numbers 1.0 data";"Slum dwellers"
2000;;"slum_proportion_living_urban";"Slum proportion living in urban areas";"p";;;"AR";;;"32.9";"Urban numbers 1.0 data";"Slum dwellers"
1995;;"slum_proportion_living_urban";"Slum proportion living in urban areas";"p";;;"AR";;;"31.7";"Urban numbers 1.0 data";"Slum dwellers"
1990;;"slum_proportion_living_urban";"Slum proportion living in urban areas";"p";;;"AR";;;"30.5";"Urban numbers 1.0 data";"Slum dwellers"
2005;;"slum_proportion_living_urban";"Slum proportion living in urban areas";"p";;;"BD";;;"70.8";"Urban numbers 1.0 data";"Slum dwellers"
2007;;"slum_proportion_living_urban";"Slum proportion living in urban areas";"p";;;"BD";;;"70.8";"Urban numbers 1.0 data";"Slum dwellers"
2000;;"slum_proportion_living_urban";"Slum proportion living in urban areas";"p";;;"BD";;;"77.8";"Urban numbers 1.0 data";"Slum dwellers"
1995;;"slum_proportion_living_urban";"Slum proportion living in urban areas";"p";;;"BD";;;"84.7";"Urban numbers 1.0 data";"Slum dwellers"
1990;;"slum_proportion_living_urban";"Slum proportion living in urban areas";"p";;;"BD";;;"87.3";"Urban numbers 1.0 data";"Slum dwellers"
2005;;"slum_proportion_living_urban";"Slum proportion living in urban areas";"p";;;"BF";;;"59.5";"Urban numbers 1.0 data";"Slum dwellers"
2007;;"slum_proportion_living_urban";"Slum proportion living in urban areas";"p";;;"BF";;;"59.5";"Urban numbers 1.0 data";"Slum dwellers"
2000;;"slum_proportion_living_urban";"Slum proportion living in urban areas";"p";;;"BF";;;"65.9";"Urban numbers 1.0 data";"Slum dwellers"
1995;;"slum_proportion_living_urban";"Slum proportion living in urban areas";"p";;;"BF";;;"72.4";"Urban numbers 1.0 data";"Slum dwellers"
1990;;"slum_proportion_living_urban";"Slum proportion living in urban areas";"p";;;"BF";;;"78.8";"Urban numbers 1.0 data";"Slum dwellers"
2005;;"slum_proportion_living_urban";"Slum proportion living in urban areas";"p";;;"BI";;;"64.3";"Urban numbers 1.0 data";"Slum dwellers"
2005;;"slum_proportion_living_urban";"Slum proportion living in urban areas";"p";;;"BJ";;;"71.8";"Urban numbers 1.0 data";"Slum dwellers"
2007;;"slum_proportion_living_urban";"Slum proportion living in urban areas";"p";;;"BJ";;;"70.8";"Urban numbers 1.0 data";"Slum dwellers"
2000;;"slum_proportion_living_urban";"Slum proportion living in urban areas";"p";;;"BJ";;;"74.3";"Urban numbers 1.0 data";"Slum dwellers"
1995;;"slum_proportion_living_urban";"Slum proportion living in urban areas";"p";;;"BJ";;;"76.8";"Urban numbers 1.0 data";"Slum dwellers"
1990;;"slum_proportion_living_urban";"Slum proportion living in urban areas";"p";;;"BJ";;;"79.3";"Urban numbers 1.0 data";"Slum dwellers"
2005;;"slum_proportion_living_urban";"Slum proportion living in urban areas";"p";;;"BO";;;"50.4";"Urban numbers 1.0 data";"Slum dwellers"
2007;;"slum_proportion_living_urban";"Slum proportion living in urban areas";"p";;;"BO";;;"48.8";"Urban numbers 1.0 data";"Slum dwellers"
2000;;"slum_proportion_living_urban";"Slum proportion living in urban areas";"p";;;"BO";;;"54.3";"Urban numbers 1.0 data";"Slum dwellers"
1995;;"slum_proportion_living_urban";"Slum proportion living in urban areas";"p";;;"BO";;;"58.2";"Urban numbers 1.0 data";"Slum dwellers"
1990;;"slum_proportion_living_urban";"Slum proportion living in urban areas";"p";;;"BO";;;"62.2";"Urban numbers 1.0 data";"Slum dwellers"
2005;;"slum_proportion_living_urban";"Slum proportion living in urban areas";"p";;;"BR";;;29;"Urban numbers 1.0 data";"Slum dwellers"
2007;;"slum_proportion_living_urban";"Slum proportion living in urban areas";"p";;;"BR";;;28;"Urban numbers 1.0 data";"Slum dwellers"
2000;;"slum_proportion_living_urban";"Slum proportion living in urban areas";"p";;;"BR";;;"31.5";"Urban numbers 1.0 data";"Slum dwellers"
1995;;"slum_proportion_living_urban";"Slum proportion living in urban areas";"p";;;"BR";;;"34.1";"Urban numbers 1.0 data";"Slum dwellers"
1990;;"slum_proportion_living_urban";"Slum proportion living in urban areas";"p";;;"BR";;;"36.7";"Urban numbers 1.0 data";"Slum dwellers"
2005;;"slum_proportion_living_urban";"Slum proportion living in urban areas";"p";;;"BZ";;;"47.3";"Urban numbers 1.0 data";"Slum dwellers"
2005;;"slum_proportion_living_urban";"Slum proportion living in urban areas";"p";;;"CD";;;"17.6";"Urban numbers 1.0 data";"Slum dwellers"
2007;;"slum_proportion_living_urban";"Slum proportion living in urban areas";"p";;;"CD";;;"16.2";"Urban numbers 1.0 data";"Slum dwellers"
2000;;"slum_proportion_living_urban";"Slum proportion living in urban areas";"p";;;"CD";;;21;"Urban numbers 1.0 data";"Slum dwellers"
1995;;"slum_proportion_living_urban";"Slum proportion living in urban areas";"p";;;"CD";;;"24.4";"Urban numbers 1.0 data";"Slum dwellers"
1990;;"slum_proportion_living_urban";"Slum proportion living in urban areas";"p";;;"CD";;;"27.9";"Urban numbers 1.0 data";"Slum dwellers"
2005;;"slum_proportion_living_urban";"Slum proportion living in urban areas";"p";;;"CI";;;"56.2";"Urban numbers 1.0 data";"Slum dwellers"
2007;;"slum_proportion_living_urban";"Slum proportion living in urban areas";"p";;;"CI";;;"56.6";"Urban numbers 1.0 data";"Slum dwellers"
2000;;"slum_proportion_living_urban";"Slum proportion living in urban areas";"p";;;"CI";;;"55.3";"Urban numbers 1.0 data";"Slum dwellers"
1995;;"slum_proportion_living_urban";"Slum proportion living in urban areas";"p";;;"CI";;;"54.3";"Urban numbers 1.0 data";"Slum dwellers"
1990;;"slum_proportion_living_urban";"Slum proportion living in urban areas";"p";;;"CI";;;"53.4";"Urban numbers 1.0 data";"Slum dwellers"
2005;;"slum_proportion_living_urban";"Slum proportion living in urban areas";"p";;;"CL";;;9;"Urban numbers 1.0 data";"Slum dwellers"
2005;;"slum_proportion_living_urban";"Slum proportion living in urban areas";"p";;;"CM";;;"47.4";"Urban numbers 1.0 data";"Slum dwellers"
2007;;"slum_proportion_living_urban";"Slum proportion living in urban areas";"p";;;"CM";;;"46.6";"Urban numbers 1.0 data";"Slum dwellers"
2000;;"slum_proportion_living_urban";"Slum proportion living in urban areas";"p";;;"CM";;;"48.4";"Urban numbers 1.0 data";"Slum dwellers"
1995;;"slum_proportion_living_urban";"Slum proportion living in urban areas";"p";;;"CM";;;"49.6";"Urban numbers 1.0 data";"Slum dwellers"
1990;;"slum_proportion_living_urban";"Slum proportion living in urban areas";"p";;;"CM";;;"50.8";"Urban numbers 1.0 data";"Slum dwellers"
2005;;"slum_proportion_living_urban";"Slum proportion living in urban areas";"p";;;"CN";;;"32.9";"Urban numbers 1.0 data";"Slum dwellers"
2007;;"slum_proportion_living_urban";"Slum proportion living in urban areas";"p";;;"CN";;;31;"Urban numbers 1.0 data";"Slum dwellers"
2000;;"slum_proportion_living_urban";"Slum proportion living in urban areas";"p";;;"CN";;;"37.3";"Urban numbers 1.0 data";"Slum dwellers"
1995;;"slum_proportion_living_urban";"Slum proportion living in urban areas";"p";;;"CN";;;"40.5";"Urban numbers 1.0 data";"Slum dwellers"
1990;;"slum_proportion_living_urban";"Slum proportion living in urban areas";"p";;;"CN";;;"43.6";"Urban numbers 1.0 data";"Slum dwellers"
