"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
2012;;"street_density";"Street density (in km²)";"n";;;;"Benguet";;;"Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines";"Public spaces"
2012;;"street_density";"Street density (in km²)";"n";;;;"Baguio City";;2.48;"Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines";"Public spaces"
2012;;"street_density";"Street density (in km²)";"n";;;;"Kalinga";;;"Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines";"Public spaces"
2012;;"street_density";"Street density (in km²)";"n";;;;"Tabuk City";;;"Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines";"Public spaces"
2012;;"street_density";"Street density (in km²)";"n";;;;;;2.57;"Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines";"Public spaces"
2012;;"street_density";"Street density (in km²)";"n";;;;;;;"Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines";"Public spaces"
2012;;"street_density";"Street density (in km²)";"n";;;;"Ilocos Norte";;;"Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines";"Public spaces"
2012;;"street_density";"Street density (in km²)";"n";;;;"Laoag City";;0.98;"Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines";"Public spaces"
2012;;"street_density";"Street density (in km²)";"n";;;;"Batac City";;;"Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines";"Public spaces"
2012;;"street_density";"Street density (in km²)";"n";;;;"Ilocos Sur";;;"Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines";"Public spaces"
2012;;"street_density";"Street density (in km²)";"n";;;;"Candon City";;0.13;"Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines";"Public spaces"
2012;;"street_density";"Street density (in km²)";"n";;;;"Vigan City";;1.41;"Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines";"Public spaces"
2012;;"street_density";"Street density (in km²)";"n";;;;"La Union";;;"Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines";"Public spaces"
2012;;"street_density";"Street density (in km²)";"n";;;;"San Fernando City";;0.19;"Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines";"Public spaces"
2012;;"street_density";"Street density (in km²)";"n";;;;"Pangasinan";;;"Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines";"Public spaces"
2012;;"street_density";"Street density (in km²)";"n";;;;"Alaminos City";;0.1;"Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines";"Public spaces"
2012;;"street_density";"Street density (in km²)";"n";;;;"Dagupan City";;0.47;"Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines";"Public spaces"
2012;;"street_density";"Street density (in km²)";"n";;;;"San Carlos City";;1.15;"Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines";"Public spaces"
2012;;"street_density";"Street density (in km²)";"n";;;;"Urdaneta City";;0.03;"Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines";"Public spaces"
2012;;"street_density";"Street density (in km²)";"n";;;;;;0.92;"Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines";"Public spaces"
2012;;"street_density";"Street density (in km²)";"n";;;;;;;"Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines";"Public spaces"
2012;;"street_density";"Street density (in km²)";"n";;;;"Cagayan";;;"Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines";"Public spaces"
2012;;"street_density";"Street density (in km²)";"n";;;;"Tuguegarao City";;0.36;"Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines";"Public spaces"
2012;;"street_density";"Street density (in km²)";"n";;;;"Isabela";;;"Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines";"Public spaces"
2012;;"street_density";"Street density (in km²)";"n";;;;"Cauayan City";;0.16;"Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines";"Public spaces"
2012;;"street_density";"Street density (in km²)";"n";;;;"Santiago City";;0.12;"Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines";"Public spaces"
2012;;"street_density";"Street density (in km²)";"n";;;;;;0.18;"Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines";"Public spaces"
2012;;"street_density";"Street density (in km²)";"n";;;;;;;"Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines";"Public spaces"
2012;;"street_density";"Street density (in km²)";"n";;;;"Bataan";;;"Table 8 : Land Area, Street Density and Intersection Density, cities of Philippines";"Public spaces"
