"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
2013;;"street_density_sub_urban_area";"Street density (in km²)  – Sub urban area";"n";"sub_urban_area";;"Australia";"Melbourne";;11.8;"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Public spaces"
2013;;"street_density_sub_urban_area";"Street density (in km²)  – Sub urban area";"n";"sub_urban_area";;"Australia";"Sydney";;11.4;"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Public spaces"
2013;;"street_density_sub_urban_area";"Street density (in km²)  – Sub urban area";"n";"sub_urban_area";;"Belgium";"Brussels ";;11.7;"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Public spaces"
2013;;"street_density_sub_urban_area";"Street density (in km²)  – Sub urban area";"n";"sub_urban_area";;"Canada";"Calgary";;8.2;"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Public spaces"
2013;;"street_density_sub_urban_area";"Street density (in km²)  – Sub urban area";"n";"sub_urban_area";;"Canada";"Montreal";;13.8;"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Public spaces"
2013;;"street_density_sub_urban_area";"Street density (in km²)  – Sub urban area";"n";"sub_urban_area";;"Canada";"Toronto";;14.4;"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Public spaces"
2013;;"street_density_sub_urban_area";"Street density (in km²)  – Sub urban area";"n";"sub_urban_area";;"Denmark";"Copenhagen ";;7.5;"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Public spaces"
2013;;"street_density_sub_urban_area";"Street density (in km²)  – Sub urban area";"n";"sub_urban_area";;"Finland";"Helsinki ";;13.3;"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Public spaces"
2013;;"street_density_sub_urban_area";"Street density (in km²)  – Sub urban area";"n";"sub_urban_area";;"France";"Paris ";;12;"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Public spaces"
2013;;"street_density_sub_urban_area";"Street density (in km²)  – Sub urban area";"n";"sub_urban_area";;"Greece";"Athens ";;13.1;"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Public spaces"
2013;;"street_density_sub_urban_area";"Street density (in km²)  – Sub urban area";"n";"sub_urban_area";;"Netherlands";"Amsterdam ";;11.6;"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Public spaces"
2013;;"street_density_sub_urban_area";"Street density (in km²)  – Sub urban area";"n";"sub_urban_area";;"Newzealand";"Auckland ";;7.8;"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Public spaces"
2013;;"street_density_sub_urban_area";"Street density (in km²)  – Sub urban area";"n";"sub_urban_area";;"Russia";"Moscow";;;"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Public spaces"
2013;;"street_density_sub_urban_area";"Street density (in km²)  – Sub urban area";"n";"sub_urban_area";;"Russia";"Saint Petersburg ";;7.3;"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Public spaces"
2013;;"street_density_sub_urban_area";"Street density (in km²)  – Sub urban area";"n";"sub_urban_area";;"Spain";"Barcelona ";;10.1;"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Public spaces"
