"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
2013;;"street_density_total";"Street density (in km/km²) – Total";"n";"total";;"Australia";"Melbourne";;12;"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Public spaces"
2013;;"street_density_total";"Street density (in km/km²) – Total";"n";"total";;"Australia";"Sydney";;"15.7";"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Public spaces"
2013;;"street_density_total";"Street density (in km/km²) – Total";"n";"total";;"Belgium";"Brussels ";;;"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Public spaces"
2013;;"street_density_total";"Street density (in km/km²) – Total";"n";"total";;"Canada";"Calgary";;"8.3";"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Public spaces"
2013;;"street_density_total";"Street density (in km/km²) – Total";"n";"total";;"Canada";"Montreal";;"14.4";"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Public spaces"
2013;;"street_density_total";"Street density (in km/km²) – Total";"n";"total";;"Canada";"Toronto";;"16.4";"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Public spaces"
2013;;"street_density_total";"Street density (in km/km²) – Total";"n";"total";;"Denmark";"Copenhagen ";;;"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Public spaces"
2013;;"street_density_total";"Street density (in km/km²) – Total";"n";"total";;"Finland";"Helsinki ";;;"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Public spaces"
2013;;"street_density_total";"Street density (in km/km²) – Total";"n";"total";;"France";"Paris ";;;"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Public spaces"
2013;;"street_density_total";"Street density (in km/km²) – Total";"n";"total";;"Greece";"Athens ";;;"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Public spaces"
2013;;"street_density_total";"Street density (in km/km²) – Total";"n";"total";;"Netherlands";"Amsterdam ";;;"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Public spaces"
2013;;"street_density_total";"Street density (in km/km²) – Total";"n";"total";;"Newzealand";"Auckland ";;;"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Public spaces"
2013;;"street_density_total";"Street density (in km/km²) – Total";"n";"total";;"Russia";"Moscow";;;"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Public spaces"
2013;;"street_density_total";"Street density (in km/km²) – Total";"n";"total";;"Russia";"Saint Petersburg ";;;"Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density";"Public spaces"
