"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
"2013";;"street_density_index_city_core";"Street density index – City core";"index";"city_core";;"Australia";"Melbourne";;0.738;"Table 2: Composite Street Connectivity Index ";"Public spaces"
"2013";;"street_density_index_city_core";"Street density index – City core";"index";"city_core";;"Australia";"Sydney";;0.724;"Table 2: Composite Street Connectivity Index ";"Public spaces"
"2013";;"street_density_index_city_core";"Street density index – City core";"index";"city_core";;"Belgium";"Brussels ";;0.624;"Table 2: Composite Street Connectivity Index ";"Public spaces"
"2013";;"street_density_index_city_core";"Street density index – City core";"index";"city_core";;"Canada";"Calgary";;0.647;"Table 2: Composite Street Connectivity Index ";"Public spaces"
"2013";;"street_density_index_city_core";"Street density index – City core";"index";"city_core";;"Canada";"Montreal";;0.824;"Table 2: Composite Street Connectivity Index ";"Public spaces"
"2013";;"street_density_index_city_core";"Street density index – City core";"index";"city_core";;"Canada";"Toronto";;0.951;"Table 2: Composite Street Connectivity Index ";"Public spaces"
"2013";;"street_density_index_city_core";"Street density index – City core";"index";"city_core";;"Denmark";"Copenhagen ";;0.638;"Table 2: Composite Street Connectivity Index ";"Public spaces"
"2013";;"street_density_index_city_core";"Street density index – City core";"index";"city_core";;"Finland";"Helsinki ";;0.834;"Table 2: Composite Street Connectivity Index ";"Public spaces"
"2013";;"street_density_index_city_core";"Street density index – City core";"index";"city_core";;"France";"Paris ";;0.928;"Table 2: Composite Street Connectivity Index ";"Public spaces"
"2013";;"street_density_index_city_core";"Street density index – City core";"index";"city_core";;"Greece";"Athens ";;0.959;"Table 2: Composite Street Connectivity Index ";"Public spaces"
"2013";;"street_density_index_city_core";"Street density index – City core";"index";"city_core";;"Netherlands";"Amsterdam ";;1;"Table 2: Composite Street Connectivity Index ";"Public spaces"
"2013";;"street_density_index_city_core";"Street density index – City core";"index";"city_core";;"Newzealand";"Auckland ";;0.403;"Table 2: Composite Street Connectivity Index ";"Public spaces"
"2013";;"street_density_index_city_core";"Street density index – City core";"index";"city_core";;"Russia";"Moscow";;0.406;"Table 2: Composite Street Connectivity Index ";"Public spaces"
"2013";;"street_density_index_city_core";"Street density index – City core";"index";"city_core";;"Russia";"Saint Petersburg ";;0.472;"Table 2: Composite Street Connectivity Index ";"Public spaces"
"2013";;"street_density_index_city_core";"Street density index – City core";"index";"city_core";;"Spain";"Barcelona ";;0.786;"Table 2: Composite Street Connectivity Index ";"Public spaces"
"2013";;"street_density_index_city_core";"Street density index – City core";"index";"city_core";;"United Kingdom";"London";;1;"Table 2: Composite Street Connectivity Index ";"Public spaces"
"2013";;"street_density_index_city_core";"Street density index – City core";"index";"city_core";;"United States of America";"Los Angeles";;0.654;"Table 2: Composite Street Connectivity Index ";"Public spaces"
"2013";;"street_density_index_city_core";"Street density index – City core";"index";"city_core";;"United States of America";"New York ";;0.874;"Table 2: Composite Street Connectivity Index ";"Public spaces"
"2013";;"street_density_index_city_core";"Street density index – City core";"index";"city_core";;"United States of America";"Phoenix";;0.555;"Table 2: Composite Street Connectivity Index ";"Public spaces"
"2013";;"street_density_index_city_core";"Street density index – City core";"index";"city_core";;"United States of America";"Washington, D.C.";;0.708;"Table 2: Composite Street Connectivity Index ";"Public spaces"
"2013";;"street_density_index_city_core";"Street density index – City core";"index";"city_core";;"Armenia";"Yerevan ";;0.176;"Table 2: Composite Street Connectivity Index ";"Public spaces"
"2013";;"street_density_index_city_core";"Street density index – City core";"index";"city_core";;"Bangladesh";"Dhaka";;0.229;"Table 2: Composite Street Connectivity Index ";"Public spaces"
"2013";;"street_density_index_city_core";"Street density index – City core";"index";"city_core";;"Bolivia";"La Paz";;0.703;"Table 2: Composite Street Connectivity Index ";"Public spaces"
"2013";;"street_density_index_city_core";"Street density index – City core";"index";"city_core";;"Brazil";"Brasilia ";;0.441;"Table 2: Composite Street Connectivity Index ";"Public spaces"
"2013";;"street_density_index_city_core";"Street density index – City core";"index";"city_core";;"Brazil";"Sao Paulo";;0.521;"Table 2: Composite Street Connectivity Index ";"Public spaces"
"2013";;"street_density_index_city_core";"Street density index – City core";"index";"city_core";;"Burkina Faso";"Ouagadougou ";;0.476;"Table 2: Composite Street Connectivity Index ";"Public spaces"
"2013";;"street_density_index_city_core";"Street density index – City core";"index";"city_core";;"Central African Republic";"Bangui ";;0.128;"Table 2: Composite Street Connectivity Index ";"Public spaces"
"2013";;"street_density_index_city_core";"Street density index – City core";"index";"city_core";;"China";"Beijing ";;0.555;"Table 2: Composite Street Connectivity Index ";"Public spaces"
"2013";;"street_density_index_city_core";"Street density index – City core";"index";"city_core";;"China, Hong Kong SAR";"Hong Kong ";;1;"Table 2: Composite Street Connectivity Index ";"Public spaces"
"2013";;"street_density_index_city_core";"Street density index – City core";"index";"city_core";;"Colombia";"Bogota";;0.56;"Table 2: Composite Street Connectivity Index ";"Public spaces"
"2013";;"street_density_index_city_core";"Street density index – City core";"index";"city_core";;"Colombia";"Medellin ";;0.59;"Table 2: Composite Street Connectivity Index ";"Public spaces"
"2013";;"street_density_index_city_core";"Street density index – City core";"index";"city_core";;"Egypt";"Alexandria";;0.481;"Table 2: Composite Street Connectivity Index ";"Public spaces"
"2013";;"street_density_index_city_core";"Street density index – City core";"index";"city_core";;"Egypt";"Cairo";;0.507;"Table 2: Composite Street Connectivity Index ";"Public spaces"
"2013";;"street_density_index_city_core";"Street density index – City core";"index";"city_core";;"Ethiopia";"Addis Ababa ";;0.434;"Table 2: Composite Street Connectivity Index ";"Public spaces"
"2013";;"street_density_index_city_core";"Street density index – City core";"index";"city_core";;"Ghana";"Accra ";;0.31;"Table 2: Composite Street Connectivity Index ";"Public spaces"
"2013";;"street_density_index_city_core";"Street density index – City core";"index";"city_core";;"Guatemala";"Guatemala City";;0.688;"Table 2: Composite Street Connectivity Index ";"Public spaces"
"2013";;"street_density_index_city_core";"Street density index – City core";"index";"city_core";;"Guyana";"Georgetown ";;0.403;"Table 2: Composite Street Connectivity Index ";"Public spaces"
"2013";;"street_density_index_city_core";"Street density index – City core";"index";"city_core";;"India";"Chandigarh ";;0.5;"Table 2: Composite Street Connectivity Index ";"Public spaces"
"2013";;"street_density_index_city_core";"Street density index – City core";"index";"city_core";;"India";"Kolkota ";;0.745;"Table 2: Composite Street Connectivity Index ";"Public spaces"
"2013";;"street_density_index_city_core";"Street density index – City core";"index";"city_core";;"India";"Mumbai";;0.483;"Table 2: Composite Street Connectivity Index ";"Public spaces"
