"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
"2013";"";"street_density_index_sub_urban_area";"Street density index Ð Sub urban area";"index";"sub_urban_area";"";"Australia";"Melbourne";"";0.372;"Table 2: Composite Street Connectivity Index ";"Public spaces"
"2013";"";"street_density_index_sub_urban_area";"Street density index Ð Sub urban area";"index";"sub_urban_area";"";"Australia";"Sydney";"";0.359;"Table 2: Composite Street Connectivity Index ";"Public spaces"
"2013";"";"street_density_index_sub_urban_area";"Street density index Ð Sub urban area";"index";"sub_urban_area";"";"Belgium";"Brussels ";"";0.368;"Table 2: Composite Street Connectivity Index ";"Public spaces"
"2013";"";"street_density_index_sub_urban_area";"Street density index Ð Sub urban area";"index";"sub_urban_area";"";"Canada";"Calgary";"";0.248;"Table 2: Composite Street Connectivity Index ";"Public spaces"
"2013";"";"street_density_index_sub_urban_area";"Street density index Ð Sub urban area";"index";"sub_urban_area";"";"Canada";"Montreal";"";0.441;"Table 2: Composite Street Connectivity Index ";"Public spaces"
"2013";"";"street_density_index_sub_urban_area";"Street density index Ð Sub urban area";"index";"sub_urban_area";"";"Canada";"Toronto";"";0.461;"Table 2: Composite Street Connectivity Index ";"Public spaces"
"2013";"";"street_density_index_sub_urban_area";"Street density index Ð Sub urban area";"index";"sub_urban_area";"";"Denmark";"Copenhagen ";"";0.223;"Table 2: Composite Street Connectivity Index ";"Public spaces"
"2013";"";"street_density_index_sub_urban_area";"Street density index Ð Sub urban area";"index";"sub_urban_area";"";"Finland";"Helsinki ";"";0.426;"Table 2: Composite Street Connectivity Index ";"Public spaces"
"2013";"";"street_density_index_sub_urban_area";"Street density index Ð Sub urban area";"index";"sub_urban_area";"";"France";"Paris ";"";"0.38";"Table 2: Composite Street Connectivity Index ";"Public spaces"
"2013";"";"street_density_index_sub_urban_area";"Street density index Ð Sub urban area";"index";"sub_urban_area";"";"Greece";"Athens ";"";0.418;"Table 2: Composite Street Connectivity Index ";"Public spaces"
"2013";"";"street_density_index_sub_urban_area";"Street density index Ð Sub urban area";"index";"sub_urban_area";"";"Netherlands";"Amsterdam ";"";0.367;"Table 2: Composite Street Connectivity Index ";"Public spaces"
"2013";"";"street_density_index_sub_urban_area";"Street density index Ð Sub urban area";"index";"sub_urban_area";"";"Newzealand";"Auckland ";"";0.235;"Table 2: Composite Street Connectivity Index ";"Public spaces"
"2013";"";"street_density_index_sub_urban_area";"Street density index Ð Sub urban area";"index";"sub_urban_area";"";"Russia";"Moscow";"";"";"Table 2: Composite Street Connectivity Index ";"Public spaces"
"2013";"";"street_density_index_sub_urban_area";"Street density index Ð Sub urban area";"index";"sub_urban_area";"";"Russia";"Saint Petersburg ";"";0.218;"Table 2: Composite Street Connectivity Index ";"Public spaces"
"2013";"";"street_density_index_sub_urban_area";"Street density index Ð Sub urban area";"index";"sub_urban_area";"";"Spain";"Barcelona ";"";0.313;"Table 2: Composite Street Connectivity Index ";"Public spaces"
"2013";"";"street_density_index_sub_urban_area";"Street density index Ð Sub urban area";"index";"sub_urban_area";"";"United Kingdom";"London";"";0.434;"Table 2: Composite Street Connectivity Index ";"Public spaces"
"2013";"";"street_density_index_sub_urban_area";"Street density index Ð Sub urban area";"index";"sub_urban_area";"";"United States of America";"Los Angeles";"";"";"Table 2: Composite Street Connectivity Index ";"Public spaces"
"2013";"";"street_density_index_sub_urban_area";"Street density index Ð Sub urban area";"index";"sub_urban_area";"";"United States of America";"New York ";"";0.359;"Table 2: Composite Street Connectivity Index ";"Public spaces"
"2013";"";"street_density_index_sub_urban_area";"Street density index Ð Sub urban area";"index";"sub_urban_area";"";"United States of America";"Phoenix";"";"";"Table 2: Composite Street Connectivity Index ";"Public spaces"
"2013";"";"street_density_index_sub_urban_area";"Street density index Ð Sub urban area";"index";"sub_urban_area";"";"United States of America";"Washington, D.C.";"";"";"Table 2: Composite Street Connectivity Index ";"Public spaces"
"2013";"";"street_density_index_sub_urban_area";"Street density index Ð Sub urban area";"index";"sub_urban_area";"";"Armenia";"Yerevan ";"";0.021;"Table 2: Composite Street Connectivity Index ";"Public spaces"
"2013";"";"street_density_index_sub_urban_area";"Street density index Ð Sub urban area";"index";"sub_urban_area";"";"Bangladesh";"Dhaka";"";"";"Table 2: Composite Street Connectivity Index ";"Public spaces"
"2013";"";"street_density_index_sub_urban_area";"Street density index Ð Sub urban area";"index";"sub_urban_area";"";"Bolivia";"La Paz";"";"";"Table 2: Composite Street Connectivity Index ";"Public spaces"
"2013";"";"street_density_index_sub_urban_area";"Street density index Ð Sub urban area";"index";"sub_urban_area";"";"Brazil";"Brasilia ";"";0.195;"Table 2: Composite Street Connectivity Index ";"Public spaces"
"2013";"";"street_density_index_sub_urban_area";"Street density index Ð Sub urban area";"index";"sub_urban_area";"";"Brazil";"Sao Paulo";"";0.234;"Table 2: Composite Street Connectivity Index ";"Public spaces"
"2013";"";"street_density_index_sub_urban_area";"Street density index Ð Sub urban area";"index";"sub_urban_area";"";"Burkina Faso";"Ouagadougou ";"";0.246;"Table 2: Composite Street Connectivity Index ";"Public spaces"
"2013";"";"street_density_index_sub_urban_area";"Street density index Ð Sub urban area";"index";"sub_urban_area";"";"Central African Republic";"Bangui ";"";"";"Table 2: Composite Street Connectivity Index ";"Public spaces"
"2013";"";"street_density_index_sub_urban_area";"Street density index Ð Sub urban area";"index";"sub_urban_area";"";"China";"Beijing ";"";0.114;"Table 2: Composite Street Connectivity Index ";"Public spaces"
"2013";"";"street_density_index_sub_urban_area";"Street density index Ð Sub urban area";"index";"sub_urban_area";"";"China, Hong Kong SAR";"Hong Kong ";"";"0.34";"Table 2: Composite Street Connectivity Index ";"Public spaces"
"2013";"";"street_density_index_sub_urban_area";"Street density index Ð Sub urban area";"index";"sub_urban_area";"";"Colombia";"Bogota";"";"";"Table 2: Composite Street Connectivity Index ";"Public spaces"
"2013";"";"street_density_index_sub_urban_area";"Street density index Ð Sub urban area";"index";"sub_urban_area";"";"Colombia";"Medellin ";"";0.242;"Table 2: Composite Street Connectivity Index ";"Public spaces"
"2013";"";"street_density_index_sub_urban_area";"Street density index Ð Sub urban area";"index";"sub_urban_area";"";"Egypt";"Alexandria";"";"";"Table 2: Composite Street Connectivity Index ";"Public spaces"
"2013";"";"street_density_index_sub_urban_area";"Street density index Ð Sub urban area";"index";"sub_urban_area";"";"Egypt";"Cairo";"";"";"Table 2: Composite Street Connectivity Index ";"Public spaces"
"2013";"";"street_density_index_sub_urban_area";"Street density index Ð Sub urban area";"index";"sub_urban_area";"";"Ethiopia";"Addis Ababa ";"";"0.2";"Table 2: Composite Street Connectivity Index ";"Public spaces"
"2013";"";"street_density_index_sub_urban_area";"Street density index Ð Sub urban area";"index";"sub_urban_area";"";"Ghana";"Accra ";"";"";"Table 2: Composite Street Connectivity Index ";"Public spaces"
"2013";"";"street_density_index_sub_urban_area";"Street density index Ð Sub urban area";"index";"sub_urban_area";"";"Guatemala";"Guatemala City";"";"";"Table 2: Composite Street Connectivity Index ";"Public spaces"
"2013";"";"street_density_index_sub_urban_area";"Street density index Ð Sub urban area";"index";"sub_urban_area";"";"Guyana";"Georgetown ";"";0.201;"Table 2: Composite Street Connectivity Index ";"Public spaces"
"2013";"";"street_density_index_sub_urban_area";"Street density index Ð Sub urban area";"index";"sub_urban_area";"";"India";"Chandigarh ";"";0.253;"Table 2: Composite Street Connectivity Index ";"Public spaces"
"2013";"";"street_density_index_sub_urban_area";"Street density index Ð Sub urban area";"index";"sub_urban_area";"";"India";"Kolkota ";"";0.399;"Table 2: Composite Street Connectivity Index ";"Public spaces"
"2013";"";"street_density_index_sub_urban_area";"Street density index Ð Sub urban area";"index";"sub_urban_area";"";"India";"Mumbai";"";"";"Table 2: Composite Street Connectivity Index ";"Public spaces"
"2013";"";"street_density_index_sub_urban_area";"Street density index Ð Sub urban area";"index";"sub_urban_area";"";"Indonesia";"Jakarta";"";"";"Table 2: Composite Street Connectivity Index ";"Public spaces"
"2013";"";"street_density_index_sub_urban_area";"Street density index Ð Sub urban area";"index";"sub_urban_area";"";"Japan";"Tokyo ";"";"";"Table 2: Composite Street Connectivity Index ";"Public spaces"
"2013";"";"street_density_index_sub_urban_area";"Street density index Ð Sub urban area";"index";"sub_urban_area";"";"Kenya";"Nairobi ";"";0.055;"Table 2: Composite Street Connectivity Index ";"Public spaces"
"2013";"";"street_density_index_sub_urban_area";"Street density index Ð Sub urban area";"index";"sub_urban_area";"";"Malaysia";"Kuala Lumpurï¾ ";"";"";"Table 2: Composite Street Connectivity Index ";"Public spaces"
"2013";"";"street_density_index_sub_urban_area";"Street density index Ð Sub urban area";"index";"sub_urban_area";"";"Mexico";"Guadalajara ";"";"0.4";"Table 2: Composite Street Connectivity Index ";"Public spaces"
"2013";"";"street_density_index_sub_urban_area";"Street density index Ð Sub urban area";"index";"sub_urban_area";"";"Mexico";"Mexico City";"";"0.31";"Table 2: Composite Street Connectivity Index ";"Public spaces"
"2013";"";"street_density_index_sub_urban_area";"Street density index Ð Sub urban area";"index";"sub_urban_area";"";"Morocco";"Casablanca";"";"";"Table 2: Composite Street Connectivity Index ";"Public spaces"
"2013";"";"street_density_index_sub_urban_area";"Street density index Ð Sub urban area";"index";"sub_urban_area";"";"Nigeria";"Abuja ";"";0.133;"Table 2: Composite Street Connectivity Index ";"Public spaces"
"2013";"";"street_density_index_sub_urban_area";"Street density index Ð Sub urban area";"index";"sub_urban_area";"";"Nigeria";"Lagos";"";"";"Table 2: Composite Street Connectivity Index ";"Public spaces"
"2013";"";"street_density_index_sub_urban_area";"Street density index Ð Sub urban area";"index";"sub_urban_area";"";"Philippines";"Manila";"";"";"Table 2: Composite Street Connectivity Index ";"Public spaces"
"2013";"";"street_density_index_sub_urban_area";"Street density index Ð Sub urban area";"index";"sub_urban_area";"";"Rwanda";"Kigali ";"";"";"Table 2: Composite Street Connectivity Index ";"Public spaces"
"2013";"";"street_density_index_sub_urban_area";"Street density index Ð Sub urban area";"index";"sub_urban_area";"";"Senegal";"Dakar ";"";0.084;"Table 2: Composite Street Connectivity Index ";"Public spaces"
"2013";"";"street_density_index_sub_urban_area";"Street density index Ð Sub urban area";"index";"sub_urban_area";"";"Singapore";"Singapore ";"";0.236;"Table 2: Composite Street Connectivity Index ";"Public spaces"
"2013";"";"street_density_index_sub_urban_area";"Street density index Ð Sub urban area";"index";"sub_urban_area";"";"South Africa";"Cape Town";"";0.383;"Table 2: Composite Street Connectivity Index ";"Public spaces"
"2013";"";"street_density_index_sub_urban_area";"Street density index Ð Sub urban area";"index";"sub_urban_area";"";"South Africa";"Johannesburg";"";0.197;"Table 2: Composite Street Connectivity Index ";"Public spaces"
"2013";"";"street_density_index_sub_urban_area";"Street density index Ð Sub urban area";"index";"sub_urban_area";"";"Thailand";"Bangkok ";"";0.148;"Table 2: Composite Street Connectivity Index ";"Public spaces"
"2013";"";"street_density_index_sub_urban_area";"Street density index Ð Sub urban area";"index";"sub_urban_area";"";"United Republic of Tanzania";"Dar es Salaam";"";"";"Table 2: Composite Street Connectivity Index ";"Public spaces"
"2013";"";"street_density_index_sub_urban_area";"Street density index Ð Sub urban area";"index";"sub_urban_area";"";"United Republic of Tanzania";"Dodoma";"";"";"Table 2: Composite Street Connectivity Index ";"Public spaces"
"2013";"";"street_density_index_sub_urban_area";"Street density index Ð Sub urban area";"index";"sub_urban_area";"";"Zambia";"";"";"";"Table 2: Composite Street Connectivity Index ";"Public spaces"
"2013";"";"street_density_index_sub_urban_area";"Street density index Ð Sub urban area";"index";"sub_urban_area";"";"Zimbabwe";"Harare";"";"";"Table 2: Composite Street Connectivity Index ";"Public spaces"
