year;year_range;indicator_id;friendly_name;type_data;selection_type;deprivation_type;country;city;region;value;description;category
2012;;street_length;Street length;km;;;Burkina Faso;Ouagadougou ;;1.827;Table 10:  Length of Street Network and Paved Streets;Public spaces
2012;;street_length;Street length;km;;;Cameroon;Douala ;;1.8;Table 10:  Length of Street Network and Paved Streets;Public spaces
2012;;street_length;Street length;km;;;Democratic Republic  Congo ;Kinshasa ;;5;Table 10:  Length of Street Network and Paved Streets;Public spaces
2012;;street_length;Street length;km;;;Ethiopia;Addis Ababa ;;;Table 10:  Length of Street Network and Paved Streets;Public spaces
2012;;street_length;Street length;km;;;Ghana;Accra ;;1.899;Table 10:  Length of Street Network and Paved Streets;Public spaces
2012;;street_length;Street length;km;;;Guinea;Conakry ;;815;Table 10:  Length of Street Network and Paved Streets;Public spaces
2012;;street_length;Street length;km;;;Ivory Coast;Abidjan ;;2.042;Table 10:  Length of Street Network and Paved Streets;Public spaces
2012;;street_length;Street length;km;;;Kenya;Nairobi ;;;Table 10:  Length of Street Network and Paved Streets;Public spaces
2012;;street_length;Street length;km;;;Mali;Bamako ;;836;Table 10:  Length of Street Network and Paved Streets;Public spaces
2012;;street_length;Street length;km;;;Nigeria;Lagos ;;;Table 10:  Length of Street Network and Paved Streets;Public spaces
2012;;street_length;Street length;km;;;Rwanda;Kigali ;;984;Table 10:  Length of Street Network and Paved Streets;Public spaces
2012;;street_length;Street length;km;;;Senegal;Dakar ;;;Table 10:  Length of Street Network and Paved Streets;Public spaces
2012;;street_length;Street length;km;;;Tanzania;Dar es Salaam ;;1.14;Table 10:  Length of Street Network and Paved Streets;Public spaces
2012;;street_length;Street length;km;;;Uganda;Kampala ;;610;Table 10:  Length of Street Network and Paved Streets;Public spaces
