"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
2012;;"street_length";"Street length";"n";;;"Burkina Faso";"Ouagadougou ";;1827;"Table 10:  Length of Street Network and Paved Streets";"Streets"
2012;;"street_length";"Street length";"n";;;"Cameroon";"Douala ";;1800;"Table 10:  Length of Street Network and Paved Streets";"Streets"
2012;;"street_length";"Street length";"n";;;"Democratic Republic  Congo ";"Kinshasa ";;5000;"Table 10:  Length of Street Network and Paved Streets";"Streets"
2012;;"street_length";"Street length";"n";;;"Ethiopia";"Addis Ababa ";;;"Table 10:  Length of Street Network and Paved Streets";"Streets"
2012;;"street_length";"Street length";"n";;;"Ghana";"Accra ";;1899;"Table 10:  Length of Street Network and Paved Streets";"Streets"
2012;;"street_length";"Street length";"n";;;"Guinea";"Conakry ";;815;"Table 10:  Length of Street Network and Paved Streets";"Streets"
2012;;"street_length";"Street length";"n";;;"Ivory Coast";"Abidjan ";;2042;"Table 10:  Length of Street Network and Paved Streets";"Streets"
2012;;"street_length";"Street length";"n";;;"Kenya";"Nairobi ";;;"Table 10:  Length of Street Network and Paved Streets";"Streets"
2012;;"street_length";"Street length";"n";;;"Mali";"Bamako ";;836;"Table 10:  Length of Street Network and Paved Streets";"Streets"
2012;;"street_length";"Street length";"n";;;"Nigeria";"Lagos ";;;"Table 10:  Length of Street Network and Paved Streets";"Streets"
2012;;"street_length";"Street length";"n";;;"Rwanda";"Kigali ";;984;"Table 10:  Length of Street Network and Paved Streets";"Streets"
2012;;"street_length";"Street length";"n";;;"Senegal";"Dakar ";;;"Table 10:  Length of Street Network and Paved Streets";"Streets"
2012;;"street_length";"Street length";"n";;;"Tanzania";"Dar es Salaam ";;1140;"Table 10:  Length of Street Network and Paved Streets";"Streets"
2012;;"street_length";"Street length";"n";;;"Uganda";"Kampala ";;610;"Table 10:  Length of Street Network and Paved Streets";"Streets"
