"year";"year_range";"indicator_id";"friendly_name";"type_data";"selection_type";"deprivation_type";"country";"city";"region";"value";"description";"category"
2000;;"sufficient_living";"Access to sufficient living";"p";;;"AL";;;"73.2";"Urban numbers 1.0 data";"Slum dwellers"
2005;;"sufficient_living";"Access to sufficient living";"p";;;"AL";;;"87.9";"Urban numbers 1.0 data";"Slum dwellers"
2000;;"sufficient_living";"Access to sufficient living";"p";;;"AM";;;0;"Urban numbers 1.0 data";"Slum dwellers"
2005;;"sufficient_living";"Access to sufficient living";"p";;;"AM";;;"91.4";"Urban numbers 1.0 data";"Slum dwellers"
2006;;"sufficient_living";"Access to sufficient living";"p";;;"AO";;;100;"Urban numbers 1.0 data";"Slum dwellers"
2006;;"sufficient_living";"Access to sufficient living";"p";;;"AZ";;;"81.6";"Urban numbers 1.0 data";"Slum dwellers"
2000;;"sufficient_living";"Access to sufficient living";"p";;;"AZ";;;"87.3";"Urban numbers 1.0 data";"Slum dwellers"
2006;;"sufficient_living";"Access to sufficient living";"p";;;"BA";;;"97.5";"Urban numbers 1.0 data";"Slum dwellers"
1994;;"sufficient_living";"Access to sufficient living";"p";;;"BD";;;"57.6";"Urban numbers 1.0 data";"Slum dwellers"
1996;;"sufficient_living";"Access to sufficient living";"p";;;"BD";;;0;"Urban numbers 1.0 data";"Slum dwellers"
1999;;"sufficient_living";"Access to sufficient living";"p";;;"BD";;;0;"Urban numbers 1.0 data";"Slum dwellers"
2004;;"sufficient_living";"Access to sufficient living";"p";;;"BD";;;"68.2";"Urban numbers 1.0 data";"Slum dwellers"
2006;;"sufficient_living";"Access to sufficient living";"p";;;"BD";;;"74.1";"Urban numbers 1.0 data";"Slum dwellers"
1992;;"sufficient_living";"Access to sufficient living";"p";;;"BF";;;"81.1";"Urban numbers 1.0 data";"Slum dwellers"
1999;;"sufficient_living";"Access to sufficient living";"p";;;"BF";;;"83.4";"Urban numbers 1.0 data";"Slum dwellers"
2003;;"sufficient_living";"Access to sufficient living";"p";;;"BF";;;0;"Urban numbers 1.0 data";"Slum dwellers"
2005;;"sufficient_living";"Access to sufficient living";"p";;;"BI";;;"68.2";"Urban numbers 1.0 data";"Slum dwellers"
1996;;"sufficient_living";"Access to sufficient living";"p";;;"BJ";;;"80.3";"Urban numbers 1.0 data";"Slum dwellers"
2001;;"sufficient_living";"Access to sufficient living";"p";;;"BJ";;;0;"Urban numbers 1.0 data";"Slum dwellers"
2006;;"sufficient_living";"Access to sufficient living";"p";;;"BJ";;;"77.6";"Urban numbers 1.0 data";"Slum dwellers"
1994;;"sufficient_living";"Access to sufficient living";"p";;;"BO";;;"67.6";"Urban numbers 1.0 data";"Slum dwellers"
1998;;"sufficient_living";"Access to sufficient living";"p";;;"BO";;;"67.1";"Urban numbers 1.0 data";"Slum dwellers"
2004;;"sufficient_living";"Access to sufficient living";"p";;;"BO";;;"72.2";"Urban numbers 1.0 data";"Slum dwellers"
1991;;"sufficient_living";"Access to sufficient living";"p";;;"BR";;;"89.3";"Urban numbers 1.0 data";"Slum dwellers"
1996;;"sufficient_living";"Access to sufficient living";"p";;;"BR";;;"89.9";"Urban numbers 1.0 data";"Slum dwellers"
2005;;"sufficient_living";"Access to sufficient living";"p";;;"BY";;;100;"Urban numbers 1.0 data";"Slum dwellers"
2006;;"sufficient_living";"Access to sufficient living";"p";;;"BZ";;;92;"Urban numbers 1.0 data";"Slum dwellers"
2005;;"sufficient_living";"Access to sufficient living";"p";;;"CI";;;0;"Urban numbers 1.0 data";"Slum dwellers"
1994;;"sufficient_living";"Access to sufficient living";"p";;;"CI";;;70;"Urban numbers 1.0 data";"Slum dwellers"
1998;;"sufficient_living";"Access to sufficient living";"p";;;"CI";;;"74.8";"Urban numbers 1.0 data";"Slum dwellers"
2006;;"sufficient_living";"Access to sufficient living";"p";;;"CI";;;"60.4";"Urban numbers 1.0 data";"Slum dwellers"
2006;;"sufficient_living";"Access to sufficient living";"p";;;"CM";;;88;"Urban numbers 1.0 data";"Slum dwellers"
1991;;"sufficient_living";"Access to sufficient living";"p";;;"CM";;;84;"Urban numbers 1.0 data";"Slum dwellers"
1998;;"sufficient_living";"Access to sufficient living";"p";;;"CM";;;"88.4";"Urban numbers 1.0 data";"Slum dwellers"
2004;;"sufficient_living";"Access to sufficient living";"p";;;"CM";;;"87.7";"Urban numbers 1.0 data";"Slum dwellers"
2000;;"sufficient_living";"Access to sufficient living";"p";;;"CO";;;"87.9";"Urban numbers 1.0 data";"Slum dwellers"
1995;;"sufficient_living";"Access to sufficient living";"p";;;"CO";;;"85.7";"Urban numbers 1.0 data";"Slum dwellers"
1990;;"sufficient_living";"Access to sufficient living";"p";;;"CO";;;"83.2";"Urban numbers 1.0 data";"Slum dwellers"
2005;;"sufficient_living";"Access to sufficient living";"p";;;"CO";;;"89.2";"Urban numbers 1.0 data";"Slum dwellers"
2005;;"sufficient_living";"Access to sufficient living";"p";;;"EG";;;"97.3";"Urban numbers 1.0 data";"Slum dwellers"
2000;;"sufficient_living";"Access to sufficient living";"p";;;"EG";;;"95.6";"Urban numbers 1.0 data";"Slum dwellers"
1995;;"sufficient_living";"Access to sufficient living";"p";;;"EG";;;"80.8";"Urban numbers 1.0 data";"Slum dwellers"
1992;;"sufficient_living";"Access to sufficient living";"p";;;"EG";;;"75.8";"Urban numbers 1.0 data";"Slum dwellers"
2003;;"sufficient_living";"Access to sufficient living";"p";;;"EG";;;"97.4";"Urban numbers 1.0 data";"Slum dwellers"
2005;;"sufficient_living";"Access to sufficient living";"p";;;"ET";;;"63.9";"Urban numbers 1.0 data";"Slum dwellers"
2000;;"sufficient_living";"Access to sufficient living";"p";;;"ET";;;"61.3";"Urban numbers 1.0 data";"Slum dwellers"
2000;;"sufficient_living";"Access to sufficient living";"p";;;"GA";;;"86.5";"Urban numbers 1.0 data";"Slum dwellers"
2005;;"sufficient_living";"Access to sufficient living";"p";;;"GE";;;"92.6";"Urban numbers 1.0 data";"Slum dwellers"
2006;;"sufficient_living";"Access to sufficient living";"p";;;"GH";;;"73.8";"Urban numbers 1.0 data";"Slum dwellers"
1993;;"sufficient_living";"Access to sufficient living";"p";;;"GH";;;"75.7";"Urban numbers 1.0 data";"Slum dwellers"
1998;;"sufficient_living";"Access to sufficient living";"p";;;"GH";;;"78.7";"Urban numbers 1.0 data";"Slum dwellers"
2003;;"sufficient_living";"Access to sufficient living";"p";;;"GH";;;0;"Urban numbers 1.0 data";"Slum dwellers"
2005;;"sufficient_living";"Access to sufficient living";"p";;;"GM";;;"79.4";"Urban numbers 1.0 data";"Slum dwellers"
2005;;"sufficient_living";"Access to sufficient living";"p";;;"GN";;;0;"Urban numbers 1.0 data";"Slum dwellers"
1999;;"sufficient_living";"Access to sufficient living";"p";;;"GN";;;"73.8";"Urban numbers 1.0 data";"Slum dwellers"
1995;;"sufficient_living";"Access to sufficient living";"p";;;"GT";;;"68.7";"Urban numbers 1.0 data";"Slum dwellers"
1998;;"sufficient_living";"Access to sufficient living";"p";;;"GT";;;69;"Urban numbers 1.0 data";"Slum dwellers"
2005;;"sufficient_living";"Access to sufficient living";"p";;;"GY";;;"87.1";"Urban numbers 1.0 data";"Slum dwellers"
2006;;"sufficient_living";"Access to sufficient living";"p";;;"GY";;;"88.8";"Urban numbers 1.0 data";"Slum dwellers"
2000;;"sufficient_living";"Access to sufficient living";"p";;;"HT";;;0;"Urban numbers 1.0 data";"Slum dwellers"
1994;;"sufficient_living";"Access to sufficient living";"p";;;"HT";;;"64.1";"Urban numbers 1.0 data";"Slum dwellers"
2006;;"sufficient_living";"Access to sufficient living";"p";;;"HT";;;"71.9";"Urban numbers 1.0 data";"Slum dwellers"
2007;;"sufficient_living";"Access to sufficient living";"p";;;"ID";;;0;"Urban numbers 1.0 data";"Slum dwellers"
1991;;"sufficient_living";"Access to sufficient living";"p";;;"ID";;;0;"Urban numbers 1.0 data";"Slum dwellers"
1994;;"sufficient_living";"Access to sufficient living";"p";;;"ID";;;0;"Urban numbers 1.0 data";"Slum dwellers"
1997;;"sufficient_living";"Access to sufficient living";"p";;;"ID";;;0;"Urban numbers 1.0 data";"Slum dwellers"
2002;;"sufficient_living";"Access to sufficient living";"p";;;"ID";;;0;"Urban numbers 1.0 data";"Slum dwellers"
1992;;"sufficient_living";"Access to sufficient living";"p";;;"IN";;;"72.7";"Urban numbers 1.0 data";"Slum dwellers"
1998;;"sufficient_living";"Access to sufficient living";"p";;;"IN";;;"77.4";"Urban numbers 1.0 data";"Slum dwellers"
2006;;"sufficient_living";"Access to sufficient living";"p";;;"IN";;;"62.7";"Urban numbers 1.0 data";"Slum dwellers"
2006;;"sufficient_living";"Access to sufficient living";"p";;;"IQ";;;"59.5";"Urban numbers 1.0 data";"Slum dwellers"
2005;;"sufficient_living";"Access to sufficient living";"p";;;"JM";;;100;"Urban numbers 1.0 data";"Slum dwellers"
2007;;"sufficient_living";"Access to sufficient living";"p";;;"JO";;;"77.3";"Urban numbers 1.0 data";"Slum dwellers"
1997;;"sufficient_living";"Access to sufficient living";"p";;;"JO";;;"65.4";"Urban numbers 1.0 data";"Slum dwellers"
2002;;"sufficient_living";"Access to sufficient living";"p";;;"JO";;;"77.5";"Urban numbers 1.0 data";"Slum dwellers"
1993;;"sufficient_living";"Access to sufficient living";"p";;;"KE";;;"78.3";"Urban numbers 1.0 data";"Slum dwellers"
1998;;"sufficient_living";"Access to sufficient living";"p";;;"KE";;;78;"Urban numbers 1.0 data";"Slum dwellers"
2003;;"sufficient_living";"Access to sufficient living";"p";;;"KE";;;79;"Urban numbers 1.0 data";"Slum dwellers"
2005;;"sufficient_living";"Access to sufficient living";"p";;;"KH";;;"42.2";"Urban numbers 1.0 data";"Slum dwellers"
2000;;"sufficient_living";"Access to sufficient living";"p";;;"KH";;;0;"Urban numbers 1.0 data";"Slum dwellers"
1996;;"sufficient_living";"Access to sufficient living";"p";;;"KM";;;"72.6";"Urban numbers 1.0 data";"Slum dwellers"
1995;;"sufficient_living";"Access to sufficient living";"p";;;"KZ";;;"98.2";"Urban numbers 1.0 data";"Slum dwellers"
1999;;"sufficient_living";"Access to sufficient living";"p";;;"KZ";;;0;"Urban numbers 1.0 data";"Slum dwellers"
2006;;"sufficient_living";"Access to sufficient living";"p";;;"KZ";;;"96.2";"Urban numbers 1.0 data";"Slum dwellers"
2007;;"sufficient_living";"Access to sufficient living";"p";;;"LR";;;0;"Urban numbers 1.0 data";"Slum dwellers"
2004;;"sufficient_living";"Access to sufficient living";"p";;;"LS";;;0;"Urban numbers 1.0 data";"Slum dwellers"
1992;;"sufficient_living";"Access to sufficient living";"p";;;"MA";;;"72.2";"Urban numbers 1.0 data";"Slum dwellers"
2004;;"sufficient_living";"Access to sufficient living";"p";;;"MA";;;"83.6";"Urban numbers 1.0 data";"Slum dwellers"
2005;;"sufficient_living";"Access to sufficient living";"p";;;"MD";;;"97.5";"Urban numbers 1.0 data";"Slum dwellers"
2005;;"sufficient_living";"Access to sufficient living";"p";;;"ME";;;"88.2";"Urban numbers 1.0 data";"Slum dwellers"
1997;;"sufficient_living";"Access to sufficient living";"p";;;"MG";;;"55.3";"Urban numbers 1.0 data";"Slum dwellers"
2003;;"sufficient_living";"Access to sufficient living";"p";;;"MG";;;0;"Urban numbers 1.0 data";"Slum dwellers"
2005;;"sufficient_living";"Access to sufficient living";"p";;;"MK";;;"89.3";"Urban numbers 1.0 data";"Slum dwellers"
1996;;"sufficient_living";"Access to sufficient living";"p";;;"ML";;;"76.8";"Urban numbers 1.0 data";"Slum dwellers"
2001;;"sufficient_living";"Access to sufficient living";"p";;;"ML";;;0;"Urban numbers 1.0 data";"Slum dwellers"
2006;;"sufficient_living";"Access to sufficient living";"p";;;"ML";;;"74.7";"Urban numbers 1.0 data";"Slum dwellers"
2005;;"sufficient_living";"Access to sufficient living";"p";;;"MN";;;"58.9";"Urban numbers 1.0 data";"Slum dwellers"
2007;;"sufficient_living";"Access to sufficient living";"p";;;"MR";;;"61.5";"Urban numbers 1.0 data";"Slum dwellers"
2001;;"sufficient_living";"Access to sufficient living";"p";;;"MR";;;"49.3";"Urban numbers 1.0 data";"Slum dwellers"
2000;;"sufficient_living";"Access to sufficient living";"p";;;"MW";;;0;"Urban numbers 1.0 data";"Slum dwellers"
2006;;"sufficient_living";"Access to sufficient living";"p";;;"MW";;;100;"Urban numbers 1.0 data";"Slum dwellers"
1992;;"sufficient_living";"Access to sufficient living";"p";;;"MW";;;"74.6";"Urban numbers 1.0 data";"Slum dwellers"
2004;;"sufficient_living";"Access to sufficient living";"p";;;"MW";;;"82.9";"Urban numbers 1.0 data";"Slum dwellers"
1997;;"sufficient_living";"Access to sufficient living";"p";;;"MZ";;;"73.7";"Urban numbers 1.0 data";"Slum dwellers"
2003;;"sufficient_living";"Access to sufficient living";"p";;;"MZ";;;"81.5";"Urban numbers 1.0 data";"Slum dwellers"
2007;;"sufficient_living";"Access to sufficient living";"p";;;"NA";;;"87.1";"Urban numbers 1.0 data";"Slum dwellers"
2000;;"sufficient_living";"Access to sufficient living";"p";;;"NA";;;"84.4";"Urban numbers 1.0 data";"Slum dwellers"
1992;;"sufficient_living";"Access to sufficient living";"p";;;"NA";;;79;"Urban numbers 1.0 data";"Slum dwellers"
1992;;"sufficient_living";"Access to sufficient living";"p";;;"NE";;;"67.6";"Urban numbers 1.0 data";"Slum dwellers"
1998;;"sufficient_living";"Access to sufficient living";"p";;;"NE";;;"68.1";"Urban numbers 1.0 data";"Slum dwellers"
2006;;"sufficient_living";"Access to sufficient living";"p";;;"NE";;;"64.4";"Urban numbers 1.0 data";"Slum dwellers"
1999;;"sufficient_living";"Access to sufficient living";"p";;;"NG";;;"72.5";"Urban numbers 1.0 data";"Slum dwellers"
2003;;"sufficient_living";"Access to sufficient living";"p";;;"NG";;;"76.1";"Urban numbers 1.0 data";"Slum dwellers"
1998;;"sufficient_living";"Access to sufficient living";"p";;;"NI";;;"61.2";"Urban numbers 1.0 data";"Slum dwellers"
2001;;"sufficient_living";"Access to sufficient living";"p";;;"NI";;;"64.8";"Urban numbers 1.0 data";"Slum dwellers"
1996;;"sufficient_living";"Access to sufficient living";"p";;;"NP";;;"65.7";"Urban numbers 1.0 data";"Slum dwellers"
2001;;"sufficient_living";"Access to sufficient living";"p";;;"NP";;;0;"Urban numbers 1.0 data";"Slum dwellers"
2006;;"sufficient_living";"Access to sufficient living";"p";;;"NP";;;"74.5";"Urban numbers 1.0 data";"Slum dwellers"
2000;;"sufficient_living";"Access to sufficient living";"p";;;"PE";;;80;"Urban numbers 1.0 data";"Slum dwellers"
1991;;"sufficient_living";"Access to sufficient living";"p";;;"PE";;;75;"Urban numbers 1.0 data";"Slum dwellers"
1996;;"sufficient_living";"Access to sufficient living";"p";;;"PE";;;"71.4";"Urban numbers 1.0 data";"Slum dwellers"
2004;;"sufficient_living";"Access to sufficient living";"p";;;"PE";;;"83.8";"Urban numbers 1.0 data";"Slum dwellers"
1993;;"sufficient_living";"Access to sufficient living";"p";;;"PH";;;63;"Urban numbers 1.0 data";"Slum dwellers"
1998;;"sufficient_living";"Access to sufficient living";"p";;;"PH";;;"71.9";"Urban numbers 1.0 data";"Slum dwellers"
2003;;"sufficient_living";"Access to sufficient living";"p";;;"PH";;;0;"Urban numbers 1.0 data";"Slum dwellers"
1990;;"sufficient_living";"Access to sufficient living";"p";;;"PK";;;"39.6";"Urban numbers 1.0 data";"Slum dwellers"
2006;;"sufficient_living";"Access to sufficient living";"p";;;"PK";;;46;"Urban numbers 1.0 data";"Slum dwellers"
2005;;"sufficient_living";"Access to sufficient living";"p";;;"RS";;;"95.7";"Urban numbers 1.0 data";"Slum dwellers"
2005;;"sufficient_living";"Access to sufficient living";"p";;;"RW";;;0;"Urban numbers 1.0 data";"Slum dwellers"
2000;;"sufficient_living";"Access to sufficient living";"p";;;"RW";;;0;"Urban numbers 1.0 data";"Slum dwellers"
1992;;"sufficient_living";"Access to sufficient living";"p";;;"RW";;;"85.5";"Urban numbers 1.0 data";"Slum dwellers"
2005;;"sufficient_living";"Access to sufficient living";"p";;;"SL";;;"69.4";"Urban numbers 1.0 data";"Slum dwellers"
2005;;"sufficient_living";"Access to sufficient living";"p";;;"SN";;;0;"Urban numbers 1.0 data";"Slum dwellers"
1993;;"sufficient_living";"Access to sufficient living";"p";;;"SN";;;68;"Urban numbers 1.0 data";"Slum dwellers"
1997;;"sufficient_living";"Access to sufficient living";"p";;;"SN";;;"67.9";"Urban numbers 1.0 data";"Slum dwellers"
2006;;"sufficient_living";"Access to sufficient living";"p";;;"SO";;;62;"Urban numbers 1.0 data";"Slum dwellers"
2006;;"sufficient_living";"Access to sufficient living";"p";;;"SY";;;"77.5";"Urban numbers 1.0 data";"Slum dwellers"
2006;;"sufficient_living";"Access to sufficient living";"p";;;"SZ";;;"89.2";"Urban numbers 1.0 data";"Slum dwellers"
1997;;"sufficient_living";"Access to sufficient living";"p";;;"TD";;;"67.4";"Urban numbers 1.0 data";"Slum dwellers"
2004;;"sufficient_living";"Access to sufficient living";"p";;;"TD";;;"70.7";"Urban numbers 1.0 data";"Slum dwellers"
2006;;"sufficient_living";"Access to sufficient living";"p";;;"TG";;;"78.2";"Urban numbers 1.0 data";"Slum dwellers"
1998;;"sufficient_living";"Access to sufficient living";"p";;;"TG";;;"79.6";"Urban numbers 1.0 data";"Slum dwellers"
2006;;"sufficient_living";"Access to sufficient living";"p";;;"TH";;;"91.6";"Urban numbers 1.0 data";"Slum dwellers"
1993;;"sufficient_living";"Access to sufficient living";"p";;;"TR";;;87;"Urban numbers 1.0 data";"Slum dwellers"
1998;;"sufficient_living";"Access to sufficient living";"p";;;"TR";;;"89.2";"Urban numbers 1.0 data";"Slum dwellers"
2004;;"sufficient_living";"Access to sufficient living";"p";;;"TR";;;"89.1";"Urban numbers 1.0 data";"Slum dwellers"
2007;;"sufficient_living";"Access to sufficient living";"p";;;"TZ";;;91;"Urban numbers 1.0 data";"Slum dwellers"
1992;;"sufficient_living";"Access to sufficient living";"p";;;"TZ";;;"77.6";"Urban numbers 1.0 data";"Slum dwellers"
1996;;"sufficient_living";"Access to sufficient living";"p";;;"TZ";;;"82.5";"Urban numbers 1.0 data";"Slum dwellers"
1999;;"sufficient_living";"Access to sufficient living";"p";;;"TZ";;;0;"Urban numbers 1.0 data";"Slum dwellers"
2004;;"sufficient_living";"Access to sufficient living";"p";;;"TZ";;;"84.4";"Urban numbers 1.0 data";"Slum dwellers"
