year;year_range;indicator_id;friendly_name;type_data;selection_type;deprivation_type;country;city;region;value;description
2005;;share_cycling;Share cycling in city;p;;;Austria;;;4;Table 12:  Cycling and walking share of daily trips
1999;;share_cycling;Share cycling in city;p;;;Belgium;;;8;Table 12:  Cycling and walking share of daily trips
2008;;share_cycling;Share cycling in city;p;;;Denmark;;;18;Table 12:  Cycling and walking share of daily trips
2005;;share_cycling;Share cycling in city;p;;;Finland;;;9;Table 12:  Cycling and walking share of daily trips
2008;;share_cycling;Share cycling in city;p;;;France;;;3;Table 12:  Cycling and walking share of daily trips
2009;;share_cycling;Share cycling in city;p;;;Germany;;;10;Table 12:  Cycling and walking share of daily trips
2006;;share_cycling;Share cycling in city;p;;;Ireland;;;2;Table 12:  Cycling and walking share of daily trips
2008;;share_cycling;Share cycling in city;p;;;Netherlands;;;26;Table 12:  Cycling and walking share of daily trips
2009;;share_cycling;Share cycling in city;p;;;Norway;;;4;Table 12:  Cycling and walking share of daily trips
2006;;share_cycling;Share cycling in city;p;;;Sweden;;;9;Table 12:  Cycling and walking share of daily trips
2008;;share_cycling;Share cycling in city;p;;;United Kingdom;;;2;Table 12:  Cycling and walking share of daily trips
2009;;share_cycling;Share cycling in city;p;;;United States of America;;;1;Table 12:  Cycling and walking share of daily trips
2006;;share_cycling;Share cycling in city;p;;;Canada;;;1;Table 12:  Cycling and walking share of daily trips
2006;;share_cycling;Share cycling in city;p;;;Australia;;;1;Table 12:  Cycling and walking share of daily trips
