year;year_range;indicator_id;friendly_name;type_data;selection_type;deprivation_type;country;city;region;value;description
2010;;owner_motorcycle;Ownership of motorcycle;p;total;;Burkina Faso;;;35,8;Table 14: Ownership of Bicycle and Motorcycle
2003;;owner_motorcycle;Ownership of motorcycle;p;total;;Burkina Faso;;;24,2;Table 14: Ownership of Bicycle and Motorcycle
1998;1998-99 ;owner_motorcycle;Ownership of motorcycle;p;total;;Burkina Faso;;;23,3;Table 14: Ownership of Bicycle and Motorcycle
1993;;owner_motorcycle;Ownership of motorcycle;p;total;;Burkina Faso;;;25,2;Table 14: Ownership of Bicycle and Motorcycle
1994;1994-95 ;owner_motorcycle;Ownership of motorcycle;p;total;;Central African Republic;;;4,5;Table 14: Ownership of Bicycle and Motorcycle
2008;;owner_motorcycle;Ownership of motorcycle;p;total;;Egypt;;;2,5;Table 14: Ownership of Bicycle and Motorcycle
2005;;owner_motorcycle;Ownership of motorcycle;p;total;;Egypt;;;1,6;Table 14: Ownership of Bicycle and Motorcycle
2000;;owner_motorcycle;Ownership of motorcycle;p;total;;Egypt;;;1,8;Table 14: Ownership of Bicycle and Motorcycle
1995;;owner_motorcycle;Ownership of motorcycle;p;total;;Egypt;;;;Table 14: Ownership of Bicycle and Motorcycle
1992;;owner_motorcycle;Ownership of motorcycle;p;total;;Egypt;;;;Table 14: Ownership of Bicycle and Motorcycle
2008;;owner_motorcycle;Ownership of motorcycle;p;total;;Ghana;;;4,5;Table 14: Ownership of Bicycle and Motorcycle
2003;;owner_motorcycle;Ownership of motorcycle;p;total;;Ghana;;;2,1;Table 14: Ownership of Bicycle and Motorcycle
1998;;owner_motorcycle;Ownership of motorcycle;p;total;;Ghana;;;1,1;Table 14: Ownership of Bicycle and Motorcycle
1993;;owner_motorcycle;Ownership of motorcycle;p;total;;Ghana;;;1,1;Table 14: Ownership of Bicycle and Motorcycle
2008;2008-09 ;owner_motorcycle;Ownership of motorcycle;p;total;;Kenya;;;2,1;Table 14: Ownership of Bicycle and Motorcycle
2003;;owner_motorcycle;Ownership of motorcycle;p;total;;Kenya;;;0,7;Table 14: Ownership of Bicycle and Motorcycle
1998;;owner_motorcycle;Ownership of motorcycle;p;total;;Kenya;;;0,9;Table 14: Ownership of Bicycle and Motorcycle
