year;year_range;indicator_id;friendly_name;type_data;selection_type;deprivation_type;country;city;region;value;description;category
2009;;road_density;Road density km/100km2;km_100km2;;;Burkina Faso;;;34;Table 15: Length of Street Network, Street Density and Percentage of Paved Streets;Public spaces
2009;;road_density;Road density km/100km2;km_100km2;;;Central African Republic;;;4;Table 15: Length of Street Network, Street Density and Percentage of Paved Streets;Public spaces
2009;;road_density;Road density km/100km2;km_100km2;;;Egypt;;;10;Table 15: Length of Street Network, Street Density and Percentage of Paved Streets;Public spaces
2009;;road_density;Road density km/100km2;km_100km2;;;Ethiopia;;;4;Table 15: Length of Street Network, Street Density and Percentage of Paved Streets;Public spaces
2009;;road_density;Road density km/100km2;km_100km2;;;Ghana;;;46;Table 15: Length of Street Network, Street Density and Percentage of Paved Streets;Public spaces
2009;;road_density;Road density km/100km2;km_100km2;;;Kenya;;;11;Table 15: Length of Street Network, Street Density and Percentage of Paved Streets;Public spaces
2009;;road_density;Road density km/100km2;km_100km2;;;Morocco;;;13;Table 15: Length of Street Network, Street Density and Percentage of Paved Streets;Public spaces
2009;;road_density;Road density km/100km2;km_100km2;;;Nigeria;;;21;Table 15: Length of Street Network, Street Density and Percentage of Paved Streets;Public spaces
2009;;road_density;Road density km/100km2;km_100km2;;;Rwanda;;;53;Table 15: Length of Street Network, Street Density and Percentage of Paved Streets;Public spaces
2009;;road_density;Road density km/100km2;km_100km2;;;Senegal;;;8;Table 15: Length of Street Network, Street Density and Percentage of Paved Streets;Public spaces
2009;;road_density;Road density km/100km2;km_100km2;;;United Republic of Tanzania;;;11;Table 15: Length of Street Network, Street Density and Percentage of Paved Streets;Public spaces
2009;;road_density;Road density km/100km2;km_100km2;;;Armenia;;;26;Table 15: Length of Street Network, Street Density and Percentage of Paved Streets;Public spaces
2009;;road_density;Road density km/100km2;km_100km2;;;Bangladesh;;;166;Table 15: Length of Street Network, Street Density and Percentage of Paved Streets;Public spaces
2009;;road_density;Road density km/100km2;km_100km2;;;China;;;40;Table 15: Length of Street Network, Street Density and Percentage of Paved Streets;Public spaces
2009;;road_density;Road density km/100km2;km_100km2;;;China, Hong Kong SAR;;;188;Table 15: Length of Street Network, Street Density and Percentage of Paved Streets;Public spaces
2009;;road_density;Road density km/100km2;km_100km2;;;India;;;125;Table 15: Length of Street Network, Street Density and Percentage of Paved Streets;Public spaces
2009;;road_density;Road density km/100km2;km_100km2;;;Indonesia;;;25;Table 15: Length of Street Network, Street Density and Percentage of Paved Streets;Public spaces
2009;;road_density;Road density km/100km2;km_100km2;;;Japan;;;320;Table 15: Length of Street Network, Street Density and Percentage of Paved Streets;Public spaces
2009;;road_density;Road density km/100km2;km_100km2;;;Malaysia;;;30;Table 15: Length of Street Network, Street Density and Percentage of Paved Streets;Public spaces
2009;;road_density;Road density km/100km2;km_100km2;;;Philippines;;;67;Table 15: Length of Street Network, Street Density and Percentage of Paved Streets;Public spaces
2009;;road_density;Road density km/100km2;km_100km2;;;Singapore;;;473;Table 15: Length of Street Network, Street Density and Percentage of Paved Streets;Public spaces
2009;;road_density;Road density km/100km2;km_100km2;;;Thailand;;;35;Table 15: Length of Street Network, Street Density and Percentage of Paved Streets;Public spaces
2009;;road_density;Road density km/100km2;km_100km2;;;Belgium;;;504;Table 15: Length of Street Network, Street Density and Percentage of Paved Streets;Public spaces
2009;;road_density;Road density km/100km2;km_100km2;;;Denmark;;;170;Table 15: Length of Street Network, Street Density and Percentage of Paved Streets;Public spaces
2009;;road_density;Road density km/100km2;km_100km2;;;Finland;;;23;Table 15: Length of Street Network, Street Density and Percentage of Paved Streets;Public spaces
2009;;road_density;Road density km/100km2;km_100km2;;;France;;;173;Table 15: Length of Street Network, Street Density and Percentage of Paved Streets;Public spaces
2009;;road_density;Road density km/100km2;km_100km2;;;Greece;;;89;Table 15: Length of Street Network, Street Density and Percentage of Paved Streets;Public spaces
2009;;road_density;Road density km/100km2;km_100km2;;;Netherlands;;;329;Table 15: Length of Street Network, Street Density and Percentage of Paved Streets;Public spaces
2009;;road_density;Road density km/100km2;km_100km2;;;Russian Federation;;;6;Table 15: Length of Street Network, Street Density and Percentage of Paved Streets;Public spaces
2009;;road_density;Road density km/100km2;km_100km2;;;Spain;;;132;Table 15: Length of Street Network, Street Density and Percentage of Paved Streets;Public spaces
2009;;road_density;Road density km/100km2;km_100km2;;;United Kingdom;;;172;Table 15: Length of Street Network, Street Density and Percentage of Paved Streets;Public spaces
2009;;road_density;Road density km/100km2;km_100km2;;;Brazil;;;21;Table 15: Length of Street Network, Street Density and Percentage of Paved Streets;Public spaces
2009;;road_density;Road density km/100km2;km_100km2;;;Colombia;;;15;Table 15: Length of Street Network, Street Density and Percentage of Paved Streets;Public spaces
2009;;road_density;Road density km/100km2;km_100km2;;;Guyana;;;;Table 15: Length of Street Network, Street Density and Percentage of Paved Streets;Public spaces
2009;;road_density;Road density km/100km2;km_100km2;;;Mexico;;;19;Table 15: Length of Street Network, Street Density and Percentage of Paved Streets;Public spaces
2009;;road_density;Road density km/100km2;km_100km2;;;United States of America;;;67;Table 15: Length of Street Network, Street Density and Percentage of Paved Streets;Public spaces
2009;;road_density;Road density km/100km2;km_100km2;;;New Zealand;;;35;Table 15: Length of Street Network, Street Density and Percentage of Paved Streets;Public spaces
