year;year_range;indicator_id;friendly_name;type_data;selection_type;deprivation_type;country;city;region;value;description;category
2013;;intersection_density;Intersection density km2;km2;total;;Australia;Melbourne;; ;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;intersection_density;Intersection density km2;km2;total;;Australia;Sydney;; ;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;intersection_density;Intersection density km2;km2;total;;Belgium;Brussels ;;;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;intersection_density;Intersection density km2;km2;total;;Canada;Calgary;;39,1;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;intersection_density;Intersection density km2;km2;total;;Canada;Montreal;; ;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;intersection_density;Intersection density km2;km2;total;;Canada;Toronto;;125,4;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;intersection_density;Intersection density km2;km2;total;;Denmark;Copenhagen ;;;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;intersection_density;Intersection density km2;km2;total;;Finland;Helsinki ;;;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;intersection_density;Intersection density km2;km2;total;;France;Paris ;;;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;intersection_density;Intersection density km2;km2;total;;Greece;Athens ;;;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;intersection_density;Intersection density km2;km2;total;;Netherlands;Amsterdam ;;;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;intersection_density;Intersection density km2;km2;total;;Newzealand;Auckland ;;;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;intersection_density;Intersection density km2;km2;total;;Russia;Moscow;;;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;intersection_density;Intersection density km2;km2;total;;Russia;Saint Petersburg ;;;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;intersection_density;Intersection density km2;km2;total;;Spain;Barcelona ;;;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;intersection_density;Intersection density km2;km2;total;;United Kingdom;London;;;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;intersection_density;Intersection density km2;km2;total;;United States of America;Los Angeles;;;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
