year;year_range;indicator_id;friendly_name;type_data;selection_type;deprivation_type;country;city;region;value;description;category
2013;;proportion_land_allocated_to_street_city_core;Proportion of land allocated to street – City core;p;city_core;;Australia;Melbourne;;26,2;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;proportion_land_allocated_to_street_city_core;Proportion of land allocated to street – City core;p;city_core;;Australia;Sydney;;25,7;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;proportion_land_allocated_to_street_city_core;Proportion of land allocated to street – City core;p;city_core;;Belgium;Brussels ;;25,1;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;proportion_land_allocated_to_street_city_core;Proportion of land allocated to street – City core;p;city_core;;Canada;Calgary;;22,6;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;proportion_land_allocated_to_street_city_core;Proportion of land allocated to street – City core;p;city_core;;Canada;Montreal;;29,1;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;proportion_land_allocated_to_street_city_core;Proportion of land allocated to street – City core;p;city_core;;Canada;Toronto;;33,5;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;proportion_land_allocated_to_street_city_core;Proportion of land allocated to street – City core;p;city_core;;Denmark;Copenhagen ;;22,7;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;proportion_land_allocated_to_street_city_core;Proportion of land allocated to street – City core;p;city_core;;Finland;Helsinki ;;22,9;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;proportion_land_allocated_to_street_city_core;Proportion of land allocated to street – City core;p;city_core;;France;Paris ;;29,7;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;proportion_land_allocated_to_street_city_core;Proportion of land allocated to street – City core;p;city_core;;Greece;Athens ;;28,6;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;proportion_land_allocated_to_street_city_core;Proportion of land allocated to street – City core;p;city_core;;Netherlands;Amsterdam ;;29,1;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;proportion_land_allocated_to_street_city_core;Proportion of land allocated to street – City core;p;city_core;;Newzealand;Auckland ;;18,1;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;proportion_land_allocated_to_street_city_core;Proportion of land allocated to street – City core;p;city_core;;Russia;Moscow;;14,0;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
2013;;proportion_land_allocated_to_street_city_core;Proportion of land allocated to street – City core;p;city_core;;Russia;Saint Petersburg ;;18,5;Table 1: Proportion of Land Allocated to Street, Street Density and Intersection Density;Public spaces
